state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Alabama,35004,93,279900.0,3,2,0.2,1866.0,291843.25,3.35,2.54,0.25,1949.15
Alabama,35032,1,115000.0,3,1,0.57,1388.0,115000.0,3.0,1.0,0.57,1388.0
Alabama,35033,12,325000.0,4,3,2.5,2312.0,769058.33,3.58,3.0,2.37,2970.25
Alabama,35043,123,379900.0,4,3,0.49,2502.0,423189.51,3.85,3.15,0.57,2469.54
Alabama,35046,16,239900.0,3,2,0.72,1688.0,239622.5,3.25,2.0,1.03,1716.13
Alabama,35054,32,355000.0,3,2,0.42,2000.0,376962.34,3.22,2.34,0.71,2125.34
Alabama,35068,50,200000.0,3,2,0.36,1542.0,218021.36,3.0,1.94,0.41,1667.52
Alabama,35078,8,139700.0,3,2,0.97,1768.0,216187.5,3.13,2.0,1.33,1780.63
Alabama,35089,2,179999.0,3,2,0.9,1461.0,202499.5,3.0,2.0,11.01,1903.0
Alabama,35094,70,249900.0,3,2,0.33,1662.0,249439.71,3.27,2.29,0.39,1773.93
Alabama,35096,56,225000.0,3,2,0.33,1663.0,236051.7,3.29,2.3,0.7,1802.96
Alabama,35124,210,302000.0,3,3,0.22,2050.0,333441.33,3.31,2.79,0.29,2101.7
Alabama,35136,8,339000.0,3,2,1.68,1985.0,473987.5,3.25,3.0,3.59,2342.63
Alabama,35176,2,119900.0,2,1,1.12,1148.0,132400.0,2.5,1.5,1.58,1474.0
Alabama,35208,88,85000.0,3,2,0.17,1318.0,106531.25,3.0,1.59,0.17,1405.38
Alabama,35210,75,254900.0,3,2,0.25,1556.0,263997.33,3.0,2.04,0.28,1549.2
Alabama,35444,5,150000.0,3,2,1.5,1568.0,185980.0,3.0,2.0,3.95,2318.4
Alabama,35447,4,149900.0,3,1,0.67,1334.0,182425.0,3.0,1.75,1.03,1498.75
Alabama,35461,1,429900.0,4,4,12.3,3763.0,429900.0,4.0,4.0,12.3,3763.0
Alabama,35563,7,79900.0,2,2,1.5,1352.0,81277.14,2.14,1.71,1.17,1303.57
Alabama,35578,3,179900.0,3,3,2.2,2140.0,196433.33,3.0,2.67,2.3,2144.0
Alabama,35620,4,310000.0,3,2,0.64,1645.0,356200.0,3.0,2.25,4.7,1993.25
Alabama,35633,26,214900.0,3,2,0.41,1791.0,234594.23,3.0,2.23,0.66,1863.31
Alabama,35640,20,264900.0,3,2,0.41,1884.0,298718.5,3.3,2.35,0.77,2113.55
Alabama,35670,4,174900.0,3,2,1.3,1497.0,207450.0,3.0,2.25,2.15,1923.75
Alabama,35671,2,675000.0,4,4,0.6,3289.0,1912750.0,4.0,4.5,38.99,3705.5
Alabama,35771,3,379000.0,4,3,2.0,2829.0,362833.33,4.0,3.0,2.64,2717.67
Alabama,35956,7,254900.0,3,2,2.8,1820.0,257657.14,3.29,2.0,2.31,2042.86
Alabama,35959,9,222000.0,3,2,1.13,1376.0,275944.44,3.0,1.89,1.52,1447.67
Alabama,35962,4,113900.0,3,2,0.5,1718.0,191550.0,3.0,2.25,2.73,1825.5
Alabama,35973,8,59900.0,2,1,1.47,1280.0,273711.25,2.63,1.5,2.34,2151.13
Alabama,35976,28,490000.0,3,3,0.42,2215.0,541821.43,3.25,3.07,0.54,2394.82
Alabama,36009,4,89000.0,3,1,0.66,1298.0,113475.0,3.0,1.5,1.42,1524.25
Alabama,36035,2,159900.0,3,2,1.48,1512.0,169450.0,3.0,2.0,1.59,1596.0
Alabama,36067,44,214000.0,3,2,0.33,1717.0,225169.48,3.39,2.18,0.58,1940.16
Alabama,36091,12,249900.0,3,2,2.12,2174.0,321091.67,3.42,2.25,3.23,2191.83
Alabama,36106,48,188000.0,3,2,0.26,1998.0,192750.56,3.15,2.23,0.27,2096.94
Alabama,36260,12,156000.0,3,2,0.44,1656.0,186683.33,3.17,2.42,0.9,2061.08
Alabama,36344,3,215000.0,3,3,1.1,2511.0,296333.33,3.33,2.67,7.81,2228.67
Alabama,36350,6,486999.0,4,4,0.36,3489.0,491265.67,4.5,3.83,0.36,3554.33
Alabama,36511,1,359900.0,4,2,0.76,2130.0,359900.0,4.0,2.0,0.76,2130.0
Alabama,36526,65,374900.0,4,3,0.28,2338.0,391721.77,3.62,2.88,0.29,2284.66
Alabama,36610,6,23900.0,3,1,0.15,1161.0,55650.0,3.17,1.5,0.31,1403.83
Alabama,36613,8,105000.0,3,2,0.45,1620.0,126345.63,3.25,2.0,0.49,1608.25
Alabama,36740,2,149900.0,3,2,1.49,2016.0,274450.0,3.0,3.0,3.3,2208.5
Alabama,36744,6,78500.0,3,2,0.86,2483.0,227266.67,3.33,2.17,10.46,3062.0
Alabama,36782,3,205000.0,4,2,20.0,1610.0,179666.67,3.67,2.0,14.07,1523.33
Alabama,36852,3,349000.0,4,2,0.72,2373.0,295833.33,3.67,2.33,0.91,2210.67
Alabama,36853,13,389000.0,3,2,0.53,1757.0,537907.69,3.15,2.38,0.6,1766.77
Alabama,36860,1,168000.0,3,3,1.0,1863.0,168000.0,3.0,3.0,1.0,1863.0
Alabama,36869,20,150000.0,3,2,0.29,1526.0,173567.05,3.55,2.2,0.47,1682.9
Alabama,36908,3,275000.0,3,3,5.73,2448.0,314666.67,3.33,2.67,4.84,2259.67
Alabama,35013,1,159900.0,3,2,1.5,2005.0,159900.0,3.0,2.0,1.5,2005.0
Alabama,35016,25,264900.0,3,2,0.5,1850.0,287505.2,3.4,2.52,0.57,2021.6
Alabama,35019,3,295000.0,3,3,1.0,1791.0,334666.67,3.67,2.67,1.33,2526.33
Alabama,35020,56,85000.0,3,2,0.21,1353.0,97081.88,3.0,1.57,0.24,1418.84
Alabama,35022,162,249000.0,3,2,0.35,1775.0,245362.34,3.33,2.38,0.52,1940.02
Alabama,35051,27,268930.0,3,2,0.32,1801.0,248184.44,3.37,2.3,0.89,1878.3
Alabama,35062,20,146000.0,3,2,0.98,1596.0,173970.0,2.7,2.0,1.16,1635.6
Alabama,35072,5,120000.0,3,2,1.95,1547.0,118099.8,2.8,1.6,2.2,1601.4
Alabama,35126,142,224900.0,3,2,0.39,1764.0,233384.84,3.29,2.29,0.55,1900.87
Alabama,35149,3,164500.0,4,3,0.03,1607.0,133833.33,3.33,2.33,0.1,1348.67
Alabama,35180,78,210000.0,3,2,0.74,1633.0,223391.58,3.21,2.19,1.12,1786.05
Alabama,35186,19,260000.0,3,2,1.02,2099.0,297373.68,3.42,2.37,1.92,2128.05
Alabama,35209,122,449900.0,3,2,0.22,1746.0,473085.9,3.16,2.25,0.23,1823.79
