state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Alaska,99550,2,269500.0,3,2,0.31,2189.0,384750.0,3.5,3.5,0.37,2794.5
Alaska,99610,3,219000.0,1,1,2.0,750.0,186000.0,1.33,1.0,2.64,836.0
Alaska,99705,27,389900.0,3,2,1.0,1844.0,346524.07,3.37,2.44,1.01,1884.85
Alaska,99623,2,345000.0,3,3,1.09,2160.0,372000.0,4.0,3.5,1.56,2268.0
Alaska,99694,1,325000.0,3,2,80.0,2400.0,325000.0,3.0,2.0,80.0,2400.0
Alaska,99738,2,65000.0,1,1,0.23,600.0,182499.5,2.5,1.5,4.52,1800.0
Alaska,99791,1,199500.0,4,3,0.15,2132.0,199500.0,4.0,3.0,0.15,2132.0
Alaska,99801,56,505000.0,3,2,0.16,1743.0,522842.86,3.54,2.54,0.19,1792.16
Alaska,99827,7,475000.0,3,2,0.48,1750.0,533285.71,2.57,2.14,0.77,2960.86
Alaska,99925,2,650000.0,3,3,1.13,1508.0,672500.0,5.5,4.5,1.51,2729.0
Alaska,99504,18,339000.0,3,2,0.16,1760.0,351155.56,3.39,2.39,0.17,1819.39
Alaska,99568,4,299900.0,3,2,3.33,1520.0,411975.0,3.25,2.0,3.95,1618.5
Alaska,99611,10,275000.0,3,2,0.25,1843.0,366430.0,3.2,2.4,1.51,1992.7
Alaska,99615,8,385000.0,3,2,0.11,1424.0,361500.0,3.13,2.0,0.35,1603.0
Alaska,99654,61,447006.0,3,2,0.97,1819.0,460952.62,3.39,2.48,1.04,1936.13
Alaska,99737,16,349000.0,3,2,1.4,1770.0,341609.44,3.38,2.44,1.87,1974.63
Alaska,99743,2,320000.0,3,2,1.07,1941.0,597500.0,3.5,2.0,1.44,3049.5
Alaska,99760,3,149900.0,2,2,0.32,1200.0,146233.33,2.33,1.67,1.08,1176.0
Alaska,99826,3,269000.0,4,2,1.0,1510.0,295966.67,3.33,2.33,1.34,1903.33
Alaska,99918,7,475000.0,2,2,1.5,1400.0,846142.86,3.57,3.29,1.46,2150.86
Alaska,99559,9,440000.0,5,2,0.32,2240.0,575444.44,5.22,2.67,0.32,2472.89
Alaska,99572,1,879000.0,2,1,1.3,1450.0,879000.0,2.0,1.0,1.3,1450.0
Alaska,99664,2,279000.0,1,1,0.74,852.0,337000.0,2.5,2.5,0.83,1456.0
Alaska,99000,7,200000.0,3,1,10.0,1576.0,247214.29,3.71,1.86,9.52,2338.71
Alaska,99501,16,375000.0,3,3,0.16,2200.0,469300.0,4.94,3.13,0.19,2411.94
Alaska,99515,6,472900.0,3,3,0.24,2148.0,529150.0,3.67,3.0,0.31,2262.33
Alaska,99516,10,850000.0,4,3,0.92,3115.0,802800.0,4.4,3.6,0.93,3361.3
Alaska,99518,3,439900.0,3,3,0.26,1710.0,422933.33,3.33,2.67,0.24,1776.67
Alaska,99556,8,157000.0,1,1,1.47,540.0,323737.5,1.75,1.25,3.0,882.38
Alaska,99830,2,125000.0,4,3,0.14,2800.0,172500.0,5.0,4.0,0.21,2822.5
Alaska,99832,2,125000.0,3,2,0.23,2100.0,125000.0,3.5,2.0,0.23,2200.0
Alaska,99919,4,305000.0,3,3,2.38,2500.0,371500.0,3.0,3.25,2.43,2422.0
Alaska,99921,4,695000.0,3,3,0.59,2800.0,879750.0,5.5,3.75,0.88,4070.0
Alaska,99923,2,149500.0,2,1,0.11,1100.0,199250.0,2.5,1.0,0.23,1290.0
Alaska,99929,3,210000.0,3,1,3.23,1500.0,278333.33,2.33,1.0,21.76,1750.0
Alaska,99502,18,559900.0,4,3,0.2,2175.0,527188.83,3.5,2.56,0.2,2166.22
Alaska,99503,8,375000.0,3,2,0.18,1920.0,443125.0,4.0,2.38,0.22,1948.13
Alaska,99507,12,485000.0,4,3,0.22,2385.0,557747.42,3.58,3.08,0.33,2355.08
Alaska,99517,8,445000.0,6,3,0.16,2288.0,471391.63,6.0,4.38,0.19,3283.13
Alaska,99574,3,439500.0,3,2,0.21,1488.0,511333.33,2.67,1.67,0.27,1539.33
Alaska,99586,3,289000.0,3,2,5.0,1500.0,437333.33,2.67,1.67,20.0,1438.0
Alaska,99627,1,140000.0,4,2,2.0,1908.0,140000.0,4.0,2.0,2.0,1908.0
