state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Arkansas,71602,40,149900.0,3,2,0.67,1668.0,159253.13,3.13,2.05,0.93,1750.93
Arkansas,71647,3,120000.0,3,2,0.56,1200.0,119000.0,2.67,1.67,0.58,1302.67
Arkansas,71665,7,140000.0,3,2,3.33,1568.0,144328.57,3.0,2.0,5.8,1513.71
Arkansas,71730,29,150000.0,3,2,0.32,2079.0,188768.97,3.03,2.17,0.87,2103.86
Arkansas,71901,83,219000.0,3,2,0.29,1721.0,256118.57,3.07,2.19,0.45,1958.89
Arkansas,71968,12,229000.0,3,2,1.05,1404.0,328700.0,2.83,2.17,1.62,1906.33
Arkansas,72046,15,165000.0,3,2,0.48,2204.0,194053.33,3.33,2.33,0.63,1958.6
Arkansas,72064,1,115000.0,3,2,0.66,1791.0,115000.0,3.0,2.0,0.66,1791.0
Arkansas,72069,1,72000.0,3,2,0.26,1052.0,72000.0,3.0,2.0,0.26,1052.0
Arkansas,72070,3,170000.0,3,2,0.9,2208.0,172300.0,3.0,1.67,0.78,2041.67
Arkansas,72110,17,119000.0,3,2,0.54,1232.0,132158.82,3.0,2.0,0.81,1606.47
Arkansas,72116,57,220999.0,3,2,0.26,2036.0,272040.33,3.32,2.39,0.27,2166.4
Arkansas,72123,1,39900.0,3,2,0.32,1232.0,39900.0,3.0,2.0,0.32,1232.0
Arkansas,72153,11,200000.0,3,2,2.0,1976.0,211381.82,3.27,2.09,3.01,2065.82
Arkansas,72175,3,120000.0,3,2,0.57,1496.0,84380.0,3.33,2.0,0.43,1482.67
Arkansas,72436,1,250000.0,3,2,9.5,2186.0,250000.0,3.0,2.0,9.5,2186.0
Arkansas,72455,40,159900.0,3,2,0.7,1700.0,177260.0,3.2,2.1,1.49,1741.68
Arkansas,72472,16,94900.0,3,1,0.17,1134.0,120556.25,3.0,1.5,0.21,1286.0
Arkansas,72513,16,218900.0,3,2,3.0,1792.0,210899.94,3.13,2.44,3.52,2077.75
Arkansas,72534,3,435000.0,3,2,32.0,1649.0,526300.0,3.0,1.67,38.33,1503.67
Arkansas,72616,28,171600.0,3,2,0.87,1540.0,178785.57,3.0,1.96,1.8,1657.21
Arkansas,72631,60,249000.0,3,2,0.33,1620.0,332303.0,2.82,2.37,0.8,1850.13
Arkansas,72642,14,179000.0,3,2,0.93,1868.0,203192.86,2.79,2.21,0.91,1900.29
Arkansas,72645,6,130000.0,3,2,2.94,1512.0,176050.0,3.0,2.0,8.99,1502.67
