state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
California,02585,1,585990.0,4,3,0.17,2091.0,585990.0,4.0,3.0,0.17,2091.0
California,90022,54,650000.0,3,2,0.12,1260.0,678465.48,3.41,2.15,0.12,1415.2
California,90026,170,1295000.0,3,3,0.12,1789.0,1408348.08,3.75,2.92,0.12,1990.05
California,90029,50,1250000.0,4,3,0.14,2090.0,1525441.98,5.14,4.1,0.14,2827.2
California,90041,97,1175000.0,3,3,0.15,1680.0,1251225.06,3.23,2.51,0.14,1692.89
California,90042,185,999999.0,3,2,0.13,1344.0,1075977.68,2.99,2.05,0.13,1440.13
California,90094,94,1199000.0,2,3,0.96,1510.0,1318742.83,2.37,2.53,1.08,1595.83
California,90211,49,2499000.0,3,3,0.15,1988.0,2462799.51,3.51,3.43,0.24,2503.61
California,90220,114,560000.0,3,2,0.12,1110.0,572274.53,2.92,1.65,0.12,1245.95
California,90275,175,1598000.0,4,3,0.24,2086.0,1619324.55,3.55,2.62,0.33,2156.97
California,90290,61,1895000.0,3,3,0.27,2202.0,1949299.9,3.31,3.03,0.57,2366.05
California,90503,132,1099000.0,3,2,0.15,1499.0,1085935.18,2.86,2.34,1.22,1530.5
California,90706,102,750000.0,3,2,0.13,1502.0,771201.73,3.09,2.2,0.16,1550.66
California,90742,4,7200000.0,6,7,0.06,4657.0,7073750.0,6.25,7.0,0.06,5263.5
California,90745,131,698888.0,3,2,0.13,1384.0,701718.29,3.28,2.09,0.34,1413.39
California,90802,277,465000.0,2,1,0.37,858.0,513296.48,1.55,1.48,0.5,888.64
California,90807,113,849900.0,3,2,0.15,1422.0,856595.87,2.67,1.95,0.23,1510.49
California,91001,103,1100000.0,3,2,0.18,1562.0,1139224.01,3.0,2.08,0.18,1590.59
California,91016,145,979000.0,3,2,0.17,1574.0,1007996.12,3.13,2.27,0.19,1655.94
California,91301,136,1199900.0,4,3,0.2,2048.0,1325420.86,3.7,3.01,0.63,2369.1
California,91304,184,889950.0,3,2,0.2,1701.0,928743.55,3.5,2.46,0.27,1877.3
California,91326,120,1149000.0,4,3,0.2,2371.0,1136333.3,3.89,3.0,0.26,2363.63
