state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Connecticut,06013,30,549600.0,4,3,1.4,2743.0,537377.5,3.57,3.1,1.65,2393.9
Connecticut,06024,3,260000.0,4,2,2.6,2352.0,323000.0,4.0,2.33,8.98,2742.67
Connecticut,06057,12,449900.0,3,2,2.0,1856.0,457995.83,3.33,2.5,2.36,2030.75
Connecticut,06058,4,695000.0,4,2,2.98,2650.0,784875.0,4.0,2.5,4.05,2701.75
Connecticut,06063,8,525000.0,4,3,2.7,2626.0,504550.0,3.63,3.0,2.89,2483.0
Connecticut,06065,1,499900.0,3,2,3.25,6314.0,499900.0,3.0,2.0,3.25,6314.0
Connecticut,06111,39,275000.0,3,2,0.23,1352.0,278082.03,3.0,2.05,0.22,1401.23
Connecticut,06247,6,239900.0,3,2,1.84,1440.0,323258.33,3.17,2.17,3.03,1956.33
Connecticut,06330,12,269900.0,3,2,1.3,1408.0,250358.33,3.5,2.0,1.39,1537.33
Connecticut,06382,17,229000.0,3,2,0.33,1188.0,232182.35,3.12,1.53,0.37,1162.29
Connecticut,06420,6,320000.0,3,2,1.2,1500.0,364133.33,3.5,2.33,1.4,1795.5
Connecticut,06442,5,450000.0,3,2,0.93,2349.0,497580.0,3.0,2.2,0.89,2136.6
Connecticut,06518,34,299000.0,3,2,0.37,1528.0,308024.68,3.26,2.47,0.48,1610.09
Connecticut,06702,3,199900.0,6,3,0.1,3110.0,202933.33,5.67,3.0,0.1,3146.0
Connecticut,06763,9,749000.0,3,3,2.46,2649.0,863644.44,3.22,3.0,3.3,2165.22
Connecticut,06783,19,1195000.0,4,3,4.11,2820.0,1555573.68,3.63,3.47,9.32,2864.42
Connecticut,06790,87,209900.0,3,2,0.26,1532.0,221171.25,3.37,2.0,0.26,1603.84
Connecticut,06807,46,1750000.0,4,3,0.35,2458.0,1833217.39,3.89,3.54,0.69,2752.15
Connecticut,06855,17,875000.0,4,3,0.3,2981.0,1535929.41,4.06,3.53,0.3,3001.47
Connecticut,06040,61,250000.0,3,2,0.21,1572.0,285865.56,3.28,2.2,0.32,1729.82
Connecticut,06093,6,459900.0,3,3,1.3,2184.0,503100.0,3.0,2.83,1.32,2189.67
Connecticut,06109,67,289000.0,3,2,0.29,1456.0,329618.64,3.12,2.15,0.32,1591.09
Connecticut,06226,20,174000.0,3,2,0.21,1440.0,180215.0,3.75,2.0,0.22,1547.1
Connecticut,06254,2,269900.0,3,1,0.5,1336.0,284900.0,3.5,2.0,0.98,1893.5
Connecticut,06320,59,230000.0,3,2,0.14,1668.0,246750.44,3.93,2.32,0.15,1773.78
Connecticut,06331,12,349900.0,3,2,2.27,1635.0,393749.92,3.0,2.17,3.22,1638.5
Connecticut,06334,2,243000.0,3,1,0.7,1108.0,351450.0,3.0,1.5,1.27,1443.5
Connecticut,06354,12,279900.0,3,2,0.35,1368.0,301708.33,3.17,2.0,0.61,1566.67
Connecticut,06389,1,159900.0,4,2,0.13,2116.0,159900.0,4.0,2.0,0.13,2116.0
Connecticut,06401,43,279900.0,3,2,0.16,1466.0,285269.77,3.79,2.09,0.17,1626.35
Connecticut,06424,50,544900.0,4,3,1.03,2575.0,509462.4,3.78,3.0,0.87,2503.0
Connecticut,06426,17,795000.0,3,3,0.48,2508.0,889252.94,3.24,3.06,0.69,2454.71
Connecticut,06606,106,329900.0,3,2,0.12,1398.0,333131.95,3.35,2.03,0.14,1560.54
Connecticut,06608,17,299000.0,4,2,0.1,2499.0,300017.65,4.59,2.47,0.1,2369.76
Connecticut,06610,50,280000.0,4,2,0.11,1500.0,303755.98,4.06,2.1,0.13,1767.62
Connecticut,06615,44,299000.0,3,2,0.14,1372.0,314284.05,3.2,2.02,0.17,1487.59
Connecticut,06753,2,10000000.0,5,7,450.95,12373.0,12497500.0,7.5,11.0,500.48,15186.5
Connecticut,06756,26,695000.0,4,3,1.03,2619.0,769126.46,3.69,3.46,2.68,2699.58
Connecticut,06782,5,399900.0,3,3,0.93,1782.0,324759.8,2.6,2.4,0.82,1691.0
Connecticut,06811,61,430000.0,3,2,0.46,1544.0,480209.84,3.18,2.25,0.53,1665.36
Connecticut,06850,47,562000.0,3,2,0.29,1651.0,633666.53,3.4,2.45,0.52,1918.19
Connecticut,06853,25,1595000.0,4,4,0.24,2962.0,1759600.0,3.92,3.64,0.24,2872.64
Connecticut,06019,24,375000.0,4,3,1.5,2352.0,477587.08,3.67,3.0,1.58,2418.67
Connecticut,06031,8,725000.0,3,2,6.03,2252.0,773000.0,3.25,2.25,19.77,2286.5
Connecticut,06033,57,479900.0,4,3,0.66,2346.0,568974.81,3.74,3.19,0.75,2520.65
Connecticut,06035,9,324900.0,3,2,0.78,1550.0,344277.78,3.22,2.11,1.17,1743.33
Connecticut,06068,7,925000.0,4,4,5.37,2178.0,1357000.0,4.0,3.43,5.48,2743.57
Connecticut,06069,19,595000.0,3,3,5.22,1827.0,1008067.21,3.37,2.84,13.0,2399.79
Connecticut,06085,13,399900.0,3,2,0.51,2108.0,501974.46,3.23,2.92,0.77,2154.31
Connecticut,06108,20,225000.0,3,2,0.21,1403.0,231045.0,3.45,2.0,0.22,1460.55
Connecticut,06232,3,299000.0,3,2,1.08,1124.0,287633.33,3.0,2.33,1.12,1102.67
Connecticut,06237,16,340000.0,3,3,1.53,1882.0,395799.19,3.25,2.38,2.15,1966.13
Connecticut,06250,13,329000.0,3,3,1.2,1600.0,352900.0,3.15,2.54,1.61,1813.23
