state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Delaware,19702,212,285000.0,3,3,0.15,1800.0,303598.23,3.13,2.67,0.15,1903.58
Delaware,19731,2,129500.0,3,2,0.24,1400.0,199750.0,3.0,2.5,0.38,1937.5
Delaware,19804,64,255500.0,3,2,0.14,1475.0,263029.53,3.0,1.94,0.14,1518.45
Delaware,19933,30,254990.0,3,2,0.4,1512.0,255297.2,3.0,2.0,0.45,1471.6
Delaware,19938,49,325000.0,3,2,0.24,1859.0,313219.86,3.33,2.45,0.41,1896.0
Delaware,19954,6,339900.0,3,2,0.59,1472.0,398300.0,3.0,2.33,0.89,1874.67
Delaware,19966,256,453900.0,3,3,0.22,2085.0,474126.81,3.3,2.66,0.26,2210.43
Delaware,19930,65,1280000.0,4,3,0.17,2400.0,1368486.55,4.11,3.46,0.18,2532.46
Delaware,19944,7,1490000.0,3,3,0.13,1800.0,1492714.14,3.14,3.14,0.13,1906.0
Delaware,19951,78,559900.0,3,2,0.25,2266.0,548336.08,3.32,2.68,0.25,2413.37
Delaware,19973,101,285500.0,3,2,0.53,1700.0,295944.81,3.27,2.28,0.65,1976.03
Delaware,19711,174,359900.0,4,3,0.24,2072.0,381042.47,3.48,2.59,0.3,2229.47
Delaware,19810,101,400000.0,4,3,0.25,2225.0,413382.21,3.63,2.74,0.27,2236.16
Delaware,19936,1,39000.0,3,1,0.08,1564.0,39000.0,3.0,1.0,0.08,1564.0
Delaware,19939,44,525000.0,3,3,0.25,2335.0,535180.14,3.45,2.57,0.31,2297.11
Delaware,19945,56,442500.0,3,2,0.23,1750.0,450291.79,3.2,2.36,0.31,1952.43
Delaware,19952,43,285000.0,3,2,0.52,1544.0,291410.44,3.0,2.14,0.57,1643.42
Delaware,19963,107,299900.0,3,2,0.3,1764.0,343410.4,3.21,2.27,0.36,1833.46
Delaware,19706,17,409995.0,3,3,0.08,2397.0,395657.12,3.0,3.12,0.08,2184.41
Delaware,19709,327,465000.0,3,3,0.19,2436.0,477702.33,3.47,3.13,0.28,2687.05
Delaware,19806,50,350000.0,3,3,0.05,1825.0,387559.0,3.16,2.54,0.05,1930.22
Delaware,19901,130,260000.0,3,2,0.19,1552.0,263483.6,3.29,2.24,0.25,1685.49
Delaware,19955,2,240000.0,3,2,0.17,1020.0,257967.5,3.0,2.0,0.19,1195.5
Delaware,19958,257,626900.0,3,3,0.25,2390.0,607679.82,3.46,2.89,0.29,2430.7
Delaware,19968,78,470000.0,3,2,0.35,1980.0,496687.9,3.15,2.45,0.45,2113.32
Delaware,19979,4,335000.0,3,2,0.62,1680.0,341175.0,3.5,2.5,0.92,1644.0
Delaware,19934,72,294000.0,3,3,0.35,1892.0,319857.15,3.29,2.51,0.34,2011.19
Delaware,19946,19,324900.0,3,2,0.31,1897.0,309294.68,3.32,2.37,0.35,1988.21
Delaware,19975,81,599000.0,3,3,0.2,2200.0,636399.86,3.51,3.06,0.21,2277.23
Delaware,19701,182,349900.0,3,3,0.14,2050.0,354269.78,3.27,2.82,0.21,2242.75
Delaware,19805,196,194999.0,3,2,0.04,1275.0,193134.92,3.0,1.68,0.07,1396.49
Delaware,19807,52,845000.0,4,4,0.56,3575.0,951714.0,3.9,3.56,0.99,3722.65
Delaware,19808,196,333000.0,3,3,0.18,2075.0,338726.96,3.17,2.44,0.18,2088.2
Delaware,19809,87,300000.0,3,2,0.18,1775.0,289235.62,3.2,2.13,0.18,1815.87
Delaware,19956,52,279000.0,3,2,0.75,1624.0,286363.44,3.13,2.21,0.77,1714.73
Delaware,19962,69,369900.0,4,3,0.28,2154.0,354321.96,3.62,2.75,0.32,2141.1
Delaware,19967,16,375000.0,3,3,0.13,1830.0,411362.5,3.0,2.63,0.11,1796.13
Delaware,19970,89,525000.0,3,3,0.22,2112.0,540810.91,3.45,2.74,0.23,2182.84
Delaware,19977,173,380000.0,3,3,0.23,2080.0,388711.14,3.42,2.77,0.26,2284.49
Delaware,19730,3,649000.0,3,4,0.9,3725.0,608000.0,3.33,4.0,1.31,3191.67
Delaware,19734,63,414900.0,3,3,0.22,2425.0,409454.89,3.46,2.81,0.24,2436.71
Delaware,19904,150,265000.0,3,2,0.21,1748.0,279535.63,3.36,2.37,0.26,1838.25
Delaware,19801,30,199900.0,3,2,0.03,1500.0,185355.0,3.0,2.17,0.03,1458.27
Delaware,19803,136,429000.0,4,3,0.26,2400.0,480238.88,3.65,2.72,0.28,2470.43
Delaware,19943,102,351000.0,3,2,0.3,1848.0,344176.58,3.32,2.35,0.44,1872.0
Delaware,19950,24,280000.0,3,2,0.54,1836.0,299505.71,3.0,2.33,0.65,1749.58
Delaware,19960,26,329000.0,3,2,0.77,1568.0,334432.15,3.0,2.0,0.86,1650.77
Delaware,19964,6,249900.0,4,2,0.77,1800.0,295283.33,3.67,2.33,5.4,1750.67
Delaware,19703,76,300000.0,3,2,0.07,1652.0,301079.83,3.0,2.16,0.11,1664.17
Delaware,19707,81,499900.0,4,3,0.41,2750.0,506023.46,3.72,3.15,0.48,2866.88
Delaware,19941,16,250000.0,3,2,0.17,1232.0,284853.0,3.44,2.13,0.22,1441.0
Delaware,19713,69,280000.0,3,2,0.19,1900.0,275802.86,3.48,2.0,0.2,1908.13
Delaware,19720,191,230000.0,3,2,0.15,1325.0,241727.89,3.0,1.83,0.15,1476.67
Delaware,19732,2,550000.0,2,2,0.08,1475.0,642250.0,2.5,3.0,1.14,2162.5
Delaware,19802,129,165000.0,3,2,0.05,1300.0,162958.24,3.0,1.74,0.05,1382.71
Delaware,19940,33,279900.0,3,2,0.25,1689.0,327972.39,3.42,2.45,0.48,1844.76
Delaware,19947,71,409990.0,3,2,0.75,1968.0,392909.9,3.39,2.42,0.62,2016.07
Delaware,19953,8,269900.0,3,2,0.56,1568.0,265612.5,3.0,2.0,1.3,1537.38
Delaware,19971,76,625000.0,4,3,0.22,2300.0,942912.75,3.59,3.04,0.22,2397.5
Delaware,19980,1,595000.0,5,3,2.0,3992.0,595000.0,5.0,3.0,2.0,3992.0
