state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Hawaii,96708,24,1699000.0,3,3,1.5,2530.0,1724041.67,3.29,2.75,1.7,2378.25
Hawaii,96713,13,1975000.0,2,1,3.37,2131.0,2107999.92,2.38,2.0,5.14,2186.31
Hawaii,96714,10,3100000.0,3,2,0.18,1634.0,3853500.0,3.0,2.5,0.24,1892.4
Hawaii,96756,24,1995000.0,3,2,0.24,1884.0,4109041.67,3.33,3.17,0.41,2327.5
Hawaii,96796,4,900000.0,3,3,0.34,1662.0,1096000.0,9.25,5.25,0.49,3553.0
Hawaii,96707,73,869900.0,3,2,0.14,1429.0,903641.08,3.25,2.48,2.47,1521.48
Hawaii,96740,100,1295000.0,3,3,0.28,1984.0,1928681.98,3.36,2.98,0.42,2195.92
Hawaii,96752,2,797000.0,4,3,0.17,1330.0,923000.0,4.0,3.0,0.18,1729.0
Hawaii,96753,286,998000.0,2,2,3.82,898.0,1555169.54,2.05,1.95,5.53,1175.78
Hawaii,96781,5,330000.0,3,1,0.35,1160.0,387600.0,3.0,1.4,0.32,1087.6
Hawaii,96819,33,999000.0,4,3,0.12,1806.0,1036057.55,5.12,2.97,0.14,2119.55
Hawaii,96737,56,310000.0,2,2,1.0,1080.0,309964.27,2.29,1.79,1.4,1179.39
Hawaii,96755,6,699000.0,3,2,0.34,972.0,681500.0,3.17,2.33,0.35,1236.0
Hawaii,96766,7,1390000.0,3,3,0.13,2096.0,1842857.14,3.29,3.29,0.15,2198.43
Hawaii,96773,3,2800000.0,8,6,24.49,6095.0,3196666.67,7.0,6.33,42.16,5295.67
Hawaii,96783,3,1950000.0,2,2,3.49,1784.0,2071666.67,2.33,2.33,8.54,2162.33
Hawaii,96791,15,1125000.0,3,2,0.17,1456.0,1270400.0,3.47,2.33,0.17,1717.8
Hawaii,96704,20,789000.0,3,2,1.54,1104.0,922644.95,2.75,1.95,2.25,1285.8
Hawaii,96710,2,700000.0,3,2,0.4,1408.0,825000.0,4.0,2.5,0.49,2038.0
Hawaii,96728,2,370000.0,2,2,0.25,748.0,11685000.0,3.5,5.0,26.12,4883.5
Hawaii,96741,12,1148000.0,3,3,0.26,2027.0,1307991.67,3.33,2.75,0.3,2090.58
Hawaii,96748,30,389000.0,2,2,0.42,1104.0,600086.63,2.3,1.97,1.92,1329.9
Hawaii,96764,3,799000.0,3,1,0.17,966.0,1064333.33,2.33,2.0,0.42,1311.0
Hawaii,96793,87,918000.0,3,2,0.19,1529.0,1123975.84,2.95,2.31,0.57,1583.22
Hawaii,96818,52,450000.0,2,2,1.6,888.0,485538.46,2.13,1.62,2.04,867.88
Hawaii,96725,10,1400000.0,4,4,2.5,2597.0,2109900.0,4.0,4.0,4.12,2880.9
Hawaii,96730,7,1195000.0,2,2,0.25,1520.0,1020285.71,2.29,2.14,2.94,1744.57
Hawaii,96771,46,325000.0,3,2,1.2,1158.0,338217.39,2.78,1.87,1.69,1204.78
Hawaii,96776,3,599000.0,3,2,0.2,1608.0,766166.67,3.33,2.0,0.49,1918.0
Hawaii,96786,26,888000.0,3,2,0.13,1284.0,869957.65,3.5,2.15,0.15,1461.96
Hawaii,96813,74,539000.0,1,1,1.34,895.0,658358.11,1.92,1.58,1.18,1025.49
Hawaii,96825,52,1275000.0,3,2,0.22,1706.0,1412688.46,3.08,2.48,1.17,1958.02
Hawaii,96722,15,2749000.0,4,3,0.26,2586.0,4303533.33,3.73,3.33,0.59,2563.67
Hawaii,96746,40,895000.0,3,2,0.27,1488.0,1121900.0,2.93,2.5,0.48,1570.68
Hawaii,96754,17,2500000.0,3,3,1.15,2484.0,4287294.53,3.35,3.29,1.92,2743.41
Hawaii,96763,3,735000.0,3,2,0.14,1084.0,3110000.0,3.0,2.67,0.47,2313.67
Hawaii,96780,2,1999777.0,5,2,9.44,2008.0,5974888.5,5.5,4.5,54.47,4715.0
Hawaii,96792,141,758000.0,3,3,0.14,1546.0,734925.05,3.5,2.5,0.14,1514.32
Hawaii,96822,83,400000.0,2,1,0.37,880.0,772854.19,2.16,1.69,0.51,1182.45
Hawaii,96826,62,450000.0,2,1,1.18,709.0,502040.31,1.68,1.42,1.07,826.71
Hawaii,96712,19,2899000.0,4,4,0.31,3575.0,4615157.89,3.79,3.68,0.57,3457.53
Hawaii,96717,13,1085000.0,4,3,0.15,2460.0,1390146.08,3.69,3.23,0.7,2616.46
Hawaii,96720,66,495000.0,3,2,0.24,1410.0,522578.0,3.17,2.14,0.29,1470.58
Hawaii,96727,12,659000.0,3,2,0.47,1584.0,1272083.33,3.33,2.92,2.03,1974.42
Hawaii,96738,18,850000.0,3,2,0.26,1684.0,961833.33,3.17,2.5,0.27,1807.11
Hawaii,96750,4,800000.0,3,3,0.5,1409.0,2043750.0,3.0,3.25,0.79,2324.25
Hawaii,96760,15,449000.0,3,2,2.0,1400.0,444500.0,2.6,1.93,2.01,1239.73
Hawaii,96762,6,1600000.0,4,3,0.24,1990.0,2781333.33,4.5,3.33,0.27,2564.0
Hawaii,96768,37,1099000.0,3,3,0.23,1780.0,1092010.81,3.38,2.65,0.26,1868.22
Hawaii,96770,16,349000.0,2,2,5.17,990.0,979500.0,2.31,2.5,8.73,1499.38
Hawaii,96815,244,529000.0,1,1,0.91,717.0,647653.78,1.39,1.33,1.26,848.98
Hawaii,96719,4,675000.0,3,2,0.6,1548.0,860737.25,3.0,2.0,0.73,1609.0
Hawaii,96732,46,879000.0,3,2,0.18,1460.0,741247.83,2.78,2.13,2.18,1407.37
Hawaii,96744,59,852000.0,3,2,0.18,1194.0,1048655.93,3.2,2.07,0.8,1616.25
Hawaii,96772,7,425000.0,3,2,0.31,1232.0,444714.29,2.71,2.29,0.31,1290.29
Hawaii,96782,25,750000.0,3,2,0.29,1268.0,748264.0,2.92,2.0,4.28,1342.48
Hawaii,96785,42,376000.0,3,2,0.46,1196.0,393477.86,2.4,1.95,1.36,1194.71
Hawaii,96789,87,749000.0,3,2,0.18,1424.0,790931.64,2.91,2.15,2.7,1417.63
Hawaii,96790,31,1650000.0,3,3,1.38,2000.0,1918996.77,3.23,2.84,1.34,2467.65
Hawaii,96817,58,589000.0,2,1,0.95,1004.0,757398.28,2.71,1.84,1.49,1409.67
Hawaii,96705,2,679000.0,2,2,0.18,908.0,714000.0,2.5,2.0,0.21,913.0
Hawaii,96706,145,890000.0,3,3,0.09,1516.0,949530.93,3.43,2.72,0.1,1594.66
Hawaii,96716,3,800000.0,3,2,0.14,1288.0,841666.67,3.33,2.0,0.25,1390.33
Hawaii,96726,1,745000.0,7,4,7.5,3224.0,745000.0,7.0,4.0,7.5,3224.0
Hawaii,96731,13,1250000.0,2,2,7.51,1072.0,1682992.31,2.0,1.85,8.88,1169.31
Hawaii,96757,1,425000.0,3,2,0.36,1052.0,425000.0,3.0,2.0,0.36,1052.0
Hawaii,96778,77,317000.0,3,2,0.28,1188.0,317539.64,2.81,2.0,0.28,1204.92
Hawaii,96779,17,2695000.0,4,3,0.28,1759.0,3422588.12,3.82,2.65,0.33,1887.29
Hawaii,96795,12,1350000.0,4,3,0.26,1840.0,1963499.92,4.17,3.33,0.41,2650.92
Hawaii,96797,67,899000.0,3,2,0.14,1512.0,877605.96,3.48,2.3,0.84,1565.97
Hawaii,96816,61,1495000.0,4,3,0.13,2292.0,2848125.64,4.03,3.38,0.23,2834.85
Hawaii,96821,38,2300000.0,4,4,0.25,3332.0,2740657.84,4.16,3.68,0.26,3426.55
Hawaii,96701,54,515000.0,2,2,2.15,1033.0,588938.67,2.28,1.83,3.63,1129.09
Hawaii,96703,7,699900.0,2,2,0.24,1032.0,1228842.86,2.43,1.71,0.25,1054.43
Hawaii,96734,76,1589000.0,4,3,0.17,2222.0,2173267.11,4.29,3.08,0.2,2511.17
Hawaii,96743,35,1999000.0,3,3,0.76,2295.0,2883028.57,3.57,3.46,1.26,2578.06
Hawaii,96749,73,515000.0,3,3,1.0,1568.0,558694.52,3.32,2.53,1.0,1646.07
Hawaii,96761,259,1200000.0,2,2,5.01,1085.0,2032122.39,2.24,2.2,9.05,1455.19
Hawaii,96777,3,325000.0,4,2,0.26,1418.0,379333.33,3.0,2.33,1.45,1408.0
Hawaii,96814,75,559000.0,2,2,1.29,940.0,799860.72,1.79,1.63,2.11,997.67
