state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Illinois,60042,52,219900.0,3,2,0.19,1308.0,237863.1,2.71,2.04,0.17,1501.12
Illinois,60048,126,569900.0,4,3,0.25,2530.0,614453.77,3.84,3.37,0.42,2749.19
Illinois,60050,208,239900.0,3,2,0.22,1390.0,248502.13,2.84,2.18,0.22,1597.14
Illinois,60053,106,409999.0,3,2,0.15,1717.0,425887.26,3.26,2.43,0.16,1831.26
Illinois,60070,39,424900.0,3,2,0.5,1862.0,485233.69,3.51,2.87,0.53,2238.49
Illinois,60081,48,329900.0,3,3,0.72,2000.0,334838.54,3.44,2.54,0.74,2166.75
Illinois,60096,30,234000.0,3,2,0.35,1600.0,251006.67,3.37,2.33,0.34,1630.77
Illinois,60099,84,175000.0,3,2,0.19,1110.0,179890.11,3.19,1.76,0.21,1332.15
Illinois,60111,1,380000.0,3,1,8.33,1331.0,380000.0,3.0,1.0,8.33,1331.0
Illinois,60143,43,405000.0,3,3,0.18,2045.0,435067.4,3.16,2.67,0.21,1960.28
Illinois,60147,1,349000.0,2,2,0.48,2375.0,349000.0,2.0,2.0,0.48,2375.0
Illinois,60172,60,354900.0,3,3,0.19,1859.0,362905.55,3.3,2.63,0.2,1857.05
Illinois,60173,13,507470.0,3,3,0.02,1782.0,487174.62,3.0,3.38,0.03,1761.23
Illinois,60175,103,609900.0,4,4,0.99,3513.0,627225.12,4.0,3.81,0.9,3654.18
Illinois,60180,8,372500.0,4,3,0.97,2000.0,348898.75,3.88,2.63,3.6,2203.25
Illinois,60181,64,284900.0,3,2,0.18,1344.0,286879.53,3.0,2.0,0.16,1393.64
Illinois,60193,86,389000.0,3,3,0.22,1797.0,395067.2,3.48,2.63,0.22,1897.52
Illinois,60444,7,154900.0,3,2,0.33,1500.0,156385.71,3.29,1.57,0.35,1601.57
Illinois,60457,12,299873.0,3,2,0.23,1200.0,315264.42,3.0,2.25,0.27,1705.67
Illinois,60469,17,199000.0,4,2,0.13,1229.0,206240.71,3.47,1.71,0.14,1356.41
Illinois,60491,68,390980.0,3,3,0.22,2485.0,446413.35,3.31,3.06,0.25,2573.82
Illinois,60545,94,251000.0,3,3,0.2,1644.0,247117.38,3.18,2.39,0.21,1688.6
Illinois,60560,279,309597.0,3,3,0.25,1866.0,322354.59,3.26,2.8,0.22,2060.29
Illinois,60611,8,1575000.0,3,4,0.04,3570.0,2207250.0,3.63,4.38,0.04,4112.88
Illinois,60634,169,359500.0,3,2,0.09,1500.0,376679.78,3.27,2.34,0.09,1695.56
Illinois,60653,53,665000.0,4,4,0.07,3000.0,603798.09,4.04,3.7,0.09,3114.17
Illinois,60661,1,949900.0,3,3,0.05,2400.0,949900.0,3.0,3.0,0.05,2400.0
Illinois,60913,3,169900.0,3,1,0.5,1408.0,186566.67,3.0,1.33,0.46,1512.0
Illinois,60951,3,299900.0,3,2,6.0,1920.0,366633.0,3.33,3.0,5.42,2745.33
Illinois,60957,28,115000.0,3,1,0.21,1368.0,121200.0,3.0,1.57,0.26,1444.61
Illinois,60961,4,149900.0,2,2,0.7,1050.0,152450.0,2.75,1.75,2.12,1317.75
Illinois,60970,60,94000.0,3,2,0.24,1396.0,108075.0,2.9,1.73,0.28,1488.6
Illinois,61008,136,175000.0,3,2,0.23,1648.0,198455.01,3.18,2.21,0.29,1773.62
Illinois,61036,46,295000.0,3,3,0.8,2267.0,363284.78,3.2,3.13,0.98,2558.22
Illinois,61042,2,54900.0,3,2,1.0,1200.0,54900.0,3.0,2.0,1.0,1200.0
Illinois,61060,4,149000.0,4,2,4.4,2164.0,189500.0,4.0,2.0,4.34,2205.0
Illinois,61067,2,114900.0,2,2,0.2,1209.0,122400.0,2.0,2.0,0.6,1309.5
Illinois,61252,24,119900.0,3,2,0.12,1450.0,139591.67,3.0,1.75,0.28,1611.88
Illinois,61258,1,119000.0,3,2,0.5,1539.0,119000.0,3.0,2.0,0.5,1539.0
Illinois,61279,1,59000.0,4,2,0.28,1224.0,59000.0,4.0,2.0,0.28,1224.0
Illinois,61281,12,95000.0,3,1,0.53,1440.0,200625.0,3.33,2.25,0.64,2135.83
Illinois,61340,2,145900.0,3,1,0.37,1452.0,177950.0,4.0,2.0,0.69,2026.0
Illinois,61342,19,149900.0,3,2,0.24,1568.0,146073.37,3.0,1.79,0.24,1551.89
Illinois,61354,51,115000.0,3,2,0.16,1380.0,137525.49,2.98,1.84,0.15,1461.29
