state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Kansas,66013,42,539950.0,4,3,0.2,2571.0,549648.62,3.67,3.45,0.22,2348.6
Kansas,66023,2,69000.0,4,2,0.39,1638.0,121750.0,4.0,2.5,1.25,1907.0
Kansas,66025,6,240000.0,3,2,0.21,1752.0,256558.33,3.33,2.33,0.25,1748.5
Kansas,66043,27,335000.0,4,3,0.29,2634.0,325679.44,3.89,3.3,0.3,2666.63
Kansas,66044,35,234900.0,3,2,0.14,1245.0,237448.57,2.51,1.66,0.15,1337.57
Kansas,66061,145,575000.0,4,3,0.24,2685.0,561820.19,4.0,3.5,0.25,2740.7
Kansas,66062,238,562950.0,4,3,0.23,2732.0,543358.15,4.0,3.63,0.24,2728.26
Kansas,66064,22,150000.0,3,2,0.16,1246.0,156263.59,2.73,1.68,0.22,1261.09
Kansas,66080,1,470000.0,8,4,20.0,5976.0,470000.0,8.0,4.0,20.0,5976.0
Kansas,66102,34,149900.0,3,2,0.14,1169.0,159908.82,2.85,1.82,0.13,1300.18
Kansas,66212,52,300000.0,3,3,0.25,1688.0,312312.5,3.44,2.65,0.25,1884.75
Kansas,66214,9,275000.0,4,3,0.23,1940.0,296266.67,3.56,2.56,0.22,1847.44
Kansas,66401,7,259000.0,4,2,0.35,2684.0,236271.43,3.86,2.71,0.35,2389.14
Kansas,66423,3,575000.0,2,3,13.1,2081.0,446333.33,2.33,2.67,10.07,1822.33
Kansas,66439,9,82000.0,2,1,0.21,1258.0,80833.33,2.56,1.44,0.26,1368.89
Kansas,66520,2,350000.0,3,2,2.13,2728.0,450000.0,3.5,2.5,3.43,3092.0
Kansas,66537,3,400000.0,4,3,9.93,2497.0,395000.0,3.67,3.0,10.8,2121.67
Kansas,66539,5,265000.0,4,3,5.43,2877.0,285480.0,4.2,3.0,5.19,2719.2
Kansas,66603,3,55000.0,3,2,0.13,1235.0,52950.0,2.67,1.67,0.14,1193.0
Kansas,66610,27,355000.0,4,3,0.35,2888.0,361455.56,4.26,3.22,0.38,2964.81
Kansas,66616,17,82500.0,2,1,0.15,1082.0,79547.0,2.41,1.24,0.19,1117.47
Kansas,66735,3,72500.0,3,1,1.0,1390.0,172466.67,3.33,1.67,2.51,1904.0
Kansas,66753,3,35000.0,2,1,0.24,1037.0,49833.33,2.0,1.0,0.24,879.67
Kansas,66762,77,110000.0,3,2,0.18,1351.0,134855.39,2.88,1.75,0.22,1375.88
Kansas,66835,3,109900.0,3,2,0.3,1512.0,136566.67,3.0,2.33,0.29,1386.0
Kansas,66856,2,179000.0,3,2,0.46,1626.0,199450.0,3.5,2.0,0.47,1808.0
Kansas,67050,3,464900.0,5,3,0.5,3658.0,471633.33,4.67,3.67,0.48,3508.0
Kansas,67074,3,92000.0,2,1,0.5,1401.0,130666.67,2.33,1.67,1.28,1185.67
Kansas,67118,3,220000.0,5,2,0.64,1744.0,174300.0,4.33,2.0,0.88,2202.67
Kansas,67156,47,105000.0,3,2,0.19,1448.0,125457.55,3.02,1.79,0.24,1639.3
Kansas,67205,71,388000.0,4,3,0.25,2612.0,408542.04,3.93,2.83,0.26,2661.58
Kansas,67213,19,85000.0,2,1,0.16,948.0,85726.32,2.32,1.0,0.16,984.32
Kansas,67335,21,75000.0,3,2,0.33,1399.0,93028.57,3.05,1.71,0.56,1504.29
Kansas,67417,2,62500.0,2,1,3.0,1344.0,98750.0,2.5,1.5,7.65,1349.0
Kansas,67456,13,205000.0,3,3,0.26,1520.0,215661.54,3.38,2.46,0.31,1555.46
Kansas,67484,2,69000.0,3,1,0.22,960.0,69000.0,3.0,1.0,0.22,960.0
Kansas,67525,4,89000.0,4,1,0.24,1427.0,102250.0,3.5,1.5,0.26,1403.75
Kansas,67561,9,49500.0,3,1,0.3,1200.0,59644.44,2.56,1.33,0.48,1234.78
Kansas,67653,2,120000.0,4,2,0.48,1356.0,132500.0,4.5,2.5,0.74,1742.0
Kansas,67744,1,54900.0,3,2,0.29,1882.0,54900.0,3.0,2.0,0.29,1882.0
Kansas,67748,12,99500.0,3,2,0.17,1624.0,114291.67,3.5,2.0,0.21,1854.92
Kansas,67835,13,165000.0,4,2,0.21,1438.0,197660.77,3.46,2.15,0.23,1478.77
Kansas,67877,10,139900.0,4,2,0.25,1352.0,157660.0,3.7,2.2,0.28,1443.1
Kansas,66007,69,405950.0,4,3,0.27,2131.0,440704.0,3.52,2.77,0.29,2227.64
Kansas,66046,27,299900.0,3,2,0.2,1563.0,284798.15,3.0,2.11,0.21,1585.15
Kansas,66048,112,240000.0,4,3,0.2,2046.0,261609.29,3.38,2.47,0.22,2032.02
Kansas,66050,5,125000.0,3,1,0.4,1162.0,126780.0,3.0,1.4,0.95,1273.8
Kansas,66053,18,424950.0,3,3,0.22,2772.0,414591.67,3.72,3.39,0.58,2702.72
Kansas,66067,35,154900.0,2,1,0.17,1114.0,150368.57,2.54,1.4,0.2,1279.49
Kansas,66202,38,275000.0,3,2,0.2,1307.0,272822.37,2.82,2.16,0.24,1502.58
Kansas,66205,42,364900.0,3,2,0.19,1681.0,458950.0,3.21,2.52,0.21,1895.93
Kansas,66224,116,795000.0,4,5,0.31,3739.0,854995.66,4.31,4.54,0.32,3954.42
Kansas,66227,70,615500.0,4,3,0.24,2838.0,621241.36,4.0,3.47,0.25,2859.7
Kansas,66436,7,199000.0,3,3,2.66,1860.0,271557.14,3.57,2.71,2.53,2876.43
Kansas,66441,344,150000.0,3,2,0.19,1820.0,161734.3,3.38,2.23,0.2,1898.03
Kansas,66503,180,290000.0,4,3,0.26,2380.0,308562.19,3.77,2.67,0.32,2439.09
