state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Maine,03904,7,694900.0,3,3,0.46,1862.0,617214.29,3.0,2.43,0.36,1730.71
Maine,04042,2,399900.0,3,2,1.0,1428.0,424900.0,3.0,2.0,2.59,2035.5
Maine,04079,2,599000.0,3,2,0.64,2260.0,724500.0,3.0,2.5,2.09,2665.0
Maine,04084,5,450000.0,3,2,1.41,1768.0,1236800.0,3.2,2.0,2.88,1833.0
Maine,04085,1,350000.0,8,2,0.3,4320.0,350000.0,8.0,2.0,0.3,4320.0
Maine,04224,6,134900.0,3,1,0.52,1296.0,156716.67,3.5,1.5,0.83,1477.17
Maine,04254,8,229900.0,3,2,0.39,1794.0,310237.5,3.5,2.25,1.86,2062.25
Maine,04330,14,297500.0,3,2,0.57,1658.0,295389.64,3.0,1.79,0.75,1634.29
Maine,04345,13,259900.0,3,2,1.3,1416.0,273507.69,3.0,1.69,1.67,1604.62
Maine,04348,3,325000.0,3,1,2.4,1176.0,334666.67,3.0,1.67,4.59,1305.33
Maine,04354,1,325000.0,1,1,1.28,640.0,325000.0,1.0,1.0,1.28,640.0
Maine,04413,2,50000.0,2,2,1.4,1616.0,254500.0,3.5,2.0,5.25,1780.0
Maine,04434,4,325000.0,3,2,9.14,1250.0,548750.0,3.0,2.5,25.14,1416.75
Maine,04438,4,349900.0,4,2,3.13,2500.0,410950.0,3.5,2.75,3.41,2252.25
Maine,04443,7,129900.0,3,2,1.0,1500.0,215485.57,3.43,2.14,2.94,1736.57
Maine,04574,2,179000.0,1,1,1.57,336.0,389450.0,2.5,1.5,8.29,1126.0
Maine,04578,9,629000.0,4,3,2.0,1988.0,562088.89,3.56,2.89,1.85,2075.44
Maine,04579,2,115000.0,3,1,0.6,1633.0,500000.0,3.5,2.5,1.0,1954.5
Maine,04611,4,749900.0,3,2,0.5,1100.0,974975.0,3.0,2.25,16.73,1553.0
Maine,04614,6,489000.0,3,3,1.1,2134.0,768150.0,4.33,3.83,2.02,4305.17
Maine,04616,1,9000000.0,6,8,38.6,14375.0,9000000.0,6.0,8.0,38.6,14375.0
Maine,04630,2,40000.0,3,1,0.4,1200.0,67500.0,5.0,1.5,0.53,2219.0
Maine,04648,2,229000.0,3,2,0.7,1169.0,364000.0,3.0,2.5,2.35,1852.5
Maine,04680,2,64900.0,3,1,11.0,1040.0,66950.0,3.5,1.5,11.65,1520.0
Maine,04736,25,119000.0,4,2,0.27,1600.0,177940.0,3.8,1.96,0.46,1938.64
Maine,04769,10,165000.0,3,2,0.25,1536.0,172030.0,2.8,1.8,0.54,1620.3
Maine,04781,3,159900.0,4,3,0.75,2400.0,174300.0,4.0,3.0,1.09,2248.67
Maine,04856,4,345000.0,2,1,0.5,1220.0,640000.0,2.75,1.5,1.27,2849.75
Maine,04924,5,129900.0,2,2,3.1,1256.0,204759.8,2.2,1.8,2.45,1278.8
Maine,04939,3,180000.0,2,1,2.0,1056.0,197633.33,2.33,1.33,2.77,1114.33
Maine,04941,3,398000.0,3,1,4.0,1970.0,457333.33,3.33,1.33,25.73,2173.33
Maine,04943,3,140000.0,3,1,1.0,1020.0,125000.0,2.67,1.33,1.0,1001.67
Maine,04950,5,249000.0,3,2,0.25,1600.0,203240.0,2.8,2.0,0.27,1740.8
Maine,04001,4,225000.0,2,1,0.59,740.0,643725.0,2.25,1.5,0.82,1512.25
Maine,04020,2,339000.0,3,2,0.32,1700.0,375000.0,3.0,2.0,0.54,1785.0
Maine,04032,4,765000.0,3,3,1.49,2224.0,742000.0,3.25,3.0,1.73,2296.25
Maine,04046,19,739000.0,3,3,1.0,2000.0,1212600.0,3.26,3.0,1.45,2092.05
Maine,04047,4,259900.0,3,2,1.0,2400.0,318475.0,3.75,2.5,1.48,2606.0
Maine,04073,14,250000.0,3,2,0.16,1240.0,267178.57,4.14,2.0,0.32,1596.64
Maine,04083,7,312900.0,3,3,8.47,1750.0,315471.43,3.0,3.0,8.47,1750.0
Maine,04087,3,249900.0,3,2,1.43,1440.0,233183.33,2.67,1.67,1.22,1326.67
Maine,04092,4,355000.0,3,2,0.18,1246.0,346750.0,3.5,1.75,0.22,1326.75
Maine,04093,2,230000.0,2,2,1.1,924.0,264950.0,3.5,3.0,1.92,2397.0
Maine,04257,8,97900.0,3,2,0.22,1110.0,135759.25,4.13,1.75,0.36,2019.38
Maine,04287,1,715000.0,3,2,56.7,3000.0,715000.0,3.0,2.0,56.7,3000.0
Maine,04290,1,120000.0,3,1,0.3,1300.0,120000.0,3.0,1.0,0.3,1300.0
Maine,04364,9,349900.0,3,2,0.62,1418.0,359022.22,2.89,1.78,0.8,1711.89
Maine,04410,3,144900.0,2,1,2.01,1008.0,153300.0,2.33,1.33,3.09,953.33
Maine,04411,2,149975.0,2,2,0.13,768.0,374487.5,2.0,2.0,3.29,1410.0
Maine,04412,10,249900.0,4,2,0.26,1836.0,252340.0,3.7,2.0,0.46,2187.2
Maine,04414,3,26500.0,3,1,0.23,1200.0,45800.0,3.67,1.0,0.66,1332.67
Maine,04416,3,179900.0,3,2,0.17,1400.0,209966.67,3.0,2.0,0.8,1617.33
Maine,04456,2,199999.0,3,1,67.99,640.0,1484999.5,3.5,2.0,77.0,2303.0
Maine,04463,3,279900.0,3,2,0.47,1512.0,287933.33,3.0,2.0,1.0,2170.67
Maine,04495,2,119000.0,3,1,0.43,1044.0,132000.0,3.5,1.0,1.12,1642.0
Maine,04676,3,425000.0,4,3,6.0,3162.0,640666.67,4.0,3.0,6.33,3254.0
Maine,04693,2,220000.0,1,1,0.28,692.0,307500.0,1.5,1.5,0.35,919.0
Maine,04750,7,83500.0,3,2,1.0,1288.0,110042.86,2.86,1.57,0.82,1544.29
Maine,04762,3,264000.0,4,2,7.0,2250.0,537500.0,3.0,1.67,32.33,1685.0
Maine,04779,2,399900.0,2,2,1.74,1200.0,612450.0,2.5,2.0,37.62,1466.0
Maine,04854,3,645000.0,3,2,0.7,1573.0,1073333.33,2.67,2.33,2.77,1527.0
Maine,04910,1,395000.0,3,2,3.5,2000.0,395000.0,3.0,2.0,3.5,2000.0
Maine,04936,3,230000.0,2,1,0.46,1560.0,259333.33,3.0,1.33,0.57,1640.0
Maine,04961,3,825000.0,3,2,19.6,2000.0,765000.0,3.0,2.0,18.23,2052.67
Maine,04969,3,134900.0,3,1,5.0,1428.0,196600.0,3.0,1.33,5.17,1589.67
Maine,04973,3,545000.0,1,1,31.5,850.0,738000.0,2.0,2.0,28.83,1858.0
Maine,04978,1,1100000.0,3,2,0.43,8274.0,1100000.0,3.0,2.0,0.43,8274.0
Maine,04989,4,110000.0,2,1,0.76,1152.0,209925.0,2.5,1.25,1.84,1307.0
Maine,04021,5,899000.0,4,3,1.54,3084.0,926780.0,4.0,3.4,1.77,3332.6
Maine,04024,1,750000.0,3,2,92.0,3200.0,750000.0,3.0,2.0,92.0,3200.0
Maine,04029,2,395000.0,2,2,0.38,883.0,860000.0,2.5,2.0,1.69,1618.5
Maine,04048,4,305000.0,3,2,2.35,960.0,331225.0,2.75,1.75,2.47,1076.25
Maine,04068,1,425000.0,1,1,172.0,912.0,425000.0,1.0,1.0,172.0,912.0
Maine,04097,3,637900.0,3,3,1.02,1624.0,588933.33,2.67,3.0,7.19,1781.0
Maine,04101,23,625000.0,2,2,0.49,1017.0,640869.57,2.0,1.78,0.49,1009.83
Maine,04352,4,289000.0,3,2,5.0,1596.0,443475.0,3.0,2.0,7.0,1867.0
Maine,04359,1,170000.0,3,2,0.2,1424.0,170000.0,3.0,2.0,0.2,1424.0
Maine,04418,2,110000.0,3,2,1.5,1276.0,147500.0,3.0,2.0,1.78,1340.0
Maine,04422,2,119000.0,2,1,1.0,720.0,159450.0,2.5,1.0,4.22,1108.0
Maine,04430,4,45000.0,3,1,0.18,892.0,79925.0,3.0,1.25,0.18,1384.0
Maine,04449,2,349900.0,3,2,4.0,1977.0,349950.0,3.5,2.5,26.25,2220.5
Maine,04485,1,500000.0,4,3,10.0,2300.0,500000.0,4.0,3.0,10.0,2300.0
Maine,04530,13,239900.0,4,2,0.21,1944.0,324707.69,3.85,2.15,0.23,1857.92
Maine,04539,2,185000.0,2,1,1.16,720.0,205000.0,2.0,1.0,1.61,927.0
Maine,04543,3,525000.0,3,2,1.5,2500.0,626500.0,3.33,2.67,1.29,2614.33
Maine,04554,3,645000.0,4,2,0.66,2450.0,961333.33,3.67,2.67,0.81,2332.33
Maine,04605,12,399000.0,3,2,1.4,1800.0,576608.25,2.92,2.5,2.06,2169.67
