state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Maryland,20601,158,389900.0,3,3,0.23,1960.0,394446.13,3.55,2.93,0.26,2106.15
Maryland,20621,5,295000.0,3,2,0.25,1365.0,361500.0,3.0,2.2,0.74,1673.4
Maryland,20626,4,480000.0,3,2,0.23,1288.0,550000.0,3.0,2.25,1.41,2428.5
Maryland,20636,68,425000.0,3,3,0.79,2294.0,451639.06,3.69,2.84,1.13,2579.97
Maryland,20664,32,369000.0,3,2,0.37,1520.0,392354.5,3.22,2.09,0.62,1726.09
Maryland,20675,15,435000.0,4,3,1.0,2507.0,536436.67,4.4,3.47,1.83,3008.93
Maryland,20680,7,419900.0,3,2,1.22,1607.0,386385.57,3.0,1.57,1.56,1547.71
Maryland,20714,40,409900.0,3,3,0.09,1988.0,442692.25,3.28,3.0,0.09,2079.5
Maryland,20722,41,399900.0,4,2,0.12,1302.0,403004.78,3.59,2.2,0.13,1335.83
Maryland,20723,132,499900.0,3,3,0.08,2173.0,521055.94,3.57,3.45,0.18,2430.14
Maryland,20746,85,350000.0,3,3,0.14,1292.0,349656.05,3.4,2.59,0.15,1437.88
Maryland,20751,19,464900.0,4,3,0.18,2016.0,453115.21,3.58,2.63,0.22,1885.95
Maryland,20764,51,354000.0,3,2,0.17,1400.0,395180.0,3.16,2.14,0.19,1521.8
Maryland,20776,11,599900.0,4,3,2.0,2309.0,628545.36,3.73,3.36,2.23,2502.18
Maryland,20818,11,949900.0,4,3,0.23,2466.0,976081.82,3.91,3.09,0.25,2463.64
Maryland,20861,13,651065.0,3,4,0.05,2304.0,671965.46,3.31,4.0,0.55,2944.23
Maryland,20868,3,439000.0,4,3,0.46,2284.0,452966.33,3.67,3.0,0.41,2306.67
Maryland,21045,192,419900.0,3,3,0.16,1812.0,448906.39,3.52,2.94,0.16,1889.34
Maryland,21071,7,399900.0,3,2,0.3,2048.0,384114.29,3.29,2.0,0.59,2010.29
Maryland,21117,206,350000.0,3,3,0.08,1981.0,436594.55,3.52,3.39,0.16,2358.07
Maryland,21221,188,250000.0,3,2,0.14,1440.0,269323.32,3.2,2.14,0.15,1565.26
Maryland,21228,138,359900.0,3,2,0.16,1758.0,356691.19,3.3,2.36,0.16,1779.01
Maryland,21401,189,599900.0,3,3,0.14,2025.0,664773.34,3.34,2.98,0.17,2177.81
Maryland,21610,3,119900.0,4,3,0.19,1840.0,179900.0,3.67,2.67,0.24,1604.67
Maryland,21612,7,290000.0,3,1,0.92,1333.0,420571.43,2.71,1.43,1.38,1354.43
Maryland,21645,6,182000.0,3,1,0.23,1886.0,250316.5,3.0,1.5,0.28,2014.17
Maryland,21671,6,625000.0,3,3,0.26,1680.0,645733.33,3.0,2.67,0.69,2193.33
Maryland,21701,304,380000.0,3,3,0.07,1860.0,429529.74,3.19,2.86,0.11,1962.28
Maryland,21711,2,399900.0,3,3,0.7,1566.0,462450.0,3.5,3.5,1.73,2824.5
Maryland,21779,4,539999.0,4,3,3.3,2567.0,553363.5,4.25,3.0,5.61,2859.5
Maryland,21783,30,279900.0,3,2,0.34,1859.0,292883.33,3.07,2.3,0.69,1913.27
Maryland,21826,41,254900.0,3,3,0.31,1872.0,262136.1,3.39,2.56,0.29,1890.95
Maryland,21838,10,185000.0,3,2,1.59,1880.0,281110.0,3.0,2.2,1.57,1831.1
Maryland,21840,3,267500.0,3,2,1.95,1547.0,267500.0,3.0,1.67,2.39,1414.33
Maryland,20615,2,570000.0,2,2,0.43,2124.0,702000.0,3.0,2.0,0.43,2434.0
Maryland,20624,3,299000.0,3,2,1.2,1520.0,305500.0,3.0,1.67,2.08,1487.0
Maryland,20632,1,999500.0,3,3,63.75,2952.0,999500.0,3.0,3.0,63.75,2952.0
Maryland,20645,22,499000.0,4,3,0.34,3002.0,509274.55,3.64,3.27,0.36,2923.32
Maryland,20667,3,275000.0,3,2,1.69,1222.0,307166.67,3.67,3.0,1.64,2068.67
Maryland,20685,60,372000.0,3,3,0.52,2159.0,405293.3,3.5,2.67,0.65,2070.88
Maryland,20687,5,349900.0,2,2,0.29,1248.0,328960.0,2.6,1.6,0.34,1283.4
Maryland,20689,6,389999.0,3,2,3.0,1176.0,496631.5,3.33,2.67,3.85,2148.17
Maryland,20707,109,395000.0,3,3,0.13,1768.0,420886.81,3.51,3.17,0.14,1888.44
Maryland,20720,102,485000.0,4,4,0.24,2374.0,527602.32,3.91,3.59,0.24,2450.51
Maryland,20777,16,749900.0,4,3,1.01,3197.0,953981.25,4.19,3.69,2.11,4000.25
Maryland,20815,112,1489995.0,5,4,0.17,2952.0,1639695.22,4.46,4.23,0.19,3361.81
Maryland,20842,10,980000.0,4,3,2.64,2819.0,1033190.0,4.2,3.9,12.14,3586.1
Maryland,20853,159,560000.0,4,3,0.22,2086.0,583824.76,4.11,2.83,0.25,2186.85
Maryland,20895,128,715000.0,4,3,0.16,2032.0,842755.0,3.91,3.16,0.17,2416.7
Maryland,20902,178,515000.0,3,2,0.17,1652.0,526346.24,3.51,2.35,0.17,1702.94
Maryland,21034,16,389000.0,3,2,1.22,1846.0,381039.88,3.44,2.38,2.3,2114.44
Maryland,21035,35,889500.0,4,4,1.52,3481.0,918890.83,4.31,3.69,1.63,3452.69
Maryland,21040,90,225000.0,3,2,0.07,1566.0,228149.31,3.13,2.37,0.11,1559.4
Maryland,21042,179,699900.0,4,4,0.46,3000.0,726726.71,4.16,3.55,0.49,3147.96
Maryland,21051,3,650000.0,4,4,1.14,3196.0,574966.67,4.0,3.33,1.04,3515.0
Maryland,21060,255,379900.0,3,3,0.14,1862.0,394736.46,3.27,2.78,0.14,1867.96
Maryland,21082,3,629333.0,4,3,3.16,3093.0,696444.33,3.67,3.33,5.41,2976.0
Maryland,21108,84,486830.0,4,3,0.23,2100.0,512196.21,3.52,3.02,0.3,2311.54
Maryland,21111,18,475000.0,3,3,1.09,2256.0,593425.44,3.72,3.11,2.03,2564.56
Maryland,21132,9,399900.0,3,2,3.5,1792.0,431622.22,3.11,2.33,4.58,2103.22
Maryland,21144,167,470000.0,4,3,0.17,2151.0,501225.24,3.75,3.21,0.18,2379.84
Maryland,21157,167,374900.0,3,2,0.43,1846.0,396152.79,3.55,2.52,0.57,2135.46
Maryland,21209,50,395000.0,3,3,0.13,1925.0,449732.64,3.34,3.16,0.15,2257.88
Maryland,21211,83,249000.0,3,2,0.03,1220.0,263493.27,2.66,1.83,0.03,1267.31
Maryland,21220,206,285000.0,3,2,0.09,1594.0,316477.1,3.23,2.53,0.1,1733.05
Maryland,21223,58,100000.0,3,1,0.02,1168.0,95787.9,2.69,1.57,0.02,1211.55
Maryland,21524,5,124900.0,3,2,0.28,1443.0,97360.0,3.0,1.6,0.38,1409.6
Maryland,21532,35,129900.0,3,2,0.19,1692.0,147828.57,3.23,1.6,0.24,1690.86
Maryland,21601,147,379900.0,3,3,0.24,2016.0,427340.02,3.3,2.67,0.47,2089.53
Maryland,21613,132,185000.0,3,2,0.18,1530.0,215434.9,3.05,1.94,0.2,1578.02
Maryland,21617,63,450000.0,3,3,0.8,2200.0,461562.33,3.48,2.57,0.87,2180.33
Maryland,21619,50,440000.0,3,2,0.23,1993.0,499848.78,3.06,2.52,0.26,1953.16
Maryland,21638,36,355000.0,3,2,0.26,1522.0,459780.28,3.28,2.19,0.36,1901.19
Maryland,21643,21,259500.0,3,2,0.34,1332.0,245688.24,3.0,2.0,0.57,1390.62
Maryland,21658,18,730000.0,4,3,2.13,2820.0,1022433.33,4.0,3.5,2.62,3158.39
Maryland,21669,3,799000.0,4,4,12.29,2785.0,849666.67,4.33,3.33,11.93,3249.67
Maryland,21756,23,417631.0,3,3,0.67,2360.0,384398.35,3.65,2.48,1.36,2264.13
Maryland,21784,168,465000.0,3,3,0.46,2161.0,494422.56,3.55,2.91,0.65,2321.06
Maryland,21795,44,290000.0,3,2,0.34,1680.0,298820.41,3.14,2.16,0.33,1962.66
Maryland,21801,137,269900.0,3,2,0.37,1880.0,290117.36,3.43,2.44,0.44,2023.77
Maryland,21829,2,250000.0,2,1,4.02,1664.0,775000.0,2.5,1.5,5.31,1941.5
Maryland,21830,28,249900.0,3,2,0.49,1796.0,249896.18,3.21,2.14,0.55,1814.29
Maryland,21861,5,205000.0,3,2,0.23,1337.0,206560.0,3.0,1.6,0.23,1397.6
Maryland,21920,3,240000.0,4,2,1.35,2077.0,696633.33,7.0,6.0,1.49,7275.67
Maryland,20606,3,295000.0,4,2,1.0,2111.0,468333.33,4.0,2.0,2.49,1830.33
Maryland,20608,4,359995.0,4,3,0.81,1296.0,438248.75,4.25,2.75,2.97,2264.5
Maryland,20611,6,584900.0,4,3,3.5,2300.0,529266.67,4.0,2.67,3.2,2440.33
Maryland,20619,122,335000.0,3,3,0.14,2036.0,356848.11,3.34,3.11,0.24,2158.66
Maryland,20623,10,375000.0,3,2,0.26,1488.0,388400.0,3.5,2.7,0.27,1799.8
Maryland,20637,80,598500.0,4,3,1.92,3040.0,594285.59,4.13,3.36,2.37,3142.63
Maryland,20650,107,528675.0,4,4,0.21,2754.0,492570.68,4.11,3.49,0.37,2981.49
Maryland,20674,11,259999.0,3,2,0.9,1168.0,435818.09,3.18,2.27,0.75,2190.09
Maryland,20690,13,419900.0,3,3,0.52,2332.0,441984.62,3.31,2.92,0.53,2242.85
Maryland,20706,119,409900.0,4,3,0.17,1620.0,402192.83,3.71,2.86,0.16,1683.18
Maryland,20747,143,330000.0,3,3,0.16,1280.0,331311.1,3.43,2.64,0.14,1395.7
Maryland,20784,88,375000.0,4,2,0.17,1215.0,370922.7,3.75,2.14,0.17,1349.93
Maryland,20812,2,1145000.0,4,4,0.11,2895.0,1410000.0,4.0,4.0,0.13,3059.0
Maryland,20833,43,700418.0,4,3,0.29,2789.0,742410.93,4.09,3.63,0.9,3036.47
Maryland,20852,114,779000.0,4,3,0.16,2474.0,846980.14,3.76,3.39,0.16,2549.77
Maryland,20882,76,635000.0,4,3,1.11,2750.0,665049.86,4.09,3.45,1.31,3079.62
Maryland,20905,70,599999.0,4,3,0.38,2704.0,606631.41,4.1,3.39,0.39,2702.01
