state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Massachusetts,01033,23,324900.0,3,2,0.91,1548.0,363378.22,3.17,2.0,0.92,1634.52
Massachusetts,01077,57,345000.0,3,2,0.74,1664.0,375956.11,3.25,2.21,0.8,1758.63
Massachusetts,01083,15,269900.0,3,2,0.51,1860.0,280466.67,3.33,1.93,0.82,1745.4
Massachusetts,01223,30,299000.0,3,2,0.5,1260.0,298953.27,2.77,1.7,1.32,1419.17
Massachusetts,01257,27,495000.0,3,2,2.32,1740.0,582514.81,3.15,2.22,4.55,1871.04
Massachusetts,01264,6,1375000.0,4,2,25.0,2238.0,1174000.0,4.0,2.83,47.7,3324.67
Massachusetts,01432,32,500000.0,3,3,0.33,1933.0,496059.34,3.22,2.47,0.44,1905.66
Massachusetts,01520,68,400000.0,3,2,0.41,1768.0,461233.82,3.34,2.31,0.47,1867.66
Massachusetts,01541,13,625000.0,3,3,2.6,2350.0,605561.54,3.38,2.92,3.56,2607.62
Massachusetts,01562,63,369000.0,3,2,0.57,1690.0,370193.97,3.08,2.08,0.83,1735.52
Massachusetts,01612,25,399900.0,3,3,0.64,1892.0,423599.84,3.36,2.6,0.92,2072.36
Massachusetts,01720,66,739000.0,4,3,0.58,2324.0,796693.92,3.74,2.76,0.7,2509.76
Massachusetts,01757,62,425000.0,3,2,0.25,1727.0,429301.58,3.52,2.13,0.28,1793.48
Massachusetts,01821,147,559900.0,3,2,0.43,1962.0,624303.21,3.42,2.18,0.5,2051.83
Massachusetts,01845,97,675000.0,4,3,0.66,2268.0,725970.99,3.64,2.68,0.72,2547.27
Massachusetts,01876,131,529900.0,3,2,0.35,1728.0,562706.84,3.27,2.16,0.57,1821.97
Massachusetts,01905,62,449000.0,3,2,0.11,1265.0,467212.37,3.11,1.76,0.14,1429.08
Massachusetts,01915,50,575000.0,3,2,0.19,1496.0,584565.66,3.24,2.0,0.22,1587.78
Massachusetts,01921,24,875000.0,4,3,2.07,3005.0,956399.96,4.0,3.42,2.65,3222.58
Massachusetts,02047,1,3600000.0,5,4,0.43,4372.0,3600000.0,5.0,4.0,0.43,4372.0
Massachusetts,02052,51,749000.0,4,3,0.51,2037.0,794225.47,3.67,2.59,0.6,2382.24
Massachusetts,02053,37,599900.0,3,3,0.56,2220.0,603621.49,3.46,2.57,0.83,2240.19
Massachusetts,02067,68,649900.0,3,2,0.48,2010.0,730082.21,3.35,2.44,0.62,2272.93
Massachusetts,02090,47,899900.0,4,3,0.53,2124.0,1158987.23,3.77,3.11,0.69,2712.21
Massachusetts,02125,75,775000.0,5,3,0.07,2350.0,851427.63,5.15,2.47,0.07,2330.95
Massachusetts,02186,93,795000.0,4,2,0.16,1865.0,844161.26,3.51,2.27,0.19,1956.43
Massachusetts,02359,53,489900.0,3,2,0.55,1557.0,528829.25,3.13,1.92,0.65,1776.47
Massachusetts,02446,36,2500000.0,4,4,0.13,2840.0,2645538.83,4.53,4.03,0.13,3181.78
Massachusetts,02464,15,839000.0,3,2,0.16,1756.0,862986.67,3.27,2.0,0.16,1661.93
Massachusetts,02494,30,1179000.0,4,3,0.24,2200.0,1387653.3,3.93,3.37,0.29,2828.67
Massachusetts,02539,53,2490000.0,3,3,0.5,2446.0,2926094.32,3.47,3.36,0.6,2523.45
Massachusetts,02554,56,3950000.0,4,4,0.2,2510.0,4735910.63,4.39,4.32,0.42,2972.84
Massachusetts,02559,33,479000.0,3,2,0.23,1579.0,595351.52,3.06,1.97,0.34,1599.0
Massachusetts,02631,58,700000.0,3,2,0.5,1858.0,850325.86,3.12,2.41,0.62,1939.14
Massachusetts,02644,24,498000.0,3,2,0.46,1720.0,535462.5,3.13,2.33,0.47,1819.21
Massachusetts,02668,33,799000.0,4,3,1.0,2400.0,892430.3,3.39,2.94,0.96,2368.48
Massachusetts,02703,144,429000.0,3,2,0.37,1838.0,460893.74,3.38,2.17,0.36,1885.2
Massachusetts,02724,52,399900.0,4,3,0.11,2165.0,410453.79,5.02,2.62,0.12,2358.65
Massachusetts,02747,42,459900.0,3,2,0.64,1684.0,503571.17,3.24,2.29,0.71,1924.93
Massachusetts,02767,42,459000.0,3,2,0.5,1786.0,505509.52,3.19,2.17,0.59,2052.69
Massachusetts,01005,30,340000.0,3,2,1.05,1586.0,326821.67,3.33,2.1,1.44,1735.5
Massachusetts,01026,6,495000.0,4,2,1.5,2253.0,417400.0,3.67,1.83,31.23,2484.5
Massachusetts,01032,3,310000.0,3,1,1.92,1614.0,356000.0,2.67,1.67,1.83,1799.67
Massachusetts,01050,14,270000.0,3,2,2.07,2128.0,277892.86,3.36,1.79,3.47,2131.71
Massachusetts,01072,6,260000.0,3,2,1.1,1430.0,289633.33,3.17,2.0,1.17,1648.0
Massachusetts,01073,18,429900.0,3,2,1.14,1771.0,412705.56,3.0,2.17,2.16,1912.0
Massachusetts,01081,10,239900.0,2,1,0.25,960.0,237850.0,2.5,1.6,0.76,1189.3
Massachusetts,01088,3,329000.0,3,2,1.21,1765.0,329000.0,3.33,2.0,1.08,1636.0
Massachusetts,01201,330,219900.0,3,2,0.21,1644.0,243716.35,3.82,2.06,0.23,1836.58
Massachusetts,01225,20,349112.0,3,2,0.8,1650.0,360279.0,2.9,1.85,3.62,1742.95
Massachusetts,01226,36,269900.0,3,2,0.31,1687.0,286008.33,3.36,2.06,0.39,1939.67
Massachusetts,01242,1,299000.0,3,2,0.29,2140.0,299000.0,3.0,2.0,0.29,2140.0
Massachusetts,01243,3,230000.0,2,1,7.0,1400.0,275833.33,2.33,1.0,12.43,1381.67
Massachusetts,01254,20,589900.0,3,3,2.5,2200.0,705235.0,3.3,2.7,4.86,2395.4
Massachusetts,01301,66,235000.0,3,2,0.22,1562.0,257178.79,3.3,1.89,0.27,1684.98
Massachusetts,01367,2,195000.0,2,1,1.6,912.0,215000.0,2.5,1.0,5.3,1284.0
Massachusetts,01376,19,249000.0,3,1,0.25,1248.0,241436.84,3.63,1.58,0.24,1546.26
Massachusetts,01473,33,449900.0,3,2,0.63,1814.0,445393.91,3.0,2.24,0.84,1889.06
