state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Michigan,48059,14,234900.0,3,2,0.29,1460.0,267621.43,2.86,1.64,0.45,1566.57
Michigan,48062,18,305900.0,3,3,0.19,1750.0,314438.78,3.0,2.56,0.22,1786.44
Michigan,48063,5,304900.0,4,2,2.2,1914.0,563960.0,3.6,2.0,3.15,1868.0
Michigan,48088,12,235000.0,3,2,0.17,1187.0,229724.92,3.0,2.0,0.17,1232.25
Michigan,48092,13,255000.0,3,2,0.17,1397.0,250153.85,3.0,2.0,0.18,1391.23
Michigan,48103,147,450000.0,3,2,0.17,1499.0,489879.59,3.23,2.33,0.2,1631.3
Michigan,48114,23,380000.0,4,3,0.43,1900.0,440113.04,3.65,3.0,0.43,2141.52
Michigan,48120,2,220000.0,3,2,0.13,1322.0,309950.0,3.5,2.5,0.14,1661.0
Michigan,48122,11,140000.0,3,1,0.14,964.0,170490.91,2.82,1.64,0.12,1101.36
Michigan,48128,5,299900.0,3,2,0.12,1152.0,312959.8,3.0,2.4,0.12,1478.4
Michigan,48130,33,485000.0,4,3,1.11,2495.0,536460.61,3.67,3.33,1.23,2411.64
Michigan,48137,5,299000.0,3,2,1.97,1452.0,245000.0,3.0,2.0,1.73,1521.0
Michigan,48158,14,350000.0,4,3,1.32,1830.0,379035.71,3.64,2.57,7.89,1960.0
Michigan,48160,47,249000.0,3,2,0.2,1432.0,245977.43,3.15,1.94,0.36,1551.38
Michigan,48166,12,179900.0,3,2,0.18,1407.0,213666.67,3.0,1.83,0.27,1596.92
Michigan,48183,22,212000.0,3,2,0.16,1283.0,221456.82,3.0,1.91,0.16,1331.32
Michigan,48184,8,121500.0,3,1,0.12,1183.0,111025.0,3.0,1.38,0.13,1173.25
Michigan,48234,49,53000.0,3,1,0.1,1046.0,53150.98,3.0,1.35,0.1,1053.9
Michigan,48306,24,899900.0,4,4,0.79,3600.0,1281545.79,3.88,4.58,1.91,3822.42
Michigan,48324,26,325000.0,3,2,0.35,1634.0,670548.08,3.46,2.85,0.36,2193.46
