state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Minnesota,55014,124,300000.0,3,2,0.23,1761.0,314528.22,3.1,2.2,0.23,1856.6
Minnesota,55017,3,289900.0,3,1,3.54,2999.0,256600.0,3.33,1.67,3.71,2602.33
Minnesota,55033,124,309900.0,3,2,0.22,2047.0,333690.54,3.46,2.33,0.21,2197.67
Minnesota,55055,69,477255.0,3,2,0.2,2134.0,440173.12,3.19,2.46,0.23,2302.51
Minnesota,55066,109,265000.0,3,2,0.2,2069.0,266073.12,2.94,2.15,0.22,2071.16
Minnesota,55072,8,159900.0,3,2,0.34,1638.0,162400.0,3.5,1.75,1.55,1827.5
Minnesota,55089,4,475000.0,3,2,5.47,2202.0,589975.0,3.25,2.5,6.79,3152.0
Minnesota,55110,186,319900.0,3,2,0.26,1985.0,347969.34,3.2,2.12,0.24,2070.36
Minnesota,55120,15,399900.0,3,3,0.27,2596.0,517953.27,3.33,2.6,0.33,2653.73
Minnesota,55125,248,375000.0,3,3,0.24,2174.0,383739.68,3.36,2.71,0.24,2330.59
Minnesota,55309,93,359900.0,3,2,0.33,2050.0,386186.14,3.43,2.39,0.44,2255.66
Minnesota,55314,8,170000.0,3,2,0.24,1984.0,201700.0,3.13,2.0,2.4,2363.25
Minnesota,55315,99,504135.0,4,3,0.22,2907.0,508658.94,3.82,3.17,0.23,2853.43
Minnesota,55321,14,234900.0,3,2,0.26,1983.0,205160.86,3.0,2.0,0.25,1999.0
Minnesota,55357,8,780000.0,4,3,2.58,3630.0,746987.5,4.5,3.5,5.18,3420.5
Minnesota,55371,52,299900.0,3,2,0.61,1840.0,308185.73,2.98,2.0,1.36,1943.44
Minnesota,55385,1,66000.0,2,2,0.43,2064.0,66000.0,2.0,2.0,0.43,2064.0
Minnesota,55388,42,385000.0,3,2,0.24,2800.0,383400.05,3.33,2.45,0.26,2676.79
Minnesota,55401,97,289000.0,1,1,1.41,1030.0,396238.14,1.49,1.46,1.57,1160.94
Minnesota,55412,235,200000.0,3,1,0.12,1737.0,206901.7,2.78,1.5,0.12,1741.06
Minnesota,55413,70,349990.0,3,2,0.12,2050.0,364431.13,3.43,1.99,0.12,2099.34
Minnesota,55422,126,300000.0,3,2,0.16,1920.0,317532.52,3.22,2.0,0.18,1963.21
Minnesota,55432,93,300000.0,3,2,0.24,2012.0,305915.05,3.42,2.0,0.24,2022.81
Minnesota,55438,102,419900.0,3,3,0.27,2437.0,411436.25,3.26,2.72,0.27,2486.34
