state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Missouri,63019,34,165000.0,3,2,0.16,1064.0,160717.97,2.76,1.76,0.16,1310.44
Missouri,63021,373,290000.0,3,3,0.2,1850.0,305738.36,3.21,2.66,0.22,1909.25
Missouri,63034,122,224900.0,3,3,0.22,1782.0,221217.21,3.24,2.61,0.22,1900.9
Missouri,63037,16,159900.0,3,2,3.0,1216.0,190306.25,3.0,1.63,3.16,1407.81
Missouri,63038,37,499900.0,4,4,1.2,3415.0,533398.65,3.7,3.65,1.85,3511.59
Missouri,63060,7,99900.0,2,1,1.56,1250.0,132314.29,2.57,1.43,1.52,1125.71
Missouri,63071,3,53000.0,2,1,7.62,1033.0,45300.0,2.33,1.0,6.1,1008.67
Missouri,63072,21,204900.0,3,2,1.41,1780.0,212026.19,3.38,2.33,2.57,1859.67
Missouri,63087,6,159900.0,3,2,5.0,1381.0,233250.0,3.5,2.33,5.78,1778.0
Missouri,63090,92,263900.0,3,2,0.26,1621.0,283209.0,3.0,2.26,0.33,1740.14
Missouri,63103,1,69000.0,1,1,0.27,695.0,69000.0,1.0,1.0,0.27,695.0
Missouri,63107,28,60000.0,3,1,0.07,1472.0,70525.0,2.96,1.57,0.09,1719.0
Missouri,63111,126,118000.0,2,1,0.09,1200.0,118232.05,2.43,1.48,0.09,1331.3
Missouri,63126,35,230000.0,3,2,0.21,1276.0,249714.29,3.0,1.74,0.21,1417.63
Missouri,63129,237,260000.0,3,3,0.2,1728.0,263592.84,3.01,2.47,0.2,1822.87
Missouri,63131,111,699900.0,4,4,0.48,3490.0,918628.02,3.84,3.95,0.64,3633.87
Missouri,63304,214,299900.0,3,3,0.21,1856.0,312286.2,3.31,2.68,0.23,1982.23
Missouri,63330,3,85000.0,3,2,0.43,1112.0,96600.0,3.0,2.0,0.46,1141.33
Missouri,63347,10,229900.0,3,2,3.0,1513.0,228960.0,3.0,1.9,3.56,1633.1
Missouri,63353,23,64900.0,3,2,0.16,1638.0,102139.13,2.87,1.91,0.3,1820.52
Missouri,63379,193,260000.0,3,2,0.3,1560.0,277877.64,3.1,2.34,0.8,1710.57
Missouri,63382,11,60000.0,3,1,0.17,1215.0,66400.0,2.64,1.36,0.2,1266.55
Missouri,63384,5,65000.0,3,1,0.26,1142.0,73360.0,2.8,1.4,0.28,1116.8
Missouri,63385,335,339900.0,3,3,0.22,1995.0,344130.88,3.39,2.73,0.23,2139.55
Missouri,63401,100,99500.0,3,1,0.2,1217.0,121546.0,2.7,1.68,0.28,1402.47
Missouri,63433,1,234900.0,2,1,24.7,1120.0,234900.0,2.0,1.0,24.7,1120.0
Missouri,63436,3,47500.0,2,2,0.15,880.0,45000.0,2.33,1.67,0.3,1090.0
Missouri,63445,1,118900.0,3,2,0.5,1456.0,118900.0,3.0,2.0,0.5,1456.0
Missouri,63454,1,1450000.0,2,3,20.8,1500.0,1450000.0,2.0,3.0,20.8,1500.0
Missouri,63467,1,134900.0,3,2,0.43,1440.0,134900.0,3.0,2.0,0.43,1440.0
Missouri,63472,1,90000.0,3,2,0.66,1904.0,90000.0,3.0,2.0,0.66,1904.0
Missouri,63601,73,119900.0,3,1,0.25,1148.0,114702.41,2.7,1.41,0.26,1178.53
Missouri,63626,4,169900.0,3,2,3.17,1445.0,188650.0,3.25,2.5,3.69,1939.25
Missouri,63628,89,189900.0,3,2,0.38,1512.0,200584.27,3.09,2.19,0.48,1762.76
Missouri,63660,6,104900.0,2,1,1.44,1250.0,114916.67,2.33,1.5,1.63,1286.17
Missouri,63863,32,75000.0,3,1,0.34,1180.0,91521.88,2.84,1.44,0.58,1395.78
Missouri,63944,3,110000.0,2,2,0.45,1620.0,97500.0,2.33,1.67,1.42,1464.0
Missouri,64018,1,224300.0,2,1,1.17,1504.0,224300.0,2.0,1.0,1.17,1504.0
Missouri,64030,54,205000.0,3,2,0.2,1700.0,205004.63,3.22,2.26,0.2,1692.17
Missouri,64054,9,110000.0,3,1,0.22,1008.0,125766.67,2.56,1.67,0.23,1312.67
