state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Nebraska,68016,1,365000.0,2,3,0.59,2552.0,365000.0,2.0,3.0,0.59,2552.0
Nebraska,68037,3,370000.0,3,3,0.33,2791.0,323166.67,3.0,2.67,0.67,2558.33
Nebraska,68073,3,395500.0,3,3,0.25,1265.0,765000.0,3.0,3.0,2.53,2671.0
Nebraska,68164,40,245000.0,3,3,0.17,1642.0,254358.75,3.0,2.68,0.18,1776.8
Nebraska,68310,47,139900.0,3,2,0.16,1373.0,166857.45,2.89,1.89,0.19,1475.94
Nebraska,68355,7,104900.0,3,2,0.28,1839.0,110057.14,3.29,2.0,0.24,1876.86
Nebraska,68376,3,103000.0,3,2,0.11,1080.0,100600.0,3.0,1.67,0.13,1387.33
Nebraska,68632,3,174900.0,3,1,0.24,1104.0,133300.0,3.0,1.33,0.27,1303.33
Nebraska,68633,5,132500.0,2,2,0.22,1680.0,129100.0,2.4,2.0,0.56,1551.4
Nebraska,68660,3,80000.0,2,2,0.31,1682.0,78300.0,2.33,2.0,0.3,1529.67
Nebraska,68767,1,180000.0,4,2,0.51,2608.0,180000.0,4.0,2.0,0.51,2608.0
Nebraska,68776,19,220000.0,3,2,0.2,1679.0,221328.95,3.05,2.21,0.21,1832.74
Nebraska,68781,1,150000.0,3,2,0.34,1344.0,150000.0,3.0,2.0,0.34,1344.0
Nebraska,68783,1,139900.0,4,1,0.32,1208.0,139900.0,4.0,1.0,0.32,1208.0
Nebraska,68818,7,334000.0,4,3,0.24,2456.0,281200.0,3.86,2.57,0.23,2251.14
Nebraska,68861,1,174900.0,3,1,0.27,1376.0,174900.0,3.0,1.0,0.27,1376.0
Nebraska,68879,2,92500.0,2,2,1.5,1200.0,293750.0,2.5,2.5,1.77,1600.0
Nebraska,68922,2,89500.0,2,1,0.16,1700.0,122250.0,3.0,1.0,0.2,1799.0
Nebraska,68940,2,143500.0,3,1,0.32,1284.0,156250.0,3.0,1.5,0.32,2238.0
Nebraska,69024,2,50000.0,2,1,0.12,870.0,62500.0,3.0,1.0,0.42,1251.0
Nebraska,69034,1,160000.0,3,2,0.16,3382.0,160000.0,3.0,2.0,0.16,3382.0
Nebraska,69130,9,169500.0,3,2,0.21,1584.0,168600.0,3.33,2.0,0.28,1866.11
Nebraska,69143,3,160000.0,2,1,0.47,996.0,171633.33,2.33,1.33,1.57,1216.67
Nebraska,69146,1,395000.0,3,2,0.3,2304.0,395000.0,3.0,2.0,0.3,2304.0
Nebraska,69339,2,1490000.0,3,2,45.25,1328.0,1542500.0,3.0,2.5,495.13,2292.0
Nebraska,69348,2,40000.0,3,1,0.16,1468.0,47500.0,3.5,1.5,0.16,1521.0
