state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
New Hampshire,03031,16,650000.0,4,3,1.53,2844.0,779025.0,3.75,3.38,1.77,3036.19
New Hampshire,03037,5,529900.0,3,3,3.8,2212.0,538900.0,3.0,2.8,3.95,2370.4
New Hampshire,03060,12,380000.0,3,2,0.14,1550.0,390799.92,3.25,1.83,0.13,1747.5
New Hampshire,03064,9,400000.0,3,2,0.2,2254.0,475977.78,3.56,2.56,0.24,2307.56
New Hampshire,03255,5,889000.0,3,1,0.26,1045.0,1034600.0,2.8,1.4,0.5,1234.2
New Hampshire,03282,2,259900.0,4,1,1.03,1890.0,567450.0,4.5,2.5,2.37,3391.0
New Hampshire,03284,2,120000.0,1,1,2.09,792.0,149950.0,2.5,2.0,2.3,1423.0
New Hampshire,03440,6,319900.0,3,2,0.44,1839.0,346100.0,2.83,2.17,1.29,1989.33
New Hampshire,03442,1,410000.0,4,3,3.2,1969.0,410000.0,4.0,3.0,3.2,1969.0
New Hampshire,03449,3,850000.0,4,5,7.5,4037.0,1004166.33,3.67,4.0,22.27,4327.0
New Hampshire,03561,4,328000.0,3,2,0.54,1724.0,326950.0,3.0,2.0,0.65,1733.75
New Hampshire,03584,4,259500.0,3,2,0.46,2081.0,255375.0,3.5,2.25,0.53,2123.5
New Hampshire,03607,2,279000.0,3,1,2.7,1050.0,384000.0,3.0,1.5,20.73,1950.0
New Hampshire,03809,13,439900.0,3,2,2.0,1714.0,646900.0,2.54,2.15,2.1,1757.77
New Hampshire,03825,7,579900.0,3,3,2.44,2520.0,533957.14,3.29,3.0,3.06,2569.86
New Hampshire,03827,2,324900.0,2,1,1.0,753.0,649950.0,2.5,3.5,1.35,4165.0
New Hampshire,03848,12,353000.0,3,2,2.34,1886.0,505566.67,2.92,2.0,2.02,2180.42
New Hampshire,03849,9,409000.0,3,2,1.27,1680.0,375000.0,2.89,2.0,1.04,1597.89
New Hampshire,03053,11,519000.0,3,2,1.01,2216.0,539750.18,3.0,2.36,1.07,2032.09
New Hampshire,03055,7,419900.0,3,2,0.35,1700.0,446671.43,3.0,2.0,0.5,1763.71
New Hampshire,03086,9,429900.0,3,3,1.0,2388.0,526050.11,3.89,2.56,2.65,2547.56
New Hampshire,03103,17,310000.0,3,1,0.13,1263.0,326535.29,3.24,1.47,0.14,1499.18
New Hampshire,03221,3,459900.0,3,3,4.89,1488.0,491300.0,3.33,2.67,15.96,1520.0
New Hampshire,03223,9,415000.0,3,2,1.03,2084.0,386955.56,3.33,2.33,1.11,1937.44
New Hampshire,03259,1,439900.0,3,2,5.3,2707.0,439900.0,3.0,2.0,5.3,2707.0
New Hampshire,03269,5,399900.0,3,2,1.1,2046.0,612180.0,3.2,2.0,1.37,1987.2
New Hampshire,03285,5,599000.0,3,3,1.0,1745.0,566560.0,3.0,3.0,1.24,1913.2
New Hampshire,03451,6,199000.0,3,1,0.11,1319.0,210900.0,3.33,1.5,0.16,1539.17
New Hampshire,03456,3,289000.0,2,1,0.74,930.0,312333.33,2.0,1.33,6.67,1056.0
New Hampshire,03462,5,699000.0,4,4,1.31,3164.0,963600.0,4.4,3.8,1.12,3019.8
New Hampshire,03467,1,875000.0,4,5,44.48,5111.0,875000.0,4.0,5.0,44.48,5111.0
New Hampshire,03579,2,409900.0,3,1,2.2,1400.0,417450.0,3.0,2.0,3.6,2050.0
New Hampshire,03582,2,95000.0,3,1,0.49,1122.0,117450.0,3.5,1.0,1.58,1194.5
New Hampshire,03602,5,675000.0,3,3,1.22,3366.0,637600.0,3.4,3.0,6.75,3229.4
New Hampshire,03603,7,295000.0,3,2,0.99,1689.0,283857.14,3.29,2.0,0.94,1860.57
New Hampshire,03753,8,435000.0,3,2,0.78,2220.0,520044.75,3.0,2.5,0.97,2423.88
New Hampshire,03813,4,325000.0,3,1,1.17,1176.0,408450.0,3.0,1.5,2.56,1713.75
New Hampshire,03820,13,619999.0,3,3,0.35,2005.0,623199.92,3.31,2.62,0.8,2069.0
New Hampshire,03845,2,374900.0,1,1,0.79,609.0,524850.0,2.5,2.0,0.87,1463.5
New Hampshire,03856,2,699900.0,1,1,2.4,824.0,824450.0,2.5,2.5,21.08,2410.0
New Hampshire,03867,18,425000.0,3,3,0.52,1915.0,407900.0,3.44,2.56,0.69,2089.61
New Hampshire,03885,5,896079.0,4,3,1.22,2896.0,989195.8,4.0,3.4,1.44,2893.4
New Hampshire,03032,2,399900.0,2,1,1.12,1424.0,557450.0,2.5,2.5,1.68,2084.0
New Hampshire,03047,1,545000.0,3,3,13.0,2240.0,545000.0,3.0,3.0,13.0,2240.0
New Hampshire,03062,11,440000.0,3,2,0.23,2000.0,486518.18,3.18,2.45,0.3,1946.91
New Hampshire,03070,7,529000.0,4,2,1.87,2930.0,571671.43,3.43,2.57,2.03,2567.14
New Hampshire,03071,10,514900.0,3,2,2.02,1940.0,497359.9,3.0,2.4,1.74,2015.1
New Hampshire,03220,7,389000.0,3,2,0.83,1750.0,384685.71,2.86,1.86,0.84,1840.14
New Hampshire,03229,5,499900.0,3,2,1.2,2111.0,395920.0,3.0,2.2,1.93,2162.2
New Hampshire,03280,5,431600.0,2,2,1.68,1526.0,491120.0,2.4,2.0,2.52,1582.2
New Hampshire,03304,3,650000.0,4,3,2.67,2703.0,631633.33,4.0,3.0,3.02,2695.0
New Hampshire,03570,16,130000.0,3,1,0.11,1373.0,142437.5,3.0,1.5,0.15,1325.5
New Hampshire,03605,2,140000.0,3,1,0.92,1056.0,194500.0,4.5,2.0,0.94,1855.5
New Hampshire,03609,2,239900.0,4,2,0.21,1942.0,264950.0,4.5,2.0,0.34,2572.0
New Hampshire,03766,9,361432.0,4,2,0.17,1656.0,358492.44,3.78,2.11,0.22,1743.67
