state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
New Jersey,07001,27,375000.0,3,2,0.14,1387.0,388174.04,3.33,1.81,0.14,1395.26
New Jersey,07002,18,549900.0,4,2,0.07,1869.0,613483.28,3.83,2.44,0.08,1831.67
New Jersey,07004,4,449900.0,4,3,0.51,2006.0,507425.0,3.75,3.0,0.49,2360.0
New Jersey,07006,11,790000.0,4,4,0.5,2605.0,1165063.64,4.45,4.18,0.41,3662.45
New Jersey,07045,11,694800.0,4,4,0.4,2608.0,816980.82,3.91,4.09,0.45,3419.18
New Jersey,07079,9,749000.0,4,4,0.2,2639.0,767877.78,4.0,4.22,0.25,3241.56
New Jersey,07204,7,395000.0,3,2,0.11,1460.0,395127.86,3.29,2.0,0.1,1567.0
New Jersey,07307,5,895000.0,3,2,0.06,1828.0,1074400.0,3.0,2.0,0.06,1650.8
New Jersey,07422,8,289000.0,3,1,0.29,1408.0,306737.5,2.75,1.75,0.38,1373.5
New Jersey,07438,5,399000.0,3,3,0.7,2054.0,380400.0,3.0,2.4,0.6,1934.0
New Jersey,07444,10,490000.0,3,2,0.33,1718.0,532731.7,3.2,2.3,0.37,1982.2
New Jersey,07501,24,445000.0,6,4,0.06,2190.0,468333.33,6.58,4.0,0.06,2261.75
New Jersey,07504,2,375000.0,3,3,0.06,2306.0,452000.0,5.5,3.5,0.08,2403.0
New Jersey,07607,3,489900.0,3,3,0.11,1532.0,483233.33,3.33,3.0,0.11,1571.67
New Jersey,07627,1,525000.0,2,2,0.18,1074.0,525000.0,2.0,2.0,0.18,1074.0
New Jersey,07670,1,1398000.0,4,3,1.1,47916.0,1398000.0,4.0,3.0,1.1,47916.0
New Jersey,07711,4,950000.0,4,2,0.18,1739.0,1518750.0,5.5,3.5,0.21,2827.0
New Jersey,07712,55,570000.0,3,3,0.11,1823.0,602258.16,3.2,2.58,0.13,1845.15
New Jersey,07720,10,700000.0,3,2,0.11,1216.0,950760.0,3.4,2.3,0.13,1697.0
New Jersey,07721,8,382900.0,3,3,0.3,1586.0,404712.5,3.13,2.5,0.47,1621.88
New Jersey,07746,32,711000.0,4,3,0.46,2570.0,712093.69,3.91,3.13,0.43,2518.69
New Jersey,07828,18,499000.0,4,3,0.32,2102.0,509072.17,3.61,2.83,0.37,2112.61
New Jersey,07856,5,299999.0,2,2,0.19,1678.0,340199.8,2.6,1.8,0.2,1422.8
New Jersey,07876,13,535000.0,4,3,0.39,2134.0,520576.85,3.85,3.0,0.42,2179.0
New Jersey,07878,3,400000.0,3,2,0.17,1794.0,373300.0,3.0,1.67,0.17,1574.33
New Jersey,07921,9,1475000.0,4,4,6.01,4500.0,1535988.89,4.56,4.11,8.32,4207.44
New Jersey,08003,90,459900.0,4,3,0.26,2377.0,451492.21,3.77,3.09,0.26,2487.68
New Jersey,08006,8,1849000.0,5,4,0.15,2506.0,1843112.5,4.38,3.63,0.18,2324.88
New Jersey,08009,53,250000.0,3,2,0.25,1592.0,277599.72,3.06,2.19,0.26,1697.21
New Jersey,08023,4,185000.0,2,1,0.11,815.0,186250.0,2.5,1.0,0.11,955.5
New Jersey,08030,75,137500.0,3,1,0.05,1232.0,146864.31,2.77,1.39,0.07,1227.93
New Jersey,08066,36,179999.0,3,2,0.15,1372.0,180455.25,3.22,1.67,0.15,1479.08
New Jersey,08072,3,279900.0,3,2,2.49,1488.0,218300.0,3.0,2.0,2.05,1464.67
New Jersey,08075,101,311000.0,3,2,0.2,1726.0,301681.46,3.16,2.02,0.18,1676.99
New Jersey,08085,93,359900.0,3,3,0.2,2033.0,352433.12,3.37,2.77,0.43,2179.25
New Jersey,08088,127,375000.0,4,2,0.99,2036.0,406207.09,3.25,2.43,0.81,2136.75
New Jersey,08224,1,324900.0,2,1,1.0,1702.0,324900.0,2.0,1.0,1.0,1702.0
New Jersey,08328,5,239900.0,3,1,0.55,1286.0,229409.6,3.0,1.2,0.62,1252.8
New Jersey,08332,103,169999.0,3,2,0.26,1365.0,172124.61,3.0,1.79,0.3,1376.16
New Jersey,08360,122,210000.0,3,2,0.31,1296.0,216413.52,3.02,1.63,0.38,1392.7
New Jersey,08558,22,634700.0,4,3,0.46,2609.0,676046.77,3.59,3.27,0.65,2667.14
New Jersey,08619,91,330000.0,3,2,0.18,1500.0,334572.13,3.25,1.91,0.22,1541.44
New Jersey,08620,39,318000.0,3,2,0.18,1560.0,322672.95,3.18,1.95,0.21,1505.79
New Jersey,08648,74,385000.0,3,3,0.19,1821.0,413885.05,3.42,2.45,0.22,1959.11
New Jersey,08720,1,1099475.0,6,4,1.72,4242.0,1099475.0,6.0,4.0,1.72,4242.0
New Jersey,08722,16,355000.0,3,2,0.18,1414.0,345318.75,3.19,2.0,0.2,1490.56
New Jersey,08739,1,1749000.0,5,5,0.12,3192.0,1749000.0,5.0,5.0,0.12,3192.0
New Jersey,08820,84,649900.0,4,3,0.25,1972.0,649605.95,3.5,3.0,0.28,2090.82
New Jersey,08825,12,399900.0,3,3,2.14,2073.0,524549.92,3.25,2.83,2.35,2304.83
New Jersey,08840,63,479900.0,3,2,0.14,1493.0,508294.95,3.4,2.24,0.16,1632.71
New Jersey,08861,75,325000.0,3,2,0.06,1251.0,324664.16,2.8,1.97,0.08,1335.91
New Jersey,07013,13,525000.0,3,3,0.15,1863.0,552146.08,3.46,2.92,0.17,1875.38
New Jersey,07016,8,499000.0,3,2,0.11,1500.0,510237.5,3.13,2.13,0.12,1622.0
New Jersey,07027,2,350000.0,2,2,0.11,1479.0,525000.0,3.0,3.0,0.14,2211.5
New Jersey,07031,5,449000.0,4,2,0.09,1840.0,509580.0,4.4,2.6,0.08,1803.8
New Jersey,07054,15,578000.0,3,3,0.34,1930.0,549313.27,3.33,2.73,0.28,2060.13
New Jersey,07065,37,399900.0,3,2,0.1,1400.0,399383.73,3.3,1.97,0.12,1490.41
New Jersey,07066,11,725000.0,4,3,0.23,2531.0,775445.45,4.18,3.18,0.24,2441.09
New Jersey,07067,55,439900.0,4,2,0.17,1477.0,456364.53,3.6,2.05,0.19,1516.55
New Jersey,07072,3,499999.0,4,4,0.12,1744.0,509333.0,4.0,3.67,0.11,1775.67
New Jersey,07078,29,2080000.0,5,5,0.57,4650.0,2384582.34,5.31,5.28,0.59,5010.41
New Jersey,07080,24,430000.0,3,2,0.2,1800.0,487291.63,3.33,2.21,0.2,1988.38
New Jersey,07083,26,499000.0,3,3,0.12,1948.0,488211.38,3.46,2.65,0.13,2076.04
New Jersey,07086,3,868888.0,5,2,0.15,2112.0,1396262.67,4.67,3.0,2718.06,3207.0
New Jersey,07106,23,369999.0,5,2,0.08,1824.0,387921.61,4.78,2.83,0.09,1922.0
New Jersey,07305,13,580000.0,5,3,0.05,1643.0,611069.23,4.85,2.92,0.05,2023.69
New Jersey,07416,5,299900.0,3,2,0.14,1680.0,285780.0,3.2,1.6,0.16,2023.0
New Jersey,07417,5,1250000.0,4,4,1.56,4599.0,1038780.0,4.4,3.8,1.6,16848.6
New Jersey,07446,3,909900.0,4,4,0.3,3514.0,1023266.67,3.67,4.0,0.29,3743.0
New Jersey,07452,12,749000.0,4,3,0.24,2120.0,833900.0,3.67,2.83,0.27,2353.33
New Jersey,07456,10,365000.0,3,2,0.28,1376.0,383860.0,3.0,1.8,0.42,1600.8
New Jersey,07457,2,365500.0,2,2,0.12,1149.0,432750.0,2.5,2.5,0.13,1580.5
New Jersey,07463,4,375000.0,2,2,0.17,1312.0,433450.0,2.75,2.0,0.17,1403.75
New Jersey,07513,2,449900.0,6,3,0.06,2592.0,479450.0,6.5,3.5,0.06,11295.0
New Jersey,07661,3,889000.0,4,3,0.19,2680.0,904333.33,4.0,3.0,0.19,2987.33
New Jersey,07751,31,899900.0,5,4,0.48,3334.0,944034.52,4.45,3.65,0.61,3322.26
New Jersey,07803,9,449900.0,3,2,0.24,1992.0,467422.22,3.56,2.67,0.33,1912.89
New Jersey,07826,3,289000.0,3,3,1.66,1932.0,662999.67,3.0,3.0,28.94,1891.33
New Jersey,07840,46,385900.0,4,3,0.23,2074.0,392452.15,3.52,2.65,0.36,2194.63
New Jersey,07843,24,345000.0,3,2,0.21,1468.0,385004.17,3.0,2.17,0.25,1526.92
New Jersey,07857,3,374900.0,3,2,0.17,1652.0,374633.33,3.0,2.33,0.17,1668.67
New Jersey,07885,17,339000.0,3,2,0.22,1366.0,355747.06,3.29,1.76,0.23,1500.94
New Jersey,07933,4,489000.0,3,3,0.3,2109.0,602225.0,3.75,3.0,0.32,2222.5
New Jersey,07936,4,549900.0,4,3,0.41,2216.0,681225.0,4.0,3.0,0.39,2841.75
New Jersey,08001,11,275000.0,3,2,0.45,1734.0,305063.64,3.36,2.09,0.61,1937.27
New Jersey,08007,14,275000.0,3,2,0.17,1511.0,280092.86,3.36,2.0,0.19,1526.86
New Jersey,08014,3,199000.0,4,2,0.2,1700.0,219666.67,3.67,2.0,0.22,1709.33
New Jersey,08027,44,244900.0,3,2,0.25,1580.0,247336.36,3.39,2.14,0.27,1633.64
New Jersey,08043,86,449000.0,4,3,0.32,2464.0,487200.76,3.6,3.09,0.29,2546.79
New Jersey,08052,45,250000.0,3,1,0.17,1222.0,260127.71,2.91,1.51,0.18,1339.36
New Jersey,08057,72,549000.0,4,3,0.46,2391.0,679462.47,4.01,3.22,0.44,2903.83
New Jersey,08067,30,554000.0,4,3,1.35,3093.0,483787.0,3.67,2.83,30.52,2904.13
New Jersey,08080,98,345000.0,3,3,0.24,2052.0,341701.32,3.5,2.65,0.3,2059.09
New Jersey,08083,48,234900.0,3,2,0.19,1423.0,241257.21,3.17,1.81,0.19,1529.54
New Jersey,08084,13,284900.0,4,2,0.21,1661.0,285953.85,4.0,2.0,0.21,1676.92
New Jersey,08089,19,225000.0,3,2,0.45,1274.0,222478.89,3.05,2.0,0.52,1435.53
New Jersey,08106,27,289900.0,3,2,0.17,1528.0,289370.11,3.11,2.0,0.16,1556.96
New Jersey,08201,23,310000.0,4,2,0.23,1680.0,305498.17,3.48,2.17,0.26,1701.65
New Jersey,08212,3,2100000.0,4,4,0.2,3400.0,1883333.33,4.67,4.0,0.18,3278.67
New Jersey,08215,44,232000.0,3,2,0.24,1724.0,264709.05,3.14,2.16,0.68,1717.09
New Jersey,08221,14,439000.0,4,3,0.26,1996.0,665685.71,3.79,3.29,0.28,3083.07
New Jersey,08232,27,184900.0,3,2,0.14,1250.0,189081.48,3.0,1.81,0.15,1340.7
New Jersey,08234,84,349900.0,4,3,0.26,1952.0,359934.94,3.44,2.46,0.38,2070.7
New Jersey,08245,1,469900.0,5,2,1.42,3073.0,469900.0,5.0,2.0,1.42,3073.0
New Jersey,08247,15,3150000.0,4,3,0.13,2025.0,3433933.33,4.33,3.73,0.13,2249.27
New Jersey,08528,2,425000.0,3,2,0.38,1488.0,452500.0,3.0,2.0,0.52,1613.0
New Jersey,08608,4,350000.0,5,2,0.11,5152.0,299999.75,5.0,3.75,0.09,4486.5
New Jersey,08738,18,1995000.0,5,4,0.13,3400.0,2980444.39,4.78,4.67,0.19,3488.89
New Jersey,08740,3,305000.0,3,2,0.14,1410.0,301600.0,3.0,1.67,0.14,1423.33
New Jersey,08804,6,325000.0,3,2,0.38,1830.0,351500.0,3.0,2.33,1.45,1896.33
New Jersey,08805,18,399000.0,4,2,0.14,1700.0,403761.11,4.0,2.11,0.17,1685.06
New Jersey,08873,76,440000.0,3,3,0.16,1935.0,456977.61,2.93,2.72,0.19,1914.66
New Jersey,08880,6,399000.0,3,2,0.13,1801.0,473950.0,3.5,2.33,0.15,2078.17
New Jersey,08889,15,569000.0,3,3,0.79,1931.0,561446.67,3.0,2.47,1.1,1910.67
New Jersey,08901,75,289900.0,3,2,0.06,1219.0,326018.41,2.64,1.73,0.06,1263.63
New Jersey,08902,127,360000.0,3,3,0.2,1616.0,408835.29,2.98,2.58,0.24,1727.13
New Jersey,07014,2,825000.0,4,4,0.13,2200.0,862000.0,4.5,4.5,0.17,2550.0
New Jersey,07017,25,369900.0,5,3,0.09,1998.0,400019.92,4.56,2.96,0.09,2104.84
New Jersey,07023,3,850000.0,5,4,0.17,2600.0,836666.67,4.67,3.67,0.15,3100.0
New Jersey,07024,3,249000.0,3,2,0.62,1900.0,993259.0,3.67,3.67,1.87,2839.0
New Jersey,07046,3,655000.0,4,3,0.26,2237.0,718300.0,3.67,3.0,0.27,2155.0
New Jersey,07060,29,379900.0,4,2,0.16,1788.0,390108.55,3.97,2.24,0.18,1821.07
New Jersey,07069,21,1029500.0,5,4,1.38,3800.0,1147066.67,4.19,4.52,0.99,4005.43
New Jersey,07075,1,579000.0,4,3,0.12,2506.0,579000.0,4.0,3.0,0.12,2506.0
New Jersey,07081,6,550000.0,3,2,0.2,1700.0,621666.5,3.33,2.33,0.21,2051.67
New Jersey,07407,5,449900.0,4,2,0.11,2334.0,456980.0,3.6,2.0,0.11,2028.2
New Jersey,07439,2,294900.0,2,1,0.82,792.0,294900.0,2.0,1.5,0.89,824.0
New Jersey,07503,6,375000.0,6,3,0.06,2000.0,409899.83,5.5,2.83,0.08,2455.83
New Jersey,07514,4,498000.0,6,3,0.09,3267.0,494500.0,6.25,3.0,0.08,2956.75
New Jersey,07601,6,389000.0,3,2,0.06,1359.0,389800.0,2.33,1.83,0.09,1439.67
New Jersey,07621,2,475000.0,3,2,0.13,1670.0,482000.0,3.0,2.0,0.13,1670.0
New Jersey,07646,3,530000.0,3,3,0.14,1688.0,556000.0,3.0,2.67,0.11,1693.0
New Jersey,07650,1,949900.0,3,4,0.06,2600.0,949900.0,3.0,4.0,0.06,2600.0
New Jersey,07716,13,569000.0,3,2,0.25,1728.0,924300.0,3.46,2.31,0.36,1919.46
New Jersey,07726,99,645000.0,3,3,0.17,2028.0,606222.27,3.3,2.72,0.28,2214.08
New Jersey,07728,95,459000.0,4,3,0.25,2104.0,528040.82,3.39,2.64,0.38,2108.64
New Jersey,07731,84,499900.0,4,3,0.21,2000.0,487683.25,3.52,2.7,0.29,1933.45
New Jersey,07735,55,384900.0,3,2,0.14,1405.0,384867.15,3.09,1.85,0.14,1460.75
New Jersey,07740,32,675000.0,4,3,0.17,2055.0,897168.66,3.63,2.66,0.18,2131.56
New Jersey,07753,45,415000.0,3,2,0.17,1441.0,435777.56,3.16,1.93,0.19,1567.36
New Jersey,07762,18,1349000.0,4,3,0.17,2919.0,2599549.94,4.56,4.0,0.22,3569.56
New Jersey,07838,6,359000.0,3,3,1.03,2088.0,393966.67,3.17,2.5,3.07,2225.33
New Jersey,07865,3,339900.0,3,2,6.44,2500.0,459900.0,3.0,2.33,10.57,2514.0
New Jersey,07869,34,625000.0,4,3,0.6,2590.0,653511.71,3.88,3.03,0.76,2547.18
New Jersey,07920,29,899000.0,4,3,0.62,3005.0,917196.52,4.03,3.34,0.72,2927.41
New Jersey,07945,35,995000.0,4,4,1.26,3453.0,1168394.29,4.34,4.57,2.44,4206.69
New Jersey,08015,114,240000.0,3,2,0.22,1402.0,245799.04,3.26,1.68,0.24,1412.56
New Jersey,08021,139,200000.0,3,2,0.17,1306.0,202776.94,3.02,1.78,0.19,1363.98
New Jersey,08035,25,398777.0,4,2,0.19,1776.0,379446.92,3.64,2.0,0.18,1810.76
New Jersey,08048,31,315000.0,3,3,0.24,1618.0,347509.58,3.26,2.65,0.28,1914.19
New Jersey,08054,112,340000.0,3,3,0.14,1848.0,366111.88,2.92,2.58,0.19,1928.29
New Jersey,08055,140,513275.0,4,3,0.26,2516.0,547355.74,3.84,3.06,0.4,2681.91
New Jersey,08070,108,190000.0,3,2,0.23,1450.0,199081.14,3.06,1.73,0.25,1454.84
New Jersey,08230,13,420000.0,3,2,0.69,2120.0,407130.69,3.15,2.46,0.86,2056.85
New Jersey,08241,3,367500.0,3,3,1.71,2400.0,365800.0,3.0,2.67,2.74,2256.0
New Jersey,08322,57,269900.0,3,2,0.95,1760.0,304216.3,3.26,2.18,1.17,1977.7
New Jersey,08329,2,117000.0,2,1,0.07,1134.0,306000.0,3.5,2.0,0.09,2007.0
New Jersey,08340,3,220000.0,2,1,0.57,1320.0,266300.0,2.33,1.67,3.56,1413.33
New Jersey,08346,3,354900.0,4,2,0.51,2160.0,299732.0,3.67,2.33,0.82,2396.0
New Jersey,08502,12,830000.0,4,3,1.0,2713.0,814566.67,4.0,3.33,0.84,2984.08
