state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
New York,10012,13,6499000.0,3,3,0.13,3088.0,11963615.38,3.46,4.31,0.17,3966.0
New York,10039,4,985000.0,2,2,0.79,1170.0,949000.0,2.5,2.0,0.77,1141.75
New York,10309,159,799900.0,3,3,0.09,2100.0,848378.66,3.38,3.13,0.1,2195.8
New York,10452,2,749000.0,7,2,0.05,2730.0,1274499.5,8.5,3.0,0.05,3565.0
New York,10502,7,1285000.0,4,4,0.41,2584.0,1316000.0,4.0,3.71,0.57,2893.29
New York,10512,61,400000.0,3,2,0.52,1712.0,421608.15,2.84,2.1,0.64,1760.43
New York,10523,12,575000.0,3,2,0.15,1726.0,534658.25,3.33,2.33,0.17,1679.08
New York,10589,23,714000.0,3,3,0.92,2126.0,794847.83,3.22,3.0,1.76,2492.04
New York,10603,18,559000.0,3,2,0.19,1514.0,516241.39,2.56,1.78,0.23,1515.22
New York,10703,25,575000.0,3,2,0.08,1548.0,608035.92,4.0,2.44,0.09,1814.04
New York,10710,30,625000.0,3,2,0.14,1620.0,629226.57,3.23,2.17,0.15,1708.27
New York,10801,22,659900.0,4,2,0.11,1825.0,638891.77,4.14,2.32,0.14,2003.27
New York,10803,10,775000.0,3,3,0.11,1700.0,921879.8,3.6,3.1,0.11,2039.6
New York,10805,17,655000.0,3,2,0.29,1574.0,698088.12,3.41,2.41,0.35,1989.29
New York,10918,12,625000.0,4,3,2.5,2394.0,590225.0,4.0,3.08,2.6,2570.17
New York,10974,2,570000.0,5,2,0.4,2388.0,932500.0,5.0,3.5,0.8,2500.0
New York,10975,3,239900.0,2,1,0.01,886.0,217900.0,1.67,1.33,0.01,866.0
New York,10993,2,408999.0,3,1,0.17,1197.0,436999.5,3.5,2.5,0.18,1721.5
New York,11001,41,749999.0,3,2,0.1,1546.0,754254.59,3.49,2.37,0.1,1608.05
New York,11021,20,1539000.0,4,3,0.27,2800.0,1631794.4,4.2,3.95,0.3,3146.25
New York,11106,20,1365000.0,5,3,0.06,1843.0,1367220.0,4.3,3.25,0.07,1999.9
New York,11109,2,1280000.0,1,1,0.0,762.0,1289000.0,1.0,1.0,0.35,769.5
New York,11205,10,2650000.0,5,4,0.05,3000.0,2503500.0,5.9,4.0,0.05,2894.7
New York,11218,31,1750000.0,6,3,0.07,3000.0,1907316.06,5.68,3.29,0.07,2794.87
New York,11236,80,699900.0,4,2,0.05,1680.0,721019.53,3.88,2.54,0.05,1819.25
New York,11237,19,1310000.0,6,4,0.06,4125.0,1398368.42,6.95,4.0,0.05,3346.0
New York,11238,29,2499000.0,5,4,0.05,2590.0,2451292.97,4.69,3.93,0.05,2602.45
New York,11249,3,1400000.0,2,2,0.34,963.0,1316666.67,2.0,1.67,0.34,922.33
New York,11364,18,1240000.0,3,2,0.09,1630.0,1164249.33,3.33,2.39,0.09,1615.39
New York,11379,44,939000.0,4,3,0.05,1720.0,1015540.32,3.84,2.52,0.05,1840.09
New York,11385,70,1050000.0,5,3,0.05,2200.0,1109855.49,5.04,2.89,0.05,2320.76
New York,11428,14,685000.0,3,2,0.07,1452.0,711714.07,3.0,2.29,0.07,1434.79
New York,11510,54,599000.0,4,2,0.14,1671.0,640526.39,3.54,2.2,0.15,1810.2
New York,11563,32,599000.0,3,2,0.11,1516.0,618499.94,3.38,2.0,0.12,1630.41
