state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
North Carolina,27014,2,112500.0,2,1,0.2,948.0,113700.0,2.0,1.0,0.22,1091.0
North Carolina,27018,1,399000.0,3,2,20.66,1520.0,399000.0,3.0,2.0,20.66,1520.0
North Carolina,27020,3,185000.0,3,2,0.74,1534.0,153000.0,2.67,2.0,1.37,1396.0
North Carolina,27025,1,1500000.0,5,5,6.0,4248.0,1500000.0,5.0,5.0,6.0,4248.0
North Carolina,27260,2,89000.0,2,1,0.11,675.0,204500.0,2.5,2.0,0.14,1481.5
North Carolina,27295,3,315000.0,4,4,0.44,2551.0,404666.67,3.33,3.67,2.15,2693.67
North Carolina,27317,1,314999.0,3,2,2.57,2016.0,314999.0,3.0,2.0,2.57,2016.0
North Carolina,27330,66,390410.0,4,3,0.57,2700.0,365122.5,3.74,2.88,0.69,2465.67
North Carolina,27340,3,695000.0,3,3,0.03,1815.0,615000.0,2.67,3.0,0.03,1638.0
North Carolina,27358,2,670000.0,3,2,2.54,2808.0,1134500.0,4.0,4.0,3.29,5412.5
North Carolina,27371,8,169500.0,3,2,1.14,1409.0,190650.0,3.0,2.0,1.4,1546.63
North Carolina,27410,3,265000.0,3,2,0.33,1627.0,264633.33,2.33,1.67,0.24,1460.33
North Carolina,27505,32,265000.0,3,2,0.5,1717.0,270747.19,3.0,2.28,0.74,1701.34
North Carolina,27516,39,520000.0,3,3,0.35,2262.0,598789.74,3.41,3.18,0.84,2390.23
North Carolina,27532,2,127900.0,4,2,0.5,1960.0,129950.0,4.0,2.0,0.5,2044.0
North Carolina,27541,5,299900.0,3,2,1.15,1440.0,372560.0,3.0,2.0,2.63,1608.8
North Carolina,27544,2,125000.0,3,1,0.84,980.0,127450.0,3.0,1.5,0.96,1000.5
North Carolina,27555,3,234900.0,3,2,0.31,1347.0,184233.33,3.0,2.0,573.55,1315.33
North Carolina,27557,10,249900.0,3,2,0.53,1820.0,294360.0,3.0,2.1,1.04,1696.0
North Carolina,27560,20,465000.0,3,3,0.07,1934.0,508153.8,3.3,3.0,0.11,1994.0
North Carolina,27562,4,850000.0,3,3,7.3,2850.0,1332186.25,3.5,3.25,10.1,3499.0
North Carolina,27563,4,265000.0,3,2,0.3,1272.0,275000.0,3.0,2.0,0.31,1328.5
North Carolina,27701,44,560000.0,3,3,0.12,1777.0,603034.07,2.68,2.68,0.13,1723.75
North Carolina,27712,31,437500.0,3,3,0.5,2035.0,448522.58,3.35,2.81,0.52,2231.13
North Carolina,27814,6,225000.0,3,2,0.63,1377.0,356883.33,3.0,2.33,0.76,1849.67
North Carolina,27823,6,115500.0,3,2,0.42,1875.0,117566.67,3.5,2.0,0.82,1882.67
North Carolina,27824,3,104900.0,4,2,0.52,1172.0,167800.0,4.0,1.67,1.14,1551.33
North Carolina,27832,3,104000.0,3,2,0.46,1320.0,109300.0,3.0,2.0,0.45,1296.67
North Carolina,27839,3,80000.0,3,2,0.46,1196.0,76933.33,3.0,1.67,0.46,1169.67
North Carolina,27841,1,86000.0,2,1,0.69,1330.0,86000.0,2.0,1.0,0.69,1330.0
North Carolina,27871,18,100000.0,3,2,0.53,1398.0,118627.78,3.0,1.61,0.6,1424.78
North Carolina,27878,3,169900.0,3,2,0.35,1280.0,133866.67,3.33,2.0,0.32,1343.33
North Carolina,27884,6,155000.0,3,2,1.0,1408.0,211216.67,3.0,1.83,3.08,1625.17
North Carolina,27888,3,124000.0,3,2,0.63,1680.0,142933.33,3.0,1.67,0.65,1491.67
North Carolina,27890,5,155000.0,3,2,0.6,1500.0,133360.0,3.0,1.8,0.65,1485.8
