state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
North Dakota,58016,1,249900.0,2,1,7.41,2405.0,249900.0,2.0,1.0,7.41,2405.0
North Dakota,58046,1,160000.0,2,2,0.05,2299.0,160000.0,2.0,2.0,0.05,2299.0
North Dakota,58052,2,215000.0,3,3,0.92,2818.0,252000.0,4.0,3.0,1.81,2889.0
North Dakota,58203,30,185000.0,3,2,0.17,1872.0,224250.0,3.4,1.93,0.18,1995.53
North Dakota,58262,1,315000.0,5,3,1.93,4358.0,315000.0,5.0,3.0,1.93,4358.0
North Dakota,58318,22,169000.0,3,2,0.23,1248.0,214472.73,2.86,1.64,0.43,1269.64
North Dakota,58425,1,80000.0,2,2,0.11,1584.0,80000.0,2.0,2.0,0.11,1584.0
North Dakota,58438,3,75000.0,3,2,0.26,1275.0,78300.0,3.0,1.67,0.28,1172.33
North Dakota,58474,3,214000.0,2,1,0.08,1000.0,205666.67,2.33,1.33,0.1,1741.33
North Dakota,58524,1,63900.0,4,2,0.48,1800.0,63900.0,4.0,2.0,0.48,1800.0
North Dakota,58559,1,214900.0,2,1,0.15,1344.0,214900.0,2.0,1.0,0.15,1344.0
North Dakota,58601,127,250000.0,4,2,0.17,2160.0,260102.36,3.48,2.25,0.18,2133.04
North Dakota,58639,4,99900.0,3,2,0.25,1664.0,99150.0,3.25,1.75,0.34,1637.5
North Dakota,58652,3,300000.0,4,3,0.24,3055.0,264966.67,3.67,3.33,0.24,2961.0
North Dakota,58655,3,150000.0,3,2,0.28,1728.0,144666.67,3.0,1.67,0.24,1733.33
North Dakota,58723,1,120000.0,3,2,0.32,2400.0,120000.0,3.0,2.0,0.32,2400.0
North Dakota,58727,1,59000.0,3,2,0.17,1698.0,59000.0,3.0,2.0,0.17,1698.0
North Dakota,58762,3,125000.0,3,2,0.2,2285.0,118300.0,3.33,2.67,0.23,2344.33
North Dakota,58772,1,36000.0,5,3,0.32,3215.0,36000.0,5.0,3.0,0.32,3215.0
North Dakota,58783,1,150000.0,3,2,42.87,1197.0,150000.0,3.0,2.0,42.87,1197.0
North Dakota,58849,3,176900.0,2,2,0.31,1920.0,165633.33,2.33,2.0,0.29,1969.33
North Dakota,58001,1,200000.0,3,2,0.44,2340.0,200000.0,3.0,2.0,0.44,2340.0
North Dakota,58005,1,389900.0,3,2,0.28,2137.0,389900.0,3.0,2.0,0.28,2137.0
North Dakota,58041,3,285000.0,3,2,0.31,1492.0,265266.67,2.67,2.0,0.36,1796.67
North Dakota,58054,6,124900.0,3,2,0.21,2000.0,143616.67,3.67,2.0,0.34,2364.0
North Dakota,58078,108,396300.0,3,3,0.18,2589.0,405767.39,3.49,2.75,0.19,2595.32
North Dakota,58374,1,75000.0,3,1,0.26,1172.0,75000.0,3.0,1.0,0.26,1172.0
North Dakota,58401,48,199900.0,3,2,0.17,1772.0,215114.58,3.23,2.23,0.21,2040.0
North Dakota,58418,1,64900.0,1,1,0.37,1254.0,64900.0,1.0,1.0,0.37,1254.0
North Dakota,58479,2,105000.0,2,1,0.48,1200.0,167500.0,2.5,1.5,0.76,2122.0
North Dakota,58482,3,117500.0,3,2,0.2,1746.0,170800.0,3.0,2.0,0.4,1717.33
North Dakota,58496,1,755000.0,5,4,16.79,4046.0,755000.0,5.0,4.0,16.79,4046.0
North Dakota,58520,1,285000.0,3,2,3.0,1920.0,285000.0,3.0,2.0,3.0,1920.0
North Dakota,58545,5,90000.0,3,2,0.24,1996.0,211080.0,3.0,2.2,3.23,2175.2
North Dakota,58565,1,374900.0,5,4,0.26,2605.0,374900.0,5.0,4.0,0.26,2605.0
North Dakota,58568,1,250000.0,3,2,40.0,2152.0,250000.0,3.0,2.0,40.0,2152.0
North Dakota,58579,4,140000.0,3,2,0.24,1409.0,184700.0,3.25,2.0,0.36,1555.75
North Dakota,58632,1,209000.0,9,10,0.48,6050.0,209000.0,9.0,10.0,0.48,6050.0
North Dakota,58649,2,115000.0,3,1,0.1,1800.0,270000.0,3.5,1.5,57.6,2562.5
North Dakota,58795,2,135000.0,3,1,0.26,1296.0,135000.0,3.0,1.5,0.53,2173.0
North Dakota,58852,6,118000.0,3,2,0.16,1384.0,121000.0,3.0,1.67,0.17,1595.0
North Dakota,58018,3,449900.0,3,3,0.67,2366.0,429933.0,3.33,3.0,0.67,2257.33
North Dakota,58072,25,169900.0,3,2,0.18,1906.0,214784.0,2.96,1.84,0.19,1867.8
North Dakota,58223,2,148900.0,1,2,1.0,3472.0,193950.0,2.5,2.0,1.09,5408.0
