state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Ohio,43040,39,299000.0,3,3,0.19,1820.0,310420.92,3.18,2.56,0.22,1940.46
Ohio,43044,11,185000.0,3,1,0.5,1400.0,200018.09,2.73,1.27,0.68,1483.36
Ohio,43054,35,498570.0,3,3,0.18,2568.0,662503.69,3.31,3.63,0.22,3125.57
Ohio,43056,16,235000.0,3,2,0.46,1520.0,268018.81,3.31,2.06,0.96,1815.06
Ohio,43071,3,274900.0,4,3,2.05,2144.0,253225.67,3.67,2.67,1.87,2105.33
Ohio,43085,35,375000.0,3,3,0.2,1896.0,400715.71,3.17,2.66,0.21,1913.03
Ohio,43105,10,287500.0,3,2,0.25,1995.0,301600.0,3.3,2.1,0.65,1991.6
Ohio,43209,38,340000.0,3,2,0.16,1779.0,411100.0,3.53,2.53,0.17,1965.68
Ohio,43318,12,135000.0,3,2,0.44,1752.0,153668.75,3.0,1.83,0.58,1808.17
Ohio,43320,2,164900.0,3,2,0.2,1040.0,219900.0,3.0,2.0,0.31,1210.0
Ohio,43336,1,65000.0,3,2,0.4,1152.0,65000.0,3.0,2.0,0.4,1152.0
Ohio,43341,2,399900.0,3,2,5.87,2088.0,399900.0,4.0,2.5,24.78,2394.0
Ohio,43462,2,127500.0,3,1,0.53,1056.0,147700.0,3.5,1.0,0.53,1200.0
Ohio,43464,3,268000.0,5,3,0.75,2285.0,525166.67,4.67,2.33,6.34,2419.0
Ohio,43468,1,85000.0,4,2,0.25,2081.0,85000.0,4.0,2.0,0.25,2081.0
Ohio,43506,40,119900.0,3,2,0.21,1315.0,130334.95,3.05,1.9,0.24,1420.45
Ohio,43607,38,70000.0,3,1,0.09,1393.0,66701.68,3.13,1.47,0.11,1413.71
Ohio,43619,5,164900.0,3,2,0.14,1500.0,191540.0,3.0,1.6,0.17,1439.2
Ohio,43718,6,250000.0,3,2,1.13,1960.0,311450.0,3.33,2.5,1.42,2164.67
Ohio,43720,3,259900.0,3,2,2.33,2416.0,264966.67,2.67,2.0,2.09,2063.67
Ohio,43749,9,169900.0,3,2,2.63,1392.0,185200.0,2.78,2.0,2.98,1445.56
Ohio,43762,14,184999.0,3,2,0.27,1620.0,174378.43,3.07,2.0,0.45,1736.5
Ohio,43771,6,149900.0,3,1,0.14,1214.0,150700.0,2.67,1.0,0.16,1489.33
Ohio,43788,3,68900.0,2,1,0.15,640.0,62800.0,2.0,1.0,0.21,725.0
Ohio,43928,1,69900.0,2,2,0.12,1236.0,69900.0,2.0,2.0,0.12,1236.0
Ohio,43945,9,87500.0,3,1,1.04,1393.0,97822.22,2.44,1.44,1.43,1481.11
Ohio,43946,6,149900.0,3,2,1.53,1432.0,172283.17,3.33,2.33,1.58,1674.5
Ohio,43968,29,78000.0,3,1,0.13,1442.0,95851.69,3.07,1.48,0.49,1509.86
Ohio,44032,2,179900.0,3,2,1.0,1292.0,179900.0,3.0,2.0,1.5,1391.0
Ohio,44040,24,500000.0,4,4,2.5,4130.0,834687.5,4.13,4.25,3.37,4662.0
Ohio,44057,26,174900.0,3,2,0.33,1600.0,180803.81,3.19,2.0,0.53,1617.19
Ohio,44067,99,225000.0,3,2,0.22,1586.0,237888.88,3.02,2.22,0.3,1809.86
Ohio,44084,19,220000.0,3,2,0.53,2083.0,308114.58,3.32,2.42,0.48,2198.68
Ohio,44087,81,282000.0,3,3,0.31,1966.0,293448.75,3.32,2.73,0.28,2249.41
Ohio,44108,120,65000.0,4,2,0.1,2198.0,71989.18,4.41,2.09,0.1,2355.61
Ohio,44132,112,119900.0,3,2,0.16,1401.0,119105.36,3.06,1.54,0.15,1478.3
Ohio,44233,23,599900.0,3,3,0.75,2749.0,542021.74,3.57,3.22,1.09,3088.65
Ohio,44281,108,205000.0,3,2,0.24,1714.0,227343.94,3.31,2.14,0.28,1916.94
Ohio,44306,126,69900.0,3,1,0.12,1056.0,73090.04,2.75,1.34,0.13,1109.99
Ohio,44423,8,159900.0,3,2,1.02,1312.0,160175.0,3.0,1.88,1.28,1515.75
Ohio,44427,5,109900.0,3,1,0.34,1520.0,108780.0,3.6,1.4,0.7,1438.4
Ohio,44429,17,229000.0,3,2,0.24,1600.0,306970.59,3.0,2.0,0.27,1616.18
Ohio,44441,11,275000.0,3,3,0.78,1764.0,242953.64,3.27,2.45,0.89,2099.0
Ohio,44446,114,87900.0,3,2,0.19,1344.0,93850.0,3.13,1.75,0.21,1432.2
Ohio,44473,18,179900.0,3,2,1.2,1740.0,170633.33,3.22,1.78,1.82,1803.11
Ohio,44505,82,115000.0,3,2,0.28,1569.0,122193.78,3.15,1.94,0.35,1748.15
Ohio,44512,272,138500.0,3,2,0.23,1650.0,150908.13,3.04,2.01,0.26,1704.72
Ohio,44612,13,239900.0,3,2,0.32,1848.0,225461.54,3.0,2.0,0.48,1921.15
Ohio,44629,6,149900.0,3,2,0.29,1440.0,156866.67,3.0,1.83,0.3,1468.33
Ohio,44656,11,139900.0,3,2,0.64,1922.0,192127.27,3.45,2.18,0.92,2108.27
Ohio,44681,13,139900.0,3,2,0.22,2016.0,149046.31,3.08,1.77,0.68,1860.08
Ohio,44688,12,114900.0,3,1,0.25,1460.0,122600.0,3.0,1.5,0.29,1481.83
Ohio,44706,70,134900.0,3,2,0.34,1393.0,126525.7,3.0,1.7,0.36,1418.01
Ohio,44720,194,225000.0,3,2,0.35,1968.0,247324.35,3.32,2.44,0.39,2089.01
Ohio,44825,1,128000.0,3,1,0.52,1488.0,128000.0,3.0,1.0,0.52,1488.0
Ohio,44833,33,124900.0,3,2,0.29,1564.0,137241.73,3.0,1.61,0.56,1496.15
