state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Pennsylvania,15012,15,209000.0,3,3,0.19,1672.0,224266.67,3.0,2.47,0.28,1587.2
Pennsylvania,15014,5,129000.0,3,2,0.12,1515.0,134560.0,3.0,2.0,0.11,1469.6
Pennsylvania,15047,2,474000.0,3,2,1.0,1200.0,474500.0,3.5,3.0,2.08,2316.0
Pennsylvania,15052,8,184900.0,3,2,0.48,1576.0,178162.38,3.0,2.0,0.63,1784.88
Pennsylvania,15065,29,129900.0,3,2,0.16,1200.0,139575.52,2.79,1.72,0.15,1271.66
Pennsylvania,15071,39,259900.0,3,3,0.2,1751.0,284515.87,3.15,2.67,0.2,1741.92
Pennsylvania,15203,66,239900.0,2,2,0.03,1520.0,280005.48,2.47,2.2,0.03,1568.11
Pennsylvania,15210,93,95000.0,3,2,0.07,1592.0,103577.28,3.24,1.59,0.08,1599.02
Pennsylvania,15211,67,229000.0,3,2,0.06,1650.0,293956.69,2.79,2.22,0.07,1732.66
Pennsylvania,15223,27,184500.0,3,2,0.12,1275.0,171437.0,2.74,1.81,0.13,1352.85
Pennsylvania,15229,33,210000.0,3,2,0.14,1496.0,222978.7,3.0,1.91,0.16,1461.33
Pennsylvania,15235,71,159900.0,3,2,0.18,1274.0,157960.54,3.0,2.0,0.2,1309.61
Pennsylvania,15331,3,61500.0,3,2,0.1,1234.0,67100.0,3.33,2.0,0.12,1577.67
Pennsylvania,15348,3,170000.0,3,3,0.41,1809.0,159966.67,3.0,3.33,0.62,2063.0
Pennsylvania,15350,3,125000.0,3,2,0.16,1400.0,139966.67,3.0,2.0,0.18,1681.33
Pennsylvania,15368,2,70000.0,3,2,0.13,2182.0,122500.0,3.5,2.0,0.71,2250.0
Pennsylvania,15412,2,62000.0,2,1,0.14,560.0,63500.0,2.5,1.0,0.15,1276.0
Pennsylvania,15420,2,79900.0,3,1,0.17,1046.0,79950.0,3.0,1.5,0.18,1072.0
Pennsylvania,15433,1,380000.0,3,3,10.14,1736.0,380000.0,3.0,3.0,10.14,1736.0
Pennsylvania,15478,5,180000.0,3,2,0.95,1288.0,171980.0,3.0,1.6,0.7,1499.2
Pennsylvania,15555,1,17500.0,3,1,0.15,890.0,17500.0,3.0,1.0,0.15,890.0
Pennsylvania,15623,1,369900.0,3,2,0.28,1576.0,369900.0,3.0,2.0,0.28,1576.0
Pennsylvania,15801,24,104000.0,3,2,0.18,1330.0,136943.54,3.13,1.83,0.33,1461.75
Pennsylvania,15829,1,425000.0,4,3,10.79,2434.0,425000.0,4.0,3.0,10.79,2434.0
Pennsylvania,15845,3,65000.0,3,2,0.14,1570.0,67133.33,3.0,2.0,0.19,1690.0
Pennsylvania,15868,3,139000.0,3,1,0.4,1118.0,138833.33,3.0,1.0,0.44,1028.67
Pennsylvania,15949,3,125000.0,3,1,1.0,1260.0,120800.0,2.67,1.33,1.35,1234.67
Pennsylvania,16027,1,239900.0,3,2,1.91,1200.0,239900.0,3.0,2.0,1.91,1200.0
Pennsylvania,16131,2,99900.0,3,2,0.18,1500.0,115950.0,4.0,3.0,1.91,1775.0
Pennsylvania,16250,2,55000.0,2,1,0.15,1032.0,77450.0,4.0,1.5,0.38,1452.0
Pennsylvania,16340,1,145000.0,1,1,2.0,1296.0,145000.0,1.0,1.0,2.0,1296.0
Pennsylvania,16342,2,54900.0,3,1,0.05,992.0,122400.0,3.5,1.0,4.75,1516.0
Pennsylvania,16401,16,115000.0,3,2,0.17,1282.0,131931.13,2.75,1.75,1.2,1329.81
Pennsylvania,16503,26,50000.0,3,1,0.07,1320.0,52186.31,3.27,1.27,0.07,1300.38
Pennsylvania,16504,66,97000.0,3,1,0.12,1280.0,103111.42,3.0,1.47,0.13,1336.35
Pennsylvania,16508,87,119900.0,3,1,0.12,1300.0,116653.44,3.11,1.53,0.12,1354.78
Pennsylvania,16510,68,129900.0,3,2,0.15,1262.0,146510.0,3.0,1.65,0.19,1349.88
Pennsylvania,16639,1,259900.0,3,2,0.7,2250.0,259900.0,3.0,2.0,0.7,2250.0
Pennsylvania,16668,3,189900.0,4,2,0.49,2526.0,191600.0,3.67,2.0,1.13,2269.33
Pennsylvania,16683,3,325000.0,3,2,0.92,1622.0,424800.0,2.67,1.67,0.81,1589.33
Pennsylvania,16735,13,58500.0,3,2,0.19,1568.0,84046.08,3.54,1.62,0.21,1612.92
Pennsylvania,16748,10,107000.0,3,1,1.2,1224.0,169700.0,3.1,1.9,3.21,1472.0
Pennsylvania,16826,2,224900.0,3,2,1.02,1291.0,232400.0,4.0,2.0,5.72,1365.5
Pennsylvania,16844,11,167000.0,3,2,1.5,1728.0,304854.55,3.27,2.27,6.39,2053.45
Pennsylvania,16943,1,329900.0,3,2,9.3,1812.0,329900.0,3.0,2.0,9.3,1812.0
Pennsylvania,16946,10,154900.0,3,2,1.25,1366.0,183640.0,3.0,1.7,4.51,1537.7
Pennsylvania,17004,10,189900.0,3,2,0.39,1945.0,255170.0,3.2,1.8,0.76,2072.1
Pennsylvania,17021,2,89900.0,3,2,0.28,1760.0,124950.0,3.5,2.0,0.32,2272.0
Pennsylvania,17024,4,210000.0,3,1,1.49,1133.0,212675.0,3.25,1.75,1.82,1747.25
Pennsylvania,17033,66,375000.0,3,3,0.29,2398.0,381473.55,3.47,2.52,0.27,2389.67
Pennsylvania,17067,35,230000.0,3,2,0.3,1900.0,277334.29,3.23,2.26,0.47,1927.26
Pennsylvania,17099,4,159000.0,3,2,0.13,1322.0,163225.0,3.0,2.0,0.33,1711.0
