state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Puerto Rico,00606,4,75000.0,5,2,4.55,1563.0,77000.0,4.5,1.75,3.72,1697.5
Puerto Rico,00612,33,140000.0,3,2,0.2,1500.0,150203.03,3.94,2.24,0.21,1678.94
Puerto Rico,00638,5,65000.0,3,2,0.1,1100.0,109800.0,3.0,2.0,0.59,1222.4
Puerto Rico,00659,10,133000.0,3,2,0.22,1641.0,226780.0,3.4,1.9,0.33,2061.8
Puerto Rico,00688,2,115000.0,3,2,0.15,1108.0,125000.0,3.0,2.0,0.3,1154.0
Puerto Rico,00720,10,100000.0,4,3,0.22,1449.0,136899.5,4.3,3.1,0.57,1762.1
Puerto Rico,00726,2,675000.0,4,3,0.31,3000.0,722000.0,5.5,3.5,9.09,3473.5
Puerto Rico,00738,20,80000.0,3,2,0.07,1044.0,208095.0,3.0,1.85,0.06,1103.35
Puerto Rico,00745,26,140000.0,3,2,0.08,1134.0,593065.38,3.12,2.15,0.17,1359.5
Puerto Rico,00783,9,88000.0,3,1,0.13,1103.0,100166.67,3.56,1.56,0.12,1095.44
Puerto Rico,00906,1,895000.0,2,2,0.03,1560.0,895000.0,2.0,2.0,0.03,1560.0
Puerto Rico,00907,35,749000.0,3,3,0.07,1924.0,1269300.0,3.09,3.0,0.08,2114.17
Puerto Rico,00949,12,140000.0,3,2,0.08,1400.0,189483.33,3.42,2.0,0.08,1537.67
Puerto Rico,00958,2,130000.0,3,2,0.07,871.0,132650.0,4.0,2.0,0.08,1435.5
Puerto Rico,00960,2,695000.0,3,3,0.1,2775.0,3122500.0,4.0,4.5,0.52,3997.0
Puerto Rico,00961,7,135000.0,3,1,0.09,1000.0,134714.29,3.0,1.57,0.06,1086.71
Puerto Rico,00965,9,161000.0,4,3,0.19,1700.0,223544.44,4.11,2.67,0.25,1761.33
