state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
South Carolina,29030,4,225000.0,3,2,3.0,2387.0,350750.0,3.25,2.0,8.23,2616.0
South Carolina,29055,12,150000.0,3,1,0.69,1037.0,215408.33,3.0,1.67,0.95,1371.25
South Carolina,29070,11,389000.0,4,3,0.7,2141.0,459390.91,3.45,2.73,0.9,2280.36
South Carolina,29112,7,129990.0,3,2,0.73,1876.0,241241.43,3.29,2.86,1.51,2198.0
South Carolina,29210,11,110000.0,3,2,0.15,1257.0,124390.91,2.45,1.82,0.18,1265.64
South Carolina,29301,45,233800.0,3,2,0.28,1592.0,268045.2,3.33,2.33,0.47,1896.24
South Carolina,29302,41,269000.0,3,3,0.23,1828.0,273264.95,3.39,2.44,0.32,1976.07
South Carolina,29388,10,189900.0,3,2,0.25,1430.0,177646.0,3.0,1.7,0.54,1508.7
South Carolina,29401,43,2150000.0,4,3,0.1,3063.0,2553600.93,3.58,3.65,0.11,3251.6
South Carolina,29431,8,190000.0,3,2,0.48,1344.0,204050.0,3.13,2.0,0.94,1504.38
South Carolina,29436,5,157000.0,3,2,2.08,1824.0,278200.0,3.0,2.0,2.52,1996.8
South Carolina,29469,3,217000.0,4,2,1.04,2400.0,322333.33,4.0,2.67,1.31,3200.0
South Carolina,29474,4,110000.0,3,2,2.07,1568.0,166225.0,3.0,2.25,2.57,1549.0
South Carolina,29481,3,200000.0,3,2,1.0,1152.0,262666.67,2.67,1.67,36.2,1108.33
South Carolina,29505,124,229900.0,3,2,0.31,1724.0,236043.8,3.27,2.35,0.32,1825.28
South Carolina,29525,2,37900.0,3,2,0.43,1456.0,53900.0,3.5,2.0,0.48,1764.0
South Carolina,29536,38,119000.0,3,2,0.5,1680.0,131557.24,3.34,2.03,0.72,1791.08
South Carolina,29546,4,124900.0,3,2,0.86,1310.0,169675.0,3.0,2.0,1.16,1397.0
South Carolina,29554,23,149000.0,3,2,1.0,1668.0,178988.61,3.22,1.91,0.99,1790.0
South Carolina,29556,21,142500.0,3,2,0.4,1470.0,142028.57,3.1,2.1,0.45,1748.57
South Carolina,29564,1,275000.0,3,2,4.53,2069.0,275000.0,3.0,2.0,4.53,2069.0
South Carolina,29575,143,374778.0,3,2,0.14,1600.0,406854.48,3.16,2.34,0.15,1571.15
South Carolina,29580,2,124900.0,3,2,1.0,1600.0,131950.0,3.5,2.5,4.7,1968.0
South Carolina,29592,3,129000.0,3,2,0.95,1960.0,212333.33,3.33,2.67,1.39,2243.33
South Carolina,29607,6,329000.0,4,2,0.33,1866.0,376483.33,4.33,2.5,0.31,1909.67
South Carolina,29680,6,299999.0,3,2,0.18,1680.0,309728.83,3.67,2.83,0.18,1935.5
South Carolina,29696,10,299000.0,3,2,0.66,1550.0,443590.0,3.4,2.5,0.95,2011.1
South Carolina,29697,4,189900.0,3,2,0.45,1250.0,223700.0,3.0,2.0,0.58,1348.25
South Carolina,29714,11,250000.0,3,2,1.11,1619.0,280481.82,3.0,2.0,1.23,1575.64
South Carolina,29827,3,140000.0,5,3,0.25,1999.0,108333.33,4.33,2.67,0.25,1954.67
South Carolina,29853,16,175000.0,3,2,0.93,1750.0,215468.75,3.0,2.13,3.99,1803.31
South Carolina,29856,14,235000.0,3,2,4.32,1440.0,295871.43,3.36,2.21,6.91,1740.36
South Carolina,29909,408,425000.0,3,2,0.18,1987.0,452624.78,2.66,2.51,0.18,2023.56
South Carolina,29001,1,125000.0,4,2,0.79,2474.0,125000.0,4.0,2.0,0.79,2474.0
South Carolina,29032,1,425000.0,4,2,15.0,2553.0,425000.0,4.0,2.0,15.0,2553.0
South Carolina,29045,57,333898.0,4,3,0.15,2201.0,332006.26,3.86,2.84,0.16,2164.16
South Carolina,29058,6,229900.0,3,2,0.8,1356.0,263616.67,3.0,2.0,4.1,1581.0
South Carolina,29059,12,240000.0,3,2,0.82,1504.0,286541.67,3.42,2.33,0.93,1967.75
South Carolina,29129,5,170000.0,3,1,1.3,1300.0,165980.0,3.0,1.4,1.38,1327.2
South Carolina,29130,10,525000.0,3,3,1.0,2400.0,574211.5,3.4,3.2,1.34,2353.5
South Carolina,29138,8,249900.0,3,2,0.6,1880.0,264650.0,3.13,2.13,6.06,2026.75
South Carolina,29150,266,207900.0,3,2,0.26,1929.0,211479.15,3.48,2.42,0.31,1953.11
South Carolina,29204,12,180000.0,3,2,0.26,1314.0,228316.33,3.0,1.75,0.31,1480.42
South Carolina,29223,15,174900.0,3,2,0.27,1426.0,193953.33,3.13,2.2,0.36,1611.33
South Carolina,29306,24,199900.0,3,2,0.38,2175.0,354159.38,3.38,2.67,0.47,2457.67
South Carolina,29330,7,235000.0,3,2,1.15,1642.0,228664.43,3.0,2.0,1.13,1602.43
South Carolina,29356,17,389900.0,3,2,1.41,2054.0,471402.94,3.35,2.59,2.61,2292.0
South Carolina,29360,4,210000.0,4,2,0.45,1567.0,204225.0,3.75,2.5,1.19,1654.25
South Carolina,29377,1,69900.0,2,1,0.38,918.0,69900.0,2.0,1.0,0.38,918.0
South Carolina,29435,5,235000.0,3,2,1.96,1848.0,229880.0,3.0,1.8,1.68,1874.2
South Carolina,29438,13,850000.0,3,3,0.26,2341.0,1007069.23,3.85,3.08,0.31,2278.54
South Carolina,29448,4,209000.0,3,2,0.62,1664.0,249875.0,3.0,2.25,0.88,1824.5
South Carolina,29458,9,859000.0,4,2,3.0,2688.0,1158222.22,4.11,3.44,2.9,2447.0
South Carolina,29461,134,335000.0,3,3,0.17,1850.0,346686.81,3.47,2.79,0.2,1969.47
South Carolina,29471,3,220000.0,3,2,0.4,2041.0,229333.33,3.0,2.0,0.83,1742.67
South Carolina,29477,11,285000.0,3,2,0.75,1792.0,293945.45,3.0,2.0,0.86,1713.27
South Carolina,29482,7,4995000.0,4,5,0.33,3252.0,4614285.71,4.0,4.71,0.32,3151.71
South Carolina,29488,54,195000.0,3,2,0.6,1640.0,245607.7,3.19,2.09,0.73,1902.22
South Carolina,29550,52,195000.0,3,2,0.52,1510.0,196755.77,3.0,2.0,0.64,1581.46
South Carolina,29563,9,112500.0,3,2,0.52,1493.0,129288.89,3.0,1.56,0.63,1396.67
South Carolina,29584,3,214500.0,2,2,29.74,1300.0,183166.67,2.33,2.0,31.68,1171.67
South Carolina,29601,1,399500.0,2,2,0.02,1187.0,399500.0,2.0,2.0,0.02,1187.0
South Carolina,29615,4,540000.0,4,3,0.36,2023.0,752000.0,4.25,3.0,0.38,3005.25
South Carolina,29630,8,380000.0,3,3,1.5,2448.0,443000.0,3.25,3.13,1.96,2787.75
South Carolina,29631,8,465000.0,4,4,0.48,2942.0,589252.5,4.63,3.88,0.52,3072.25
South Carolina,29640,9,178000.0,3,2,0.67,1719.0,214622.22,2.89,2.0,0.75,1639.0
South Carolina,29646,12,179000.0,3,2,0.62,1745.0,213483.33,3.17,2.42,0.76,1915.67
South Carolina,29678,48,285477.0,3,2,0.25,1796.0,285938.0,3.38,2.4,0.44,1895.79
South Carolina,29710,183,361950.0,3,3,0.4,2037.0,421558.73,3.37,2.69,0.64,2110.74
South Carolina,29728,37,219000.0,3,2,0.37,1264.0,220710.81,3.0,2.19,0.41,1392.27
South Carolina,29803,392,278500.0,3,2,0.29,1956.0,307550.01,3.34,2.57,0.4,2076.73
South Carolina,29841,183,209900.0,3,2,0.34,1676.0,246848.08,3.29,2.29,0.36,1850.43
South Carolina,29843,2,30000.0,3,2,0.91,1558.0,90000.0,3.0,2.0,0.92,1560.0
South Carolina,29915,16,749000.0,3,4,0.49,2981.0,857306.25,3.75,3.94,0.6,2910.75
South Carolina,29918,6,100000.0,3,2,0.83,1500.0,144983.33,3.17,1.67,1.7,1627.17
South Carolina,29943,2,115000.0,3,2,0.57,924.0,115000.0,3.0,2.0,0.57,924.0
South Carolina,29006,3,190000.0,3,2,2.17,1595.0,526333.33,3.33,3.0,1.58,2770.67
South Carolina,29015,1,249000.0,3,2,1.3,1915.0,249000.0,3.0,2.0,1.3,1915.0
South Carolina,29033,6,235000.0,3,2,0.23,1311.0,238183.33,3.0,2.0,0.28,1648.83
South Carolina,29038,3,142000.0,3,2,2.0,1344.0,129263.33,2.67,1.67,2.91,1343.33
South Carolina,29080,3,239000.0,3,2,2.0,2200.0,274333.33,3.33,2.33,24.43,2185.0
South Carolina,29104,3,119000.0,4,2,5.01,1344.0,249300.0,3.33,2.33,5.67,2266.0
South Carolina,29111,1,200000.0,3,3,1.0,1792.0,200000.0,3.0,3.0,1.0,1792.0
South Carolina,29123,3,175000.0,4,2,1.0,2432.0,353300.0,4.0,2.33,1.07,2450.67
South Carolina,29125,2,99000.0,3,1,1.44,1061.0,107000.0,4.0,3.0,3.22,1771.0
South Carolina,29128,10,265000.0,3,3,5.45,2248.0,560980.0,3.5,3.2,14.94,2802.8
South Carolina,29169,5,239900.0,3,3,0.07,1663.0,310940.0,3.0,2.6,0.11,1762.2
South Carolina,29170,9,250000.0,4,2,0.22,1716.0,249531.56,3.56,2.33,0.24,1694.22
South Carolina,29307,32,261490.0,4,3,0.5,2167.0,276097.09,3.81,2.56,0.56,2182.69
South Carolina,29332,3,450000.0,3,3,0.64,2250.0,534666.67,3.0,3.0,0.69,2100.0
South Carolina,29340,37,150000.0,3,2,0.58,1400.0,164631.35,2.86,1.81,0.78,1515.95
South Carolina,29369,23,330000.0,3,3,0.6,2237.0,352060.87,3.43,2.57,0.57,2155.04
South Carolina,29405,54,330000.0,3,2,0.13,1418.0,339967.63,3.0,2.37,0.13,1483.94
South Carolina,29410,50,375000.0,3,3,0.22,1892.0,409304.86,3.5,2.56,0.23,2020.76
South Carolina,29412,83,580000.0,3,2,0.26,1798.0,676709.57,3.35,2.52,0.28,1857.05
South Carolina,29414,119,419900.0,3,3,0.15,1924.0,437021.99,3.55,2.81,0.17,2001.09
South Carolina,29446,1,162000.0,3,2,1.0,896.0,162000.0,3.0,2.0,1.0,896.0
South Carolina,29451,44,2795000.0,4,4,0.24,3224.0,2841372.73,4.61,4.57,0.24,3201.61
South Carolina,29475,3,220000.0,3,2,1.0,1824.0,256333.33,3.0,1.67,3.73,3416.0
South Carolina,29570,5,75000.0,3,1,0.4,1091.0,85480.0,3.0,1.2,0.85,1232.2
South Carolina,29583,5,149000.0,3,2,1.97,2072.0,151380.0,3.4,2.0,2.11,1928.4
South Carolina,29611,8,235000.0,3,2,0.17,1428.0,242498.63,5.38,3.88,0.14,2322.63
South Carolina,29624,6,149500.0,3,2,0.41,1022.0,192233.33,2.83,1.67,0.48,1438.67
South Carolina,29627,3,195000.0,4,2,0.28,1288.0,233004.33,3.33,2.0,0.48,1710.33
South Carolina,29681,6,350000.0,4,3,0.26,3048.0,414133.33,4.33,3.5,0.42,2777.17
South Carolina,29689,4,575000.0,3,2,0.2,1350.0,556000.0,3.25,2.25,0.48,2053.75
South Carolina,29745,145,300000.0,3,2,0.69,1728.0,358908.06,3.27,2.45,0.84,1992.07
South Carolina,29924,19,179900.0,3,2,0.59,1792.0,183494.68,3.26,2.21,0.7,1932.47
South Carolina,29944,7,190000.0,3,2,0.68,1568.0,210657.14,3.29,2.0,1.1,1749.86
South Carolina,29014,3,489900.0,3,2,5.0,2797.0,408299.67,3.33,2.0,3.79,2660.67
South Carolina,29061,10,250000.0,3,3,0.9,2220.0,243749.9,3.5,2.7,1.32,2212.8
South Carolina,29101,2,49900.0,3,2,0.69,1875.0,99900.0,3.0,2.0,0.82,1917.5
South Carolina,29114,5,99000.0,3,1,0.52,1432.0,109240.0,3.0,1.4,0.51,1599.2
