state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
South Dakota,57048,1,299900.0,2,2,0.14,1953.0,299900.0,2.0,2.0,0.14,1953.0
South Dakota,57051,2,68900.0,2,2,0.17,1089.0,309400.0,3.5,2.0,27.83,1552.5
South Dakota,57057,2,80000.0,3,1,0.29,960.0,214950.0,3.5,1.5,20.15,1637.5
South Dakota,57069,22,208900.0,3,2,0.26,1874.0,247913.64,3.45,2.23,0.57,1969.86
South Dakota,57201,48,179900.0,3,2,0.2,1912.0,209441.69,3.06,1.73,0.2,1815.48
South Dakota,57226,4,150000.0,3,2,0.16,1630.0,133675.0,3.5,2.25,0.21,1944.75
South Dakota,57273,1,2500000.0,4,3,480.0,3140.0,2500000.0,4.0,3.0,480.0,3140.0
South Dakota,57331,1,158000.0,4,2,0.24,1152.0,158000.0,4.0,2.0,0.24,1152.0
South Dakota,57382,3,80000.0,4,2,0.25,1680.0,113633.33,4.0,2.0,0.26,1596.0
South Dakota,57568,1,108000.0,4,2,0.64,912.0,108000.0,4.0,2.0,0.64,912.0
South Dakota,57722,3,3500000.0,6,3,733.0,3696.0,2416666.67,5.0,3.0,488.85,2921.33
South Dakota,57012,2,98500.0,2,1,0.23,1472.0,316750.0,3.5,2.0,2.18,2018.5
South Dakota,57018,2,300000.0,4,3,0.48,2503.0,589500.0,4.0,3.0,4.13,2637.5
South Dakota,57030,3,212000.0,4,2,0.23,1500.0,231333.33,3.67,2.0,0.21,1585.67
South Dakota,57040,1,799000.0,4,3,36.0,3106.0,799000.0,4.0,3.0,36.0,3106.0
South Dakota,57053,3,255000.0,4,2,0.23,2078.0,258266.67,3.67,2.0,0.21,1865.33
South Dakota,57066,3,129900.0,2,2,0.29,1444.0,138133.33,2.67,1.67,0.28,1281.67
South Dakota,57103,84,254900.0,3,2,0.18,1727.0,280029.15,3.32,2.12,0.18,1783.64
South Dakota,57110,108,529000.0,4,3,0.25,2160.0,553396.64,3.71,2.73,0.26,2378.46
South Dakota,57213,1,229900.0,4,2,0.72,1728.0,229900.0,4.0,2.0,0.72,1728.0
South Dakota,57220,3,249900.0,2,2,0.21,1302.0,273184.33,1.67,2.0,0.19,1869.67
South Dakota,57223,2,174900.0,3,1,0.26,1432.0,242400.0,3.5,2.0,0.47,1736.0
South Dakota,57261,1,147500.0,3,1,10.0,1000.0,147500.0,3.0,1.0,10.0,1000.0
South Dakota,57301,28,209900.0,3,2,0.16,1639.0,207075.0,3.11,1.93,0.22,1803.96
South Dakota,57315,1,200000.0,4,1,0.32,2729.0,200000.0,4.0,1.0,0.32,2729.0
South Dakota,57363,2,125000.0,2,2,0.33,1560.0,294900.0,3.0,2.5,5.17,1852.0
South Dakota,57366,5,120000.0,2,1,0.32,1068.0,127600.0,2.4,1.4,0.28,1114.4
South Dakota,57427,2,229900.0,3,2,0.33,2506.0,253450.0,3.5,2.5,0.34,2607.0
South Dakota,57432,1,300000.0,5,2,10.0,2400.0,300000.0,5.0,2.0,10.0,2400.0
South Dakota,57450,1,90000.0,3,2,0.17,1656.0,90000.0,3.0,2.0,0.17,1656.0
South Dakota,57559,1,65000.0,2,1,0.16,1011.0,65000.0,2.0,1.0,0.16,1011.0
South Dakota,57620,3,249900.0,3,1,4.75,1764.0,190600.0,3.0,1.33,3.27,1586.67
South Dakota,57648,2,94900.0,3,2,0.16,1866.0,105950.0,3.5,2.0,0.22,2061.0
South Dakota,57702,55,459000.0,4,3,0.31,2405.0,512258.18,3.84,2.62,0.54,2484.15
South Dakota,57717,37,260000.0,3,2,0.34,1982.0,404183.78,3.24,2.11,1.18,2094.43
South Dakota,57732,5,324900.0,4,2,0.32,2052.0,341980.0,3.4,1.6,0.51,1847.0
South Dakota,57735,2,230000.0,2,1,5.0,1116.0,457875.0,2.5,1.0,51.35,1278.0
South Dakota,57769,25,486310.0,3,2,1.5,1921.0,472962.28,3.32,2.56,2.32,1994.04
South Dakota,57036,5,281900.0,4,2,3.91,2280.0,408120.0,4.0,2.4,4.33,2326.2
South Dakota,57043,1,385000.0,4,3,4.95,3867.0,385000.0,4.0,3.0,4.95,3867.0
South Dakota,57055,1,899900.0,5,3,6.27,3053.0,899900.0,5.0,3.0,6.27,3053.0
South Dakota,57070,3,129900.0,3,2,0.29,1514.0,136266.67,3.33,1.67,0.27,1468.67
South Dakota,57071,3,279900.0,5,3,0.38,2333.0,411433.33,4.67,3.33,0.61,2777.67
South Dakota,57078,36,189900.0,3,2,0.17,1395.0,215341.83,2.86,1.97,0.21,1644.03
South Dakota,57106,114,314900.0,3,2,0.18,1768.0,336124.59,3.39,2.39,0.18,1853.4
South Dakota,57243,1,89900.0,3,2,0.3,1216.0,89900.0,3.0,2.0,0.3,1216.0
South Dakota,57248,2,425000.0,3,2,0.14,1952.0,437450.0,4.0,2.5,5.07,2190.5
South Dakota,57249,1,54900.0,3,2,0.19,1326.0,54900.0,3.0,2.0,0.19,1326.0
South Dakota,57252,10,123000.0,2,2,0.22,1396.0,143200.0,2.5,1.7,0.21,1580.9
South Dakota,57321,1,71000.0,3,1,0.7,1640.0,71000.0,3.0,1.0,0.7,1640.0
South Dakota,57323,1,339500.0,4,3,4.99,2002.0,339500.0,4.0,3.0,4.99,2002.0
South Dakota,57335,1,1189000.0,5,4,5.59,3100.0,1189000.0,5.0,4.0,5.59,3100.0
South Dakota,57367,1,549900.0,3,2,0.4,2273.0,549900.0,3.0,2.0,0.4,2273.0
South Dakota,57380,2,145000.0,3,2,0.32,1362.0,147250.0,3.5,2.0,0.32,1467.0
South Dakota,57384,2,208000.0,3,2,0.61,1209.0,503450.0,3.5,3.0,6.31,3488.0
South Dakota,57471,2,94000.0,3,1,0.41,1239.0,99500.0,4.0,1.0,1.61,1895.5
South Dakota,57473,2,595000.0,4,3,9.5,3584.0,1422500.0,4.5,4.0,14.5,6784.0
South Dakota,57476,1,45000.0,2,1,0.54,1128.0,45000.0,2.0,1.0,0.54,1128.0
South Dakota,57501,30,269900.0,3,2,0.23,1248.0,314326.67,3.33,2.5,0.24,1374.37
South Dakota,57701,62,254900.0,3,2,0.18,1648.0,288130.26,3.29,1.92,0.19,1622.71
South Dakota,57703,56,350000.0,4,2,0.2,1862.0,369207.14,3.52,2.29,0.21,1884.27
South Dakota,57718,8,325000.0,4,2,0.24,2152.0,342200.0,3.63,2.38,0.26,2308.63
South Dakota,57724,1,235000.0,3,2,0.96,2160.0,235000.0,3.0,2.0,0.96,2160.0
South Dakota,57783,39,597500.0,4,3,0.29,2688.0,672069.21,3.87,3.05,1.35,2581.64
South Dakota,57014,2,280000.0,3,2,0.84,1480.0,337500.0,3.5,2.0,2.78,2028.5
South Dakota,57029,2,39900.0,3,1,0.07,1037.0,94900.0,3.0,1.0,0.13,1289.0
South Dakota,57107,38,307900.0,3,2,0.18,1608.0,329005.26,3.05,2.08,0.19,1627.24
South Dakota,57241,2,304900.0,4,2,0.26,2296.0,327400.0,4.0,2.0,3.51,2675.5
South Dakota,57374,2,86900.0,2,1,0.33,1430.0,173400.0,3.0,1.5,4.77,1599.0
South Dakota,57460,1,590000.0,4,3,27.3,2984.0,590000.0,4.0,3.0,27.3,2984.0
South Dakota,57523,1,149900.0,3,1,1.0,1238.0,149900.0,3.0,1.0,1.0,1238.0
South Dakota,57601,7,126900.0,4,2,0.18,1175.0,133542.86,3.86,2.0,0.17,1220.14
South Dakota,57638,2,39000.0,3,2,0.16,728.0,64000.0,3.0,2.0,0.16,1004.0
South Dakota,57761,2,105000.0,3,2,0.32,1578.0,262450.0,3.5,2.5,5.16,1929.0
South Dakota,57013,13,209900.0,3,2,0.21,1922.0,293607.69,3.46,2.08,0.27,2379.92
South Dakota,57022,13,332500.0,4,3,0.3,2250.0,382953.85,3.54,2.54,0.31,2140.46
South Dakota,57038,3,565000.0,3,2,1.01,1807.0,1919966.67,3.33,3.67,1.58,4036.67
South Dakota,57039,12,210000.0,3,2,0.24,1729.0,307558.33,3.17,2.17,0.68,1939.83
South Dakota,57045,3,110000.0,3,2,0.19,1176.0,99933.33,3.0,1.67,0.2,1318.67
South Dakota,57063,2,250000.0,2,2,0.52,2100.0,389950.0,2.5,2.5,2.76,2625.0
South Dakota,57104,51,199900.0,3,2,0.14,1400.0,213119.61,2.9,1.65,0.14,1359.02
South Dakota,57227,1,125000.0,2,1,0.3,1336.0,125000.0,2.0,1.0,0.3,1336.0
South Dakota,57234,5,139900.0,4,2,0.32,1690.0,150700.0,3.4,2.0,0.31,1729.8
South Dakota,57376,2,39900.0,2,1,0.14,1524.0,49900.0,2.5,1.5,0.19,1586.0
South Dakota,57714,1,725000.0,4,2,160.0,1800.0,725000.0,4.0,2.0,160.0,1800.0
South Dakota,57747,21,334000.0,3,2,0.72,1920.0,415728.57,3.0,2.05,1.6,1966.43
South Dakota,57788,2,845000.0,4,3,23.48,4088.0,845000.0,4.0,3.0,23.48,4088.0
South Dakota,57010,4,248000.0,3,2,0.61,2034.0,429350.0,3.5,2.25,0.91,2529.0
South Dakota,57016,2,152500.0,2,1,0.18,1056.0,171200.0,3.0,1.5,0.25,1281.5
South Dakota,57026,1,127500.0,2,2,0.28,1144.0,127500.0,2.0,2.0,0.28,1144.0
South Dakota,57032,32,317900.0,3,2,0.21,1483.0,363892.88,2.88,2.13,0.21,1517.94
South Dakota,57034,2,125000.0,2,1,0.25,1272.0,172450.0,2.5,1.5,4.25,1621.5
South Dakota,57042,22,150000.0,2,2,0.23,1481.0,171886.36,2.77,1.82,0.22,1590.32
South Dakota,57072,1,200000.0,4,2,4.8,1256.0,200000.0,4.0,2.0,4.8,1256.0
South Dakota,57075,5,489000.0,4,3,0.56,2635.0,689760.0,4.0,3.0,5.48,2637.0
South Dakota,57105,58,289900.0,3,2,0.17,1996.0,330836.21,3.43,2.47,0.17,2151.0
South Dakota,57212,3,189900.0,2,1,0.38,1088.0,164600.0,2.33,1.33,2.12,1140.0
South Dakota,57224,2,125000.0,2,1,0.19,960.0,130000.0,3.0,2.0,1.06,1291.0
South Dakota,57225,2,164900.0,2,1,0.48,1636.0,297450.0,2.5,1.5,4.47,1798.0
South Dakota,57268,1,94900.0,4,2,0.32,1338.0,94900.0,4.0,2.0,0.32,1338.0
South Dakota,57349,2,179900.0,3,2,0.25,1758.0,309950.0,3.0,2.5,4.25,2628.5
South Dakota,57353,2,249900.0,2,2,0.33,2848.0,312450.0,3.0,2.0,16.31,3159.0
South Dakota,57445,2,87000.0,5,1,0.16,2184.0,115950.0,5.0,1.5,0.25,2376.0
South Dakota,57472,3,65000.0,3,1,0.24,988.0,93833.33,3.0,1.33,0.8,1056.33
South Dakota,57551,1,235000.0,4,2,0.18,1526.0,235000.0,4.0,2.0,0.18,1526.0
South Dakota,57577,1,3352800.0,2,1,1524.0,2000.0,3352800.0,2.0,1.0,1524.0,2000.0
South Dakota,57580,9,135000.0,3,1,0.22,1144.0,147877.78,2.56,1.67,0.24,1254.0
South Dakota,57632,1,67000.0,4,2,0.24,2106.0,67000.0,4.0,2.0,0.24,2106.0
South Dakota,57719,42,343900.0,3,2,0.21,1837.0,347989.62,3.6,2.21,0.31,1720.86
South Dakota,57730,21,554900.0,3,2,2.05,1856.0,590933.33,2.95,2.29,2.66,2173.19
South Dakota,57745,13,349000.0,2,2,0.23,1316.0,363253.85,2.38,1.54,0.89,1298.31
South Dakota,57763,2,140000.0,3,2,0.48,1216.0,194950.0,3.0,2.0,0.72,1248.0
