state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Tennessee,37015,36,353000.0,3,2,0.49,1650.0,399978.53,3.25,2.36,2.05,1913.89
Tennessee,37016,3,599900.0,4,3,5.04,2626.0,583233.33,3.67,2.67,3.99,2321.33
Tennessee,37043,206,414900.0,3,3,0.28,2214.0,442157.03,3.54,2.85,0.32,2283.54
Tennessee,37046,20,1550000.0,4,4,0.53,4559.0,2363934.95,4.0,4.25,2.47,3866.75
Tennessee,37072,36,420000.0,3,3,0.69,2000.0,475538.47,3.44,2.56,2.49,2256.72
Tennessee,37079,3,149900.0,3,2,2.37,1104.0,133266.67,2.33,1.67,2.14,974.67
Tennessee,37080,12,419000.0,3,2,1.49,1741.0,448500.0,3.0,1.92,2.56,2057.0
Tennessee,37128,62,480000.0,4,3,0.22,2309.0,512149.82,3.69,2.94,0.26,2319.68
Tennessee,37160,44,340000.0,3,2,0.66,1798.0,356788.61,3.09,2.23,1.19,1864.05
Tennessee,37174,58,575000.0,3,3,0.2,2332.0,608383.59,3.48,2.95,0.22,2510.98
Tennessee,37179,28,899000.0,4,4,0.28,3192.0,1134367.75,3.93,3.79,1.84,3359.64
Tennessee,37204,20,1595000.0,4,4,0.23,3125.0,1496150.0,4.2,3.75,0.26,3322.85
Tennessee,37209,87,659900.0,3,3,0.11,1830.0,721182.39,3.0,2.74,0.12,1882.06
Tennessee,37219,4,1190000.0,2,2,0.03,1075.0,1244750.0,2.0,2.0,0.03,1197.25
Tennessee,37302,28,518350.0,4,4,0.2,2770.0,545340.21,4.0,3.54,0.22,2852.07
Tennessee,37311,63,232000.0,3,2,0.24,1456.0,251647.75,3.0,2.14,0.31,1534.33
Tennessee,37330,6,219900.0,3,2,0.8,1575.0,210616.67,3.0,2.0,0.82,1779.83
Tennessee,37347,16,250000.0,3,2,0.68,1380.0,301081.25,3.06,2.0,0.71,1477.56
Tennessee,37353,12,374900.0,3,3,1.0,1650.0,466333.33,3.5,2.83,1.69,2151.33
Tennessee,37380,4,200000.0,3,2,0.42,1568.0,223750.0,3.0,2.0,0.88,1654.0
Tennessee,37387,14,370000.0,2,2,0.69,1161.0,380514.21,2.43,1.71,1.47,1509.29
Tennessee,37422,1,455919.0,3,3,0.17,2852.0,455919.0,3.0,3.0,0.17,2852.0
Tennessee,37657,2,234900.0,1,1,3.66,864.0,237400.0,1.5,1.5,9.83,994.5
Tennessee,37713,7,225000.0,2,1,5.0,1280.0,326828.57,2.43,1.57,29.93,1410.29
Tennessee,37771,42,298000.0,3,2,0.32,1708.0,306099.69,3.0,2.24,0.36,1671.33
Tennessee,37774,113,499900.0,3,3,0.25,2164.0,502153.94,3.19,2.64,0.24,2308.29
Tennessee,37806,8,159900.0,2,1,0.38,1033.0,183562.5,2.75,1.75,0.41,1184.25
Tennessee,37811,9,210000.0,3,2,0.99,1300.0,208622.22,3.0,1.67,3.68,1503.89
Tennessee,37825,27,254900.0,3,2,0.76,1636.0,299270.37,3.0,2.33,1.11,1779.63
Tennessee,37878,3,275000.0,4,1,0.18,1440.0,614833.33,3.0,1.67,0.3,1695.67
Tennessee,37882,30,525000.0,2,2,1.0,1383.0,610066.67,2.37,2.37,3.0,1858.17
Tennessee,37931,163,364900.0,3,3,0.2,2100.0,368523.02,3.32,2.8,0.23,2112.44
Tennessee,38047,1,59900.0,2,2,0.29,952.0,59900.0,2.0,2.0,0.29,952.0
Tennessee,38315,2,74900.0,3,2,0.45,1813.0,137400.0,3.0,2.5,1.26,2160.5
Tennessee,38318,2,56000.0,1,1,2.8,520.0,165500.0,2.5,1.5,8.66,1599.5
Tennessee,38339,1,209900.0,3,2,5.8,1620.0,209900.0,3.0,2.0,5.8,1620.0
Tennessee,38341,2,149900.0,1,1,0.41,1008.0,157450.0,2.0,1.0,0.68,1036.0
Tennessee,38449,6,199900.0,2,2,0.39,1128.0,249108.33,2.83,1.83,3.1,1328.17
Tennessee,38451,10,579999.0,3,2,5.29,1806.0,569959.9,3.0,2.4,4.68,2348.1
Tennessee,38504,13,639000.0,3,2,6.57,1518.0,617276.92,2.77,2.31,8.61,1914.46
Tennessee,38541,7,164900.0,3,2,2.2,1456.0,258928.57,3.0,2.0,4.04,1610.29
Tennessee,38560,4,197900.0,3,2,0.72,1188.0,214400.0,3.0,2.0,0.87,1399.75
Tennessee,38571,43,299500.0,3,2,1.0,1673.0,290218.58,3.0,2.0,1.1,1746.0
Tennessee,38575,1,318000.0,3,2,4.7,1794.0,318000.0,3.0,2.0,4.7,1794.0
Tennessee,37025,11,300000.0,3,2,1.11,1326.0,366986.73,3.0,1.91,1.37,1722.09
Tennessee,37034,22,389900.0,3,2,0.7,1664.0,442061.0,3.23,2.23,2.19,1870.0
Tennessee,37035,5,339900.0,3,2,1.63,1960.0,386820.0,3.0,2.0,3.64,1867.8
Tennessee,37047,7,278000.0,3,2,0.54,1600.0,296142.86,3.0,2.0,1.89,1512.29
Tennessee,37049,6,279900.0,3,2,1.03,1755.0,388247.83,3.0,2.67,2.11,1959.0
Tennessee,37055,40,314900.0,3,2,1.0,1351.0,349200.0,3.0,2.2,1.1,1562.23
Tennessee,37135,26,831960.0,4,4,0.26,3292.0,1000033.08,4.0,3.96,0.32,3286.65
Tennessee,37140,1,170000.0,1,1,1.3,966.0,170000.0,1.0,1.0,1.3,966.0
Tennessee,37141,3,634900.0,3,3,1.37,2609.0,589603.0,3.0,2.67,2.77,2700.67
Tennessee,37217,41,317000.0,3,2,0.22,1601.0,327575.56,2.95,2.37,0.24,1645.15
Tennessee,37321,46,249900.0,3,2,0.55,1578.0,265484.67,3.0,2.17,0.68,1775.78
Tennessee,37325,7,625000.0,3,2,3.0,2464.0,647571.43,3.29,3.0,4.21,3010.57
Tennessee,37338,6,185000.0,3,1,1.1,1030.0,232466.67,3.0,1.83,1.21,1351.67
Tennessee,37339,4,224900.0,3,2,1.0,1375.0,266912.5,2.75,2.0,5.5,1501.0
Tennessee,37355,42,310000.0,3,2,0.54,1721.0,331702.38,3.0,2.12,0.65,1780.83
Tennessee,37360,4,600000.0,3,1,3.47,2088.0,654725.0,3.0,2.25,10.67,2181.75
Tennessee,37363,163,445858.0,4,3,0.23,2503.0,467827.36,3.6,3.03,0.28,2472.62
Tennessee,37398,59,354900.0,3,2,0.36,1817.0,481641.9,3.25,2.53,0.43,2118.88
Tennessee,37659,42,358000.0,3,3,0.6,1957.0,378707.1,3.24,2.55,0.82,2136.74
Tennessee,37725,50,359000.0,3,2,0.71,1930.0,482566.98,3.0,2.46,1.01,2146.74
Tennessee,37754,13,253655.0,3,2,0.48,1470.0,292323.85,3.0,2.46,1.3,1602.85
Tennessee,37762,9,125000.0,3,2,0.76,1296.0,137088.89,3.0,1.67,0.81,1520.0
Tennessee,37765,1,342500.0,3,2,2.0,1344.0,342500.0,3.0,2.0,2.0,1344.0
Tennessee,37854,23,240000.0,3,2,0.51,1600.0,244439.13,3.0,2.0,0.88,1659.91
Tennessee,37872,5,300000.0,4,2,5.0,3200.0,317718.2,3.6,2.2,5.01,2856.0
Tennessee,37891,6,169900.0,3,2,1.34,1300.0,194750.0,3.0,2.17,1.6,1531.33
Tennessee,37909,55,350000.0,3,3,0.33,1824.0,385507.25,3.38,2.64,0.35,2091.27
Tennessee,37934,139,652769.0,4,3,0.3,2968.0,632693.09,3.6,3.24,0.35,2783.47
Tennessee,38001,7,149000.0,3,2,0.34,1350.0,133228.57,3.0,1.71,0.36,1373.57
Tennessee,38079,4,109900.0,3,2,0.28,1110.0,128175.0,3.0,1.75,0.41,1467.5
Tennessee,38134,2,230000.0,5,4,0.34,2556.0,230000.0,5.0,4.0,0.35,2722.0
Tennessee,38229,3,324900.0,3,3,4.9,2190.0,294933.33,3.0,3.0,3.65,2683.0
