state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Vermont,05042,1,169500.0,3,2,0.27,1801.0,169500.0,3.0,2.0,0.27,1801.0
Vermont,05045,1,2995000.0,7,8,10.56,7280.0,2995000.0,7.0,8.0,10.56,7280.0
Vermont,05048,3,399900.0,3,2,2.0,1600.0,339633.33,2.67,1.67,2.38,1742.67
Vermont,05101,5,110000.0,4,2,0.25,1000.0,162000.0,3.4,1.8,0.54,1370.8
Vermont,05152,4,365000.0,3,2,1.0,1688.0,416250.0,3.25,2.5,0.84,1722.75
Vermont,05346,3,700000.0,3,3,2.55,2700.0,549966.67,3.33,3.0,10.92,2220.0
Vermont,05350,6,169900.0,2,2,1.0,1104.0,195966.67,2.17,1.67,3.62,1080.0
Vermont,05442,2,425000.0,2,2,4.4,1176.0,837500.0,2.5,2.5,96.0,1375.0
Vermont,05463,5,349000.0,3,2,0.93,1728.0,372117.2,3.4,1.8,1.11,1811.0
Vermont,05464,3,399900.0,3,3,2.54,2709.0,448300.0,5.0,3.33,6.13,3048.33
Vermont,05492,1,595000.0,3,3,13.5,2062.0,595000.0,3.0,3.0,13.5,2062.0
Vermont,05647,3,299000.0,3,2,2.27,1997.0,309333.33,3.67,2.0,2.01,2157.0
Vermont,05655,5,589000.0,3,3,5.15,1904.0,527600.0,3.4,3.0,5.8,1867.8
Vermont,05664,1,249000.0,4,1,1.3,1520.0,249000.0,4.0,1.0,1.3,1520.0
Vermont,05676,3,399000.0,3,2,0.25,2753.0,973000.0,3.0,2.33,13.47,3349.67
Vermont,05681,2,171500.0,1,1,0.03,610.0,220250.0,1.0,1.5,0.16,845.0
Vermont,05701,20,215000.0,3,2,0.26,1890.0,207350.0,3.4,2.0,0.34,1908.45
Vermont,05739,8,375000.0,3,3,2.33,2700.0,511875.0,3.63,2.63,3.99,2682.0
Vermont,05742,3,389000.0,3,3,11.65,2847.0,507999.67,3.33,3.33,17.34,2497.0
Vermont,05748,1,300000.0,1,1,3.5,744.0,300000.0,1.0,1.0,3.5,744.0
Vermont,05760,6,425000.0,3,2,0.44,2100.0,426233.33,2.83,2.5,8.52,2115.0
Vermont,05828,3,269000.0,3,2,10.6,1809.0,361333.33,3.0,1.67,25.25,1947.67
Vermont,05839,3,159500.0,3,2,5.0,1200.0,196166.67,3.33,2.0,3.85,1370.67
Vermont,05851,11,185000.0,3,2,0.69,1945.0,199172.73,3.82,2.27,1.09,2008.64
Vermont,05033,3,399000.0,7,3,0.45,2568.0,482666.67,6.67,3.0,0.47,2698.67
Vermont,05036,2,179000.0,2,1,0.5,999.0,714500.0,5.0,3.5,41.55,3352.0
Vermont,05053,2,379500.0,2,2,0.4,2400.0,414500.0,3.0,2.5,0.58,3312.0
Vermont,05065,3,325000.0,3,3,4.5,2106.0,346333.33,3.0,2.67,5.01,2447.33
Vermont,05142,3,245000.0,4,1,0.5,1330.0,223333.33,3.0,1.67,0.62,1244.0
Vermont,05340,7,765000.0,4,4,1.1,2784.0,930000.0,4.14,4.29,2.56,3343.14
Vermont,05359,1,699000.0,3,4,2.4,2727.0,699000.0,3.0,4.0,2.4,2727.0
Vermont,05403,21,639000.0,3,2,0.23,1848.0,571298.86,3.14,2.29,0.25,1972.62
Vermont,05482,2,495000.0,4,3,0.6,2477.0,560000.0,4.5,3.0,0.78,3009.5
Vermont,05677,4,429000.0,4,2,2.85,2408.0,564475.0,4.25,2.0,4.36,2574.0
Vermont,05680,2,115000.0,2,1,2.0,772.0,182000.0,2.5,1.5,19.0,786.0
Vermont,05761,3,120000.0,3,1,0.78,1972.0,124666.67,3.33,1.33,2.45,1783.33
Vermont,05845,2,249500.0,3,2,10.5,1344.0,349750.0,3.5,2.5,11.25,2497.0
Vermont,05871,3,454000.0,3,2,3.0,1680.0,399333.33,3.0,2.33,3.67,1742.67
Vermont,95652,1,425000.0,2,1,1.4,648.0,425000.0,2.0,1.0,1.4,648.0
Vermont,05051,3,389900.0,2,3,4.5,2370.0,437600.0,2.67,2.33,28.17,2230.33
Vermont,05056,2,525000.0,3,3,1.71,2192.0,547500.0,3.0,4.0,4.81,2371.0
Vermont,05062,1,387000.0,4,2,20.59,1552.0,387000.0,4.0,2.0,20.59,1552.0
Vermont,05146,2,689000.0,3,3,6.46,2560.0,944000.0,4.0,3.5,88.73,3395.0
Vermont,05149,17,750000.0,3,3,0.75,2018.0,948117.65,3.71,3.06,1.32,2396.29
Vermont,05153,4,295000.0,3,1,0.45,1232.0,320000.0,3.0,1.5,1.77,1820.0
Vermont,05252,1,82500.0,2,1,1.0,957.0,82500.0,2.0,1.0,1.0,957.0
Vermont,05343,2,399000.0,2,1,0.16,1180.0,512000.0,4.5,4.5,24.63,3798.5
Vermont,05351,2,210000.0,3,2,1.0,1176.0,479500.0,4.5,2.5,4.25,2207.0
Vermont,05355,3,249000.0,4,1,10.3,1953.0,749633.33,3.67,1.67,15.61,1717.67
Vermont,05401,12,610000.0,4,2,0.1,2307.0,674558.33,4.83,2.5,0.11,2380.92
Vermont,05404,3,359000.0,3,2,0.13,1600.0,357966.67,3.0,2.0,0.17,1558.33
Vermont,05408,6,495000.0,4,3,0.24,2781.0,573400.0,4.33,2.5,0.24,2508.67
Vermont,05495,12,439900.0,3,3,0.53,2139.0,536558.33,3.08,2.58,0.67,2136.83
Vermont,05602,7,365000.0,3,2,0.5,1720.0,386814.29,3.0,2.14,1.08,2062.43
Vermont,05641,24,250000.0,3,2,0.21,1851.0,256025.0,4.04,2.04,0.38,1998.5
Vermont,05747,3,325000.0,3,1,5.0,980.0,283300.0,3.33,2.0,4.1,1667.0
Vermont,05759,4,695000.0,3,4,23.5,4316.0,734975.0,4.0,4.0,22.77,4175.0
Vermont,05774,2,127125.0,2,1,0.42,1224.0,1138562.5,3.5,3.0,0.49,3457.5
Vermont,05824,3,224900.0,2,2,2.0,1931.0,187633.33,2.33,2.0,6.67,1634.33
Vermont,05825,2,225000.0,3,1,4.43,1200.0,370000.0,3.5,1.5,7.27,1984.0
