state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
West Virginia,24740,23,129000.0,3,2,0.2,1618.0,132795.48,3.3,1.83,0.23,1674.22
West Virginia,24818,1,79000.0,3,2,0.28,1400.0,79000.0,3.0,2.0,0.28,1400.0
West Virginia,25015,3,195000.0,4,4,0.13,4788.0,243600.0,5.0,3.33,0.12,4800.67
West Virginia,25040,1,109900.0,4,1,0.11,1860.0,109900.0,4.0,1.0,0.11,1860.0
West Virginia,25123,6,116000.0,3,2,2.0,1340.0,106583.33,3.0,2.0,13.18,1490.0
West Virginia,25267,2,119900.0,2,1,6.18,1080.0,142700.0,2.5,1.0,42.15,1276.0
West Virginia,25285,1,95000.0,3,2,1.3,1826.0,95000.0,3.0,2.0,1.3,1826.0
West Virginia,25302,23,85000.0,3,2,0.1,1475.0,104847.83,2.91,1.83,0.18,1626.61
West Virginia,25320,6,155000.0,3,2,1.08,2250.0,195783.33,3.5,2.5,1.28,2177.83
West Virginia,25401,54,199900.0,3,2,0.16,1368.0,202148.15,3.0,2.04,0.15,1473.11
West Virginia,25414,196,385000.0,4,3,0.18,2148.0,371912.23,3.59,3.17,0.21,2439.69
West Virginia,25501,1,325000.0,4,4,50.0,2464.0,325000.0,4.0,4.0,50.0,2464.0
West Virginia,25555,2,100000.0,3,2,0.41,1008.0,129500.0,3.0,2.0,1.21,1179.0
West Virginia,25567,1,145900.0,3,2,0.95,1568.0,145900.0,3.0,2.0,0.95,1568.0
West Virginia,25638,1,34000.0,4,3,0.48,1960.0,34000.0,4.0,3.0,0.48,1960.0
West Virginia,25670,4,114000.0,3,2,0.17,1680.0,189500.0,3.0,2.0,0.37,1737.0
West Virginia,25702,34,60000.0,3,2,0.1,1298.0,72133.5,2.97,1.76,0.11,1363.56
West Virginia,25817,2,69000.0,3,2,0.96,1658.0,154000.0,3.5,2.0,1.86,1725.0
West Virginia,25849,1,35000.0,3,1,0.14,1469.0,35000.0,3.0,1.0,0.14,1469.0
West Virginia,25865,1,75000.0,3,2,1.34,1216.0,75000.0,3.0,2.0,1.34,1216.0
West Virginia,25870,1,59971.0,3,1,0.3,1638.0,59971.0,3.0,1.0,0.3,1638.0
West Virginia,25879,1,69900.0,2,1,1.0,912.0,69900.0,2.0,1.0,1.0,912.0
West Virginia,25918,7,189999.0,3,2,0.64,1759.0,222742.71,3.57,2.43,0.64,1955.43
West Virginia,25962,2,67000.0,3,1,0.11,960.0,471000.0,8.0,6.0,8.04,5478.0
West Virginia,25969,2,185000.0,3,2,1.0,2322.0,220000.0,4.0,2.5,3.71,2354.0
West Virginia,26050,5,63500.0,3,2,0.13,1220.0,72360.0,3.0,1.6,0.13,1556.6
West Virginia,26074,1,49900.0,2,1,0.26,1023.0,49900.0,2.0,1.0,0.26,1023.0
West Virginia,26142,3,198500.0,3,2,0.64,1926.0,187800.0,3.0,2.0,0.52,2338.0
West Virginia,26150,10,225000.0,3,2,0.74,1760.0,243597.9,3.0,2.6,0.84,1945.9
West Virginia,26178,2,270000.0,2,1,21.05,900.0,329500.0,2.5,1.5,73.03,1840.0
West Virginia,26187,21,195000.0,3,2,0.21,1660.0,247804.76,3.33,2.19,0.24,2029.62
West Virginia,26206,4,75000.0,3,2,0.34,1600.0,97750.0,3.0,2.25,2.28,1837.5
