state,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Utah,7817,570997.0,4,3,0.17,2402.0,780533.29,3.68,2.94,0.37,2653.42
Hawaii,3281,825000.0,3,2,0.44,1296.0,1246148.97,2.78,2.25,2.26,1547.74
Minnesota,26362,329000.0,3,2,0.22,2068.0,379074.34,3.28,2.33,0.7,2239.0
Ohio,31226,170000.0,3,2,0.2,1619.0,212958.07,3.19,2.08,0.49,1796.0
Arkansas,8459,245000.0,3,2,0.29,1743.0,276112.55,3.22,2.23,1.82,1881.44
Oregon,16804,499950.0,3,2,0.16,1720.0,559164.36,3.2,2.3,6.36,1852.25
Texas,115246,327000.0,3,2,0.18,1951.0,398990.27,3.38,2.58,0.91,2100.48
North Dakota,1953,275000.0,3,2,0.19,2044.0,295668.04,3.41,2.35,0.79,2152.3
Pennsylvania,40898,249900.0,3,2,0.17,1635.0,304601.92,3.26,2.22,0.6,1833.9
Connecticut,7706,384900.0,3,2,0.37,1832.0,684636.91,3.63,2.69,2.31,2187.18
Vermont,996,339000.0,3,2,1.0,1953.0,467338.0,3.4,2.4,5.54,2173.2
Nebraska,3414,250000.0,3,2,0.2,1850.0,299108.75,3.32,2.41,2.65,2044.99
Nevada,8197,485000.0,3,2,0.16,1772.0,634311.44,3.25,2.55,0.39,1972.14
Puerto Rico,1332,155000.0,3,2,0.1,1460.0,482924.27,3.55,2.4,0.26,1820.9
Washington,37485,550000.0,3,2,0.18,1825.0,679699.17,3.3,2.35,0.49,1961.67
Illinois,36852,264000.0,3,2,0.19,1680.0,330146.02,3.21,2.37,0.36,1907.02
Oklahoma,19853,215000.0,3,2,0.21,1666.0,249967.97,3.17,2.18,1.12,1807.66
District of Columbia,2449,879900.0,3,3,0.04,1898.0,1084789.82,3.51,3.12,0.06,2141.28
Delaware,4838,350000.0,3,3,0.21,1950.0,406629.33,3.32,2.53,0.29,2078.87
Alaska,648,429900.0,3,3,0.46,1934.0,471401.38,3.59,2.58,2.42,2103.1
New Mexico,9102,294000.0,3,2,0.18,1726.0,367385.58,3.14,2.29,1.53,1924.52
West Virginia,5332,195000.0,3,2,0.27,1687.0,226240.15,3.15,2.26,2.4,1831.94
Missouri,23957,225000.0,3,2,0.22,1596.0,269205.37,3.1,2.27,1.07,1798.24
Rhode Island,5295,365000.0,3,2,0.18,1530.0,451631.33,3.52,2.14,0.38,1905.73
Georgia,40231,324900.0,3,3,0.32,1927.0,379586.62,3.45,2.69,0.64,2119.94
Montana,3918,450000.0,3,2,0.26,1920.0,656826.26,3.24,2.28,24.75,2074.89
Virgin Islands,101,1295000.0,4,4,0.61,4000.0,1771756.89,4.0,3.8,0.75,4255.5
Virginia,35942,410000.0,3,3,0.25,1976.0,497994.95,3.46,2.9,0.89,2207.7
Michigan,16976,199900.0,3,2,0.26,1512.0,277503.59,3.18,2.06,1.13,1710.3
Guam,92,595000.0,4,3,0.23,1877.0,662842.25,3.82,2.89,0.24,2099.28
North Carolina,29267,330000.0,3,2,0.32,1786.0,393703.23,3.23,2.58,0.64,1942.39
Wyoming,1395,355000.0,3,2,0.22,2112.0,612292.47,3.36,2.38,5.26,2283.17
Kansas,8833,199000.0,3,2,0.23,1806.0,271119.73,3.36,2.37,1.08,2001.11
New Jersey,15911,379900.0,3,2,0.18,1730.0,506452.37,3.42,2.45,0.95,2068.72
Maryland,27609,395000.0,3,3,0.18,1880.0,455278.45,3.49,2.85,0.42,2089.33
Alabama,11287,249900.0,3,2,0.37,1812.0,291321.9,3.31,2.38,1.09,2002.95
Arizona,42567,420000.0,3,2,0.16,1702.0,509942.8,3.11,2.32,0.32,1847.36
Iowa,13090,199900.0,3,2,0.2,1438.0,231114.97,3.13,2.16,0.46,1526.32
Massachusetts,23226,519000.0,3,2,0.25,1768.0,671566.38,3.49,2.27,0.55,1973.87
Kentucky,11798,219900.0,3,2,0.26,1627.0,248182.18,3.15,2.18,1.17,1802.22
Louisiana,11119,245000.0,3,2,0.2,1780.0,282148.79,3.27,2.26,0.56,1893.83
Mississippi,5703,225000.0,3,2,0.4,1856.0,252169.74,3.31,2.35,1.24,1996.03
New Hampshire,1310,429900.0,3,2,0.81,1940.0,554607.91,3.21,2.34,2.67,2134.29
Tennessee,13799,325500.0,3,2,0.38,1782.0,422205.35,3.14,2.43,1.23,1969.95
Florida,96697,375000.0,3,2,0.19,1676.0,567349.52,3.17,2.39,0.35,1818.7
Indiana,9149,239900.0,3,2,0.22,1800.0,280713.3,3.15,2.22,0.7,2039.5
Idaho,9633,500000.0,3,2,0.19,1979.0,601245.25,3.42,2.5,1.62,2085.07
South Carolina,13975,328230.0,3,3,0.24,1888.0,435220.63,3.38,2.63,0.69,2038.06
South Dakota,1735,310000.0,3,2,0.23,1824.0,382029.2,3.36,2.27,6.91,1969.61
California,136276,710000.0,3,2,0.16,1632.0,987338.84,3.22,2.42,0.63,1803.39
New York,39781,299900.0,3,2,0.21,1676.0,610697.56,3.44,2.3,1.01,1888.75
Wisconsin,14390,255000.0,3,2,0.26,1725.0,294558.55,3.21,2.11,1.11,1843.73
Maine,1752,325000.0,3,2,0.89,1665.0,450452.52,3.24,2.12,11.33,1883.28
Colorado,15941,558000.0,3,3,0.17,2289.0,791889.9,3.43,2.78,6.08,2483.96
