state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Arizona,85003,99,595000.0,2,2,0.05,1498.0,621262.62,2.35,2.15,0.09,1508.31
Arizona,85004,29,515000.0,2,2,0.02,1398.0,543196.1,2.0,2.17,0.06,1439.69
Arizona,85015,238,375000.0,3,2,0.16,1493.0,381173.9,2.84,2.16,0.12,1457.08
Arizona,85022,252,429500.0,3,2,0.14,1489.0,444732.33,2.83,2.16,0.15,1597.86
Arizona,85031,60,367000.0,4,2,0.16,1565.0,360498.28,3.67,2.0,0.16,1553.12
Arizona,85032,207,465000.0,3,2,0.16,1424.0,472518.8,3.04,2.0,0.15,1508.3
Arizona,85045,43,642000.0,4,3,0.13,2682.0,661181.4,3.88,3.0,0.14,2564.7
Arizona,85128,316,299900.0,4,2,0.14,1768.0,294037.38,3.68,2.28,0.14,1670.46
Arizona,85132,371,362500.0,3,2,0.14,1777.0,372035.13,3.25,2.34,0.15,1820.59
Arizona,85142,601,550590.0,4,3,0.16,2294.0,597486.65,3.7,2.69,0.17,2356.08
Arizona,85251,339,610000.0,2,2,0.03,1428.0,753558.77,2.38,2.16,0.07,1516.29
Arizona,85254,319,725000.0,3,3,0.18,2143.0,805697.08,3.35,2.65,0.17,2151.98
Arizona,85307,55,425000.0,3,2,0.15,1725.0,437878.91,3.49,2.31,0.15,1769.85
Arizona,85323,153,420000.0,3,2,0.14,1737.0,423886.82,3.5,2.33,0.14,1796.01
Arizona,85339,279,455000.0,4,3,0.14,1953.0,461200.88,3.72,2.57,0.14,2091.36
Arizona,85347,1,289000.0,3,2,27.13,1800.0,289000.0,3.0,2.0,27.13,1800.0
Arizona,85374,359,398000.0,2,2,0.15,1479.0,404389.22,2.36,2.0,0.14,1509.86
Arizona,85544,29,449000.0,2,2,0.34,1306.0,472152.59,2.48,2.0,0.37,1337.1
Arizona,85607,25,165000.0,3,2,0.18,1259.0,163164.0,2.96,2.0,0.23,1433.92
Arizona,85648,91,265000.0,3,2,0.48,1587.0,266412.03,3.0,2.0,0.55,1635.29
Arizona,85650,62,305000.0,3,2,0.19,1746.0,293914.58,2.92,2.0,0.49,1757.63
Arizona,85713,232,229500.0,3,2,0.15,1300.0,232465.96,2.73,2.0,0.14,1296.32
Arizona,85748,167,335000.0,3,2,0.15,1692.0,344413.71,3.25,2.2,0.15,1764.09
Arizona,85928,9,650000.0,3,3,1.2,2300.0,569400.0,3.0,2.56,2.45,2021.44
Arizona,85931,9,625000.0,2,2,1.04,1536.0,553283.33,2.0,1.78,1.07,1303.33
Arizona,85934,8,540000.0,3,3,0.48,2016.0,833587.5,3.63,2.75,3.21,2661.38
Arizona,86301,254,499000.0,3,2,0.19,1700.0,552013.57,2.77,2.32,0.22,1802.52
Arizona,86334,41,369000.0,3,2,2.22,1541.0,346363.39,3.2,2.0,2.65,1633.0
Arizona,85021,153,499000.0,3,2,0.17,1763.0,642825.11,3.25,2.44,0.19,1969.92
Arizona,85051,80,369000.0,3,2,0.17,1531.0,372298.63,3.0,2.0,0.17,1518.65
Arizona,85083,34,565000.0,4,2,0.17,2113.0,611364.65,3.68,2.65,0.18,2413.76
Arizona,85087,50,680000.0,4,2,1.16,2214.0,670183.48,3.62,2.5,1.0,2247.96
Arizona,85119,92,430000.0,3,2,0.44,1681.0,458253.02,2.78,2.04,0.65,1662.45
Arizona,85210,80,400000.0,3,2,0.16,1404.0,400129.96,2.9,2.0,0.13,1410.65
Arizona,85212,261,599000.0,4,3,0.15,2261.0,617600.51,3.53,2.75,0.15,2277.21
Arizona,85213,115,528999.0,3,2,0.2,1985.0,509636.54,3.3,2.29,0.18,1911.54
Arizona,85215,149,449900.0,3,2,0.12,1662.0,444130.93,2.76,2.21,0.13,1690.33
Arizona,85250,174,600000.0,3,2,0.08,1625.0,680872.94,2.7,2.2,0.1,1649.83
Arizona,85263,78,663900.0,3,2,0.36,2044.0,777840.47,2.73,2.5,0.48,2158.6
Arizona,85304,109,425000.0,3,2,0.18,1616.0,421251.56,3.3,2.0,0.19,1596.64
Arizona,85350,29,250000.0,3,2,0.14,1312.0,254592.31,3.45,2.0,0.15,1391.79
Arizona,85363,35,340000.0,3,2,0.13,1250.0,347685.71,2.97,2.03,0.13,1476.74
Arizona,85364,184,249900.0,3,2,0.16,1443.0,255919.86,3.18,2.0,0.17,1480.96
Arizona,85536,3,279900.0,3,2,3.23,1196.0,206633.33,3.0,1.67,4.74,1333.33
Arizona,85539,16,111900.0,2,1,0.14,1008.0,140587.38,2.31,1.44,0.14,1119.0
Arizona,85541,137,440000.0,3,2,0.24,1685.0,530184.31,3.0,2.36,0.3,1808.76
Arizona,85546,30,239900.0,3,2,0.21,1644.0,242536.67,3.47,2.0,0.39,1699.27
Arizona,85552,7,375000.0,4,2,0.18,2095.0,338300.0,4.29,2.43,0.18,2048.57
Arizona,85601,9,199000.0,3,2,4.29,2098.0,294088.89,2.22,2.22,4.47,1738.67
Arizona,85611,11,795000.0,3,2,9.24,2434.0,672181.82,3.09,2.45,10.28,2548.0
Arizona,85620,1,259900.0,4,2,0.77,2820.0,259900.0,4.0,2.0,0.77,2820.0
Arizona,85625,13,173000.0,2,2,0.26,1435.0,165984.62,2.38,2.0,0.7,1397.31
Arizona,85635,170,225000.0,3,2,0.16,1556.0,232936.97,3.14,2.0,0.16,1557.48
Arizona,85701,39,495000.0,3,2,0.08,1644.0,537596.69,2.56,2.28,0.09,1644.77
Arizona,85730,295,280000.0,3,2,0.17,1400.0,281628.27,3.27,2.0,0.16,1456.56
Arizona,85747,363,359000.0,3,2,0.14,1789.0,364872.58,3.37,2.34,0.14,1861.4
Arizona,85750,307,515000.0,3,2,0.17,1947.0,567168.34,2.78,2.3,0.29,1976.87
Arizona,85925,9,435900.0,4,2,0.83,2224.0,417644.44,3.67,2.22,0.78,2207.56
Arizona,86040,46,375000.0,3,2,0.18,1587.0,336267.35,3.11,2.28,0.17,1674.78
Arizona,86046,68,379000.0,3,2,1.01,1440.0,468588.5,2.82,2.04,0.93,1595.1
Arizona,86336,71,850000.0,3,2,0.23,1717.0,1030878.46,2.72,2.46,0.27,2027.28
Arizona,86406,244,535000.0,3,2,0.26,1656.0,569735.32,3.0,2.24,0.27,1694.23
Arizona,85007,68,420000.0,3,2,0.16,1451.0,488689.68,3.07,1.94,0.17,1530.56
Arizona,85019,77,350000.0,3,2,0.16,1506.0,354327.06,3.36,2.0,0.16,1517.83
Arizona,85028,100,675000.0,3,2,0.22,1926.0,680167.22,3.14,2.27,0.2,1984.92
Arizona,85034,20,347500.0,2,2,0.09,1259.0,389569.85,2.65,2.0,0.09,1349.8
Arizona,85044,292,450000.0,3,2,0.14,1570.0,455515.92,2.88,2.2,0.13,1597.09
Arizona,85138,991,394000.0,3,2,0.14,1912.0,401685.05,3.46,2.4,0.15,1964.91
Arizona,85224,245,455000.0,3,2,0.15,1541.0,461514.56,3.04,2.22,0.13,1564.69
Arizona,85266,108,1490000.0,4,4,0.72,3470.0,1725038.93,3.8,3.84,0.78,3574.18
Arizona,85284,88,625000.0,4,3,0.18,2100.0,646685.23,3.53,2.53,0.18,2254.06
Arizona,85298,226,640000.0,3,3,0.17,2172.0,675680.75,3.4,2.69,0.18,2371.27
Arizona,85306,59,413000.0,3,2,0.18,1424.0,411759.25,3.0,2.0,0.17,1463.97
Arizona,85331,196,825000.0,4,3,0.23,2513.0,1007596.81,3.63,3.04,0.46,2691.51
Arizona,85340,230,526990.0,4,3,0.17,2272.0,571934.83,3.63,2.73,0.19,2377.48
Arizona,85361,54,545000.0,4,2,1.04,2140.0,567250.7,3.61,2.57,1.11,2155.22
Arizona,85365,205,250000.0,3,2,0.15,1387.0,257103.36,2.93,2.0,0.15,1440.97
Arizona,85545,5,380000.0,3,2,0.47,1344.0,353400.0,3.0,2.0,0.4,1453.2
Arizona,85610,7,190500.0,3,2,9.23,1680.0,206757.14,2.86,2.0,10.88,1838.57
Arizona,85621,58,220000.0,3,2,0.19,1525.0,245881.02,3.0,2.21,0.28,1932.91
Arizona,85623,60,485000.0,2,2,0.21,1915.0,491323.33,2.28,2.37,0.41,1833.75
Arizona,85636,1,150000.0,3,2,1.71,1682.0,150000.0,3.0,2.0,1.71,1682.0
Arizona,85645,5,230000.0,3,2,1.11,1951.0,358390.0,3.0,2.2,3.98,2032.2
Arizona,85706,118,249000.0,3,2,0.14,1308.0,240632.16,3.0,2.0,0.15,1328.36
Arizona,85711,186,300000.0,3,2,0.19,1497.0,306993.29,3.17,2.0,0.2,1526.94
Arizona,85716,282,289000.0,3,2,0.17,1324.0,321745.0,2.66,1.88,0.15,1384.96
Arizona,85920,12,399000.0,3,2,0.45,1400.0,680433.33,2.58,2.17,0.6,1668.58
Arizona,85927,7,695000.0,3,2,1.0,2800.0,1067000.0,3.29,2.14,1.06,3472.86
Arizona,85939,11,374900.0,3,2,0.35,1680.0,399963.64,3.36,2.36,0.81,1919.55
Arizona,86001,93,675000.0,3,3,0.13,1833.0,650798.31,3.18,2.7,0.13,1884.57
Arizona,86005,94,710000.0,3,3,0.17,2048.0,1059665.46,3.4,2.82,0.25,2247.03
Arizona,86323,77,359900.0,3,2,0.23,1456.0,372882.73,3.0,2.0,0.75,1502.29
Arizona,86335,21,430000.0,3,2,0.43,1716.0,424567.1,3.0,2.0,0.48,1765.62
Arizona,86337,30,269000.0,2,2,4.97,1216.0,245377.33,2.33,1.6,16.94,1275.87
Arizona,86411,2,165000.0,1,1,36.39,712.0,216250.0,2.0,1.5,37.2,1140.0
Arizona,85017,76,340000.0,3,2,0.15,1446.0,337851.96,3.36,2.0,0.16,1476.12
Arizona,85043,106,389000.0,3,2,0.13,1573.0,391882.75,3.32,2.48,0.12,1682.33
Arizona,85053,112,389900.0,3,2,0.18,1570.0,398159.1,3.26,2.0,0.17,1587.29
Arizona,85118,143,525000.0,3,2,0.17,2039.0,653457.6,3.03,2.5,0.21,2185.45
Arizona,85123,200,259900.0,3,2,0.18,1330.0,263203.61,3.23,2.0,0.19,1353.13
Arizona,85173,23,153000.0,3,2,0.14,1248.0,198426.04,2.57,1.52,0.14,1217.17
Arizona,85201,90,350000.0,3,2,0.14,1343.0,369363.39,2.89,2.0,0.12,1408.59
Arizona,85262,373,1422612.0,4,4,0.98,3304.0,2014029.76,3.64,3.82,0.83,3629.22
Arizona,85295,260,560000.0,3,3,0.12,2097.0,595366.63,3.51,2.8,0.13,2217.16
Arizona,85305,44,480000.0,4,3,0.16,2088.0,507220.82,3.77,2.66,0.16,2340.09
Arizona,85332,18,299900.0,3,2,0.5,1565.0,342232.78,2.44,2.0,1.25,1650.28
Arizona,85334,3,174900.0,2,2,0.91,872.0,139600.0,3.0,2.33,0.72,914.67
Arizona,85345,235,377000.0,3,2,0.14,1344.0,361445.83,2.87,2.0,0.14,1404.67
Arizona,85356,36,262500.0,3,2,0.18,1440.0,253935.25,3.19,2.0,0.19,1477.81
Arizona,85377,36,800000.0,3,3,0.08,2283.0,1158938.78,2.83,3.19,0.4,2639.06
Arizona,85383,399,624000.0,4,3,0.16,2302.0,664077.5,3.49,2.83,0.17,2406.88
