state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Colorado,18223,1,790000.0,5,3,38.97,4550.0,790000.0,5.0,3.0,38.97,4550.0
Colorado,80019,21,623500.0,3,3,0.08,3048.0,619637.38,3.1,3.0,0.08,2893.05
Colorado,80026,114,689000.0,3,3,0.16,2202.0,809855.84,3.4,2.96,0.15,2538.18
Colorado,80120,38,649999.0,3,3,0.21,2167.0,676625.97,3.55,2.76,0.2,2282.26
Colorado,80218,19,1300000.0,4,4,0.11,3562.0,1670515.74,4.26,4.37,0.12,4172.0
Colorado,80224,28,730500.0,4,3,0.17,2258.0,750476.79,3.68,2.79,0.18,2347.82
Colorado,80227,29,675000.0,4,3,0.21,2716.0,716855.14,4.03,3.14,0.22,2857.86
Colorado,80249,61,520000.0,3,3,0.11,1988.0,522887.16,3.08,3.0,0.11,2135.69
Colorado,80301,64,879000.0,3,3,0.21,2407.0,1045764.06,3.53,3.03,0.34,2523.64
Colorado,80305,45,995000.0,4,2,0.17,2080.0,1103055.56,3.67,2.38,0.17,2025.42
Colorado,80401,80,800000.0,4,3,0.28,2521.0,1047829.98,3.73,3.03,0.53,2951.84
Colorado,80422,17,625000.0,3,2,1.21,1650.0,620347.0,2.76,2.18,2.5,1844.71
Colorado,80435,35,999000.0,3,2,1.53,1338.0,1126251.43,2.54,2.46,1.3,1399.91
Colorado,80446,52,705000.0,4,4,0.14,2188.0,911714.81,3.6,3.42,0.18,2301.87
Colorado,80498,36,1975000.0,4,4,0.2,3040.0,2063972.22,4.0,4.36,0.2,2954.33
Colorado,80512,9,1200000.0,3,3,12.47,2976.0,1414333.33,2.89,2.44,46.44,2636.56
Colorado,80514,33,415000.0,3,2,0.15,1589.0,420812.82,3.21,2.3,0.15,1907.91
Colorado,80535,1,1395000.0,3,3,40.0,3053.0,1395000.0,3.0,3.0,40.0,3053.0
Colorado,80547,107,625000.0,3,3,0.14,3045.0,699463.36,3.58,3.28,0.15,3145.0
Colorado,80602,122,675000.0,3,3,0.16,3574.0,677254.69,3.47,3.21,0.16,3461.94
Colorado,80634,473,445500.0,3,3,0.15,2453.0,437578.32,3.44,2.66,0.15,2482.95
Colorado,80731,11,305000.0,4,2,0.27,2332.0,299636.36,3.73,2.27,0.27,2232.64
Colorado,80737,14,85000.0,2,1,0.16,1146.0,113857.0,2.29,1.43,0.19,1399.79
Colorado,80757,1,1149000.0,3,3,400.0,2599.0,1149000.0,3.0,3.0,400.0,2599.0
Colorado,80820,4,750000.0,3,3,41.6,2537.0,1068500.0,3.0,3.25,87.99,2980.0
Colorado,80860,3,2490000.0,5,5,256.52,4320.0,1755000.0,4.33,4.0,171.04,3388.0
Colorado,80911,49,400000.0,3,2,0.17,1874.0,402820.78,3.49,2.31,0.17,1886.84
Colorado,80916,39,374900.0,3,2,0.14,1501.0,357568.18,3.05,2.36,0.12,1522.97
Colorado,81040,3,215000.0,3,1,0.89,1766.0,243300.0,2.33,1.0,12.26,1513.33
Colorado,81125,2,160000.0,3,1,0.5,1408.0,470000.0,3.5,2.0,3.27,1710.5
Colorado,81141,2,130000.0,3,1,0.7,1107.0,1940000.0,4.5,2.5,216.85,2887.5
Colorado,81149,7,360000.0,2,2,0.88,1232.0,367285.71,2.43,1.86,69.57,1458.57
Colorado,81151,2,120000.0,2,2,0.32,1200.0,139500.0,3.5,2.0,0.42,1796.0
Colorado,81611,37,12900000.0,5,6,0.36,4736.0,13769135.14,4.62,5.59,0.83,4797.84
Colorado,81646,2,465000.0,2,1,5.0,844.0,1480000.0,2.5,2.0,175.25,1946.0
Colorado,81658,1,2595000.0,2,2,0.02,904.0,2595000.0,2.0,2.0,0.02,904.0
Colorado,80003,76,584900.0,4,3,0.17,2054.0,578507.8,3.46,2.71,0.15,2068.17
Colorado,80004,54,630000.0,4,2,0.18,2408.0,643513.31,3.78,2.56,0.19,2407.2
Colorado,80007,49,869000.0,3,4,0.18,4272.0,918330.59,3.67,3.51,0.2,4067.06
Colorado,80031,73,550000.0,3,3,0.14,2290.0,569337.56,3.21,2.7,0.13,2245.15
Colorado,80105,13,287200.0,2,2,0.02,1218.0,313500.0,2.38,2.0,0.13,1746.15
Colorado,80106,18,918000.0,4,4,5.07,3564.0,1072555.56,4.39,3.89,20.61,3469.44
Colorado,80109,76,710000.0,4,3,0.13,3559.0,740364.16,3.78,3.5,0.14,3404.41
Colorado,80118,15,990000.0,4,4,1.14,5000.0,1269845.87,4.4,4.2,3.47,4695.4
Colorado,80125,84,919828.0,4,4,0.16,3802.0,1148959.88,3.85,3.87,0.2,3788.33
Colorado,80210,85,900000.0,4,3,0.14,2400.0,1352943.53,3.87,3.32,0.14,3062.91
Colorado,80220,53,750000.0,3,2,0.14,1832.0,854273.4,3.25,2.34,0.15,2012.23
Colorado,80238,81,790000.0,4,4,0.08,2775.0,845226.27,3.53,3.72,0.08,2898.28
Colorado,80260,19,339000.0,3,2,0.07,1344.0,329167.05,2.74,2.0,0.1,1427.68
Colorado,80303,74,1100000.0,4,3,0.22,2486.0,1183985.14,3.78,2.73,0.37,2633.41
Colorado,80403,34,800000.0,3,2,0.23,2420.0,807799.85,3.53,2.62,0.33,2831.5
Colorado,80454,5,1099900.0,4,3,1.39,4440.0,1327780.0,3.8,3.0,4.69,3706.8
Colorado,80459,6,550000.0,3,2,0.14,1680.0,552666.67,3.5,2.17,0.27,1715.33
Colorado,80476,1,1200000.0,4,3,4.99,2245.0,1200000.0,4.0,3.0,4.99,2245.0
Colorado,80480,3,299000.0,4,3,0.22,3000.0,371000.0,4.0,2.67,3.81,2963.33
Colorado,80481,3,1022500.0,4,5,1.73,3161.0,1227500.0,3.33,3.67,18.26,3343.33
Colorado,80483,2,650000.0,3,2,0.24,1664.0,2250000.0,3.5,3.5,30.42,3146.0
Colorado,80532,3,560000.0,2,1,0.59,1417.0,506333.33,2.0,1.67,0.61,1401.67
Colorado,80540,27,799000.0,3,3,0.6,2182.0,831585.15,3.19,2.56,1.5,2369.0
Colorado,80543,95,455000.0,3,3,0.16,2815.0,462861.87,3.38,2.65,0.16,2725.32
Colorado,80545,6,424900.0,3,2,1.02,1540.0,472150.0,2.5,1.83,3.29,1662.33
Colorado,80550,565,495850.0,3,3,0.15,2888.0,545113.34,3.54,2.79,0.17,2904.37
Colorado,80622,3,255000.0,2,1,0.32,868.0,265000.0,2.0,1.0,0.34,821.33
Colorado,80651,20,515000.0,3,3,1.22,2181.0,639130.0,3.7,2.65,1.36,2881.2
Colorado,80705,3,325000.0,4,2,0.11,1800.0,320833.33,4.0,2.0,0.12,1876.0
Colorado,80729,6,195000.0,3,2,0.32,1548.0,221166.67,3.17,1.83,0.72,2048.0
Colorado,80734,13,227000.0,3,2,0.16,1665.0,233492.31,3.38,1.85,0.19,1726.46
Colorado,80735,1,315000.0,3,2,67.0,1920.0,315000.0,3.0,2.0,67.0,1920.0
Colorado,80744,2,140000.0,3,2,0.16,1922.0,140000.0,3.0,2.0,0.16,1922.0
Colorado,80808,26,475000.0,3,2,35.76,1832.0,614165.35,3.5,2.19,35.17,2012.23
Colorado,80810,6,110000.0,2,1,0.23,960.0,151666.67,2.83,1.83,0.33,1477.83
Colorado,80818,2,185000.0,2,1,0.24,1808.0,217500.0,2.5,1.5,0.37,1861.0
Colorado,80863,40,524900.0,3,2,0.42,2008.0,590987.5,3.05,2.48,0.49,2044.05
Colorado,80907,33,430000.0,3,2,0.17,1632.0,453654.52,3.39,2.06,0.14,1786.03
Colorado,80939,1,515000.0,4,3,0.13,2050.0,515000.0,4.0,3.0,0.13,2050.0
Colorado,81001,118,235000.0,3,2,0.15,1497.0,238376.27,3.09,1.87,0.16,1578.94
Colorado,81024,4,459000.0,2,3,39.04,2550.0,479000.0,2.5,2.75,46.14,3397.5
Colorado,81039,9,173000.0,2,1,0.2,1200.0,171255.56,2.78,1.56,0.3,1417.44
Colorado,81054,13,141000.0,2,1,0.24,1172.0,151092.31,2.31,1.15,0.54,1251.0
Colorado,81062,9,70000.0,3,2,0.21,1433.0,130710.56,3.11,1.78,2.38,1345.56
Colorado,81063,13,227000.0,3,2,0.19,1242.0,175523.08,2.31,1.69,0.51,1303.54
Colorado,81101,8,250000.0,3,2,0.25,1437.0,306625.0,3.0,2.0,1.56,1475.38
Colorado,81131,10,309000.0,2,2,0.5,1160.0,332140.0,2.4,1.7,0.87,1263.3
Colorado,81140,3,235000.0,3,1,0.25,1180.0,220000.0,3.0,1.33,53.47,1326.67
Colorado,81144,24,285000.0,3,2,0.34,2042.0,284183.33,3.38,2.29,1.5,1999.5
Colorado,81212,48,350000.0,3,2,0.24,1656.0,368254.08,3.0,2.0,0.37,1903.94
Colorado,81225,7,2495000.0,5,5,0.49,4562.0,2431285.71,4.71,5.71,0.43,3749.43
Colorado,81243,2,485000.0,3,1,75.0,1073.0,740000.0,3.5,1.0,92.5,2051.0
Colorado,81326,10,1650000.0,3,3,35.0,3933.0,3817800.0,3.9,3.9,69.03,4583.1
Colorado,81335,3,689900.0,3,1,80.23,1960.0,563300.0,3.0,1.33,108.56,2028.33
Colorado,81403,42,634900.0,3,2,0.5,2100.0,707377.38,3.5,2.74,1.5,2399.76
Colorado,81426,1,1495000.0,3,3,0.76,2816.0,1495000.0,3.0,3.0,0.76,2816.0
