state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Florida,32003,29,439900.0,3,3,0.26,2244.0,458800.0,3.66,2.83,0.35,2269.66
Florida,32052,16,159900.0,3,2,1.0,1741.0,179656.25,2.94,2.0,1.32,1709.25
Florida,32119,43,275000.0,3,2,0.18,1420.0,399204.19,2.81,2.0,0.18,1450.28
Florida,32159,220,294900.0,2,2,0.15,1405.0,305968.45,2.48,2.0,0.2,1465.11
Florida,32174,157,389910.0,3,2,0.21,1834.0,419901.78,3.04,2.29,0.22,1903.22
Florida,32179,93,229900.0,3,2,0.27,1331.0,222311.63,3.0,2.0,0.33,1389.55
Florida,32301,57,160000.0,2,2,0.14,1122.0,178009.65,2.39,2.07,0.19,1177.89
Florida,32321,8,109000.0,3,2,0.93,1248.0,133987.13,3.0,2.0,1.39,1464.88
Florida,32327,189,339900.0,4,2,0.42,1832.0,316064.34,3.46,2.29,0.84,1780.43
Florida,32428,36,210000.0,3,2,0.37,1556.0,222920.39,3.0,2.0,1.03,1593.06
Florida,32446,49,219500.0,3,2,0.55,1874.0,219524.37,3.1,2.08,0.79,1848.82
Florida,32501,53,375000.0,3,2,0.13,1633.0,458086.77,3.0,2.25,0.14,1701.64
Florida,32514,96,229000.0,3,2,0.21,1525.0,226535.82,3.0,2.0,0.23,1521.78
Florida,32561,97,574000.0,3,2,0.34,1494.0,741301.03,2.75,2.59,1.71,1677.54
Florida,32606,100,335050.0,3,2,0.23,1742.0,352034.0,3.3,2.38,0.28,1857.77
Florida,32680,34,189500.0,3,2,2.55,1318.0,219176.47,2.71,2.0,2.93,1385.62
Florida,32724,268,335490.0,3,2,0.17,1789.0,331235.18,3.31,2.21,0.2,1783.56
Florida,32757,283,379000.0,3,2,0.23,1879.0,394320.38,3.23,2.35,0.23,1979.69
Florida,32773,124,315000.0,3,2,0.17,1595.0,334301.47,3.24,2.41,0.17,1721.39
Florida,32779,127,550000.0,4,3,0.34,2564.0,703282.39,3.8,3.31,0.53,2959.35
Florida,32780,254,259000.0,3,2,0.17,1353.0,260589.84,2.85,2.0,0.16,1416.17
Florida,32812,125,329000.0,3,2,0.21,1398.0,320800.63,2.94,2.0,0.2,1435.9
Florida,32820,65,427999.0,4,3,0.26,2224.0,449793.08,3.63,2.51,0.69,2129.14
Florida,32827,189,635000.0,3,3,0.14,2313.0,720479.74,3.59,3.3,0.15,2511.97
Florida,32837,271,383500.0,3,2,0.17,1684.0,417093.18,3.25,2.36,0.18,1793.54
Florida,32927,127,279900.0,3,2,0.23,1352.0,284412.91,3.0,2.0,0.24,1398.93
Florida,32960,53,350000.0,3,2,0.23,1655.0,402810.19,3.06,2.15,0.24,1745.25
Florida,32962,59,329000.0,3,2,0.21,1500.0,362599.88,3.0,2.0,0.21,1523.25
Florida,32976,91,189900.0,2,2,0.11,1165.0,198146.92,2.22,2.0,0.13,1209.04
Florida,33004,33,550000.0,3,2,0.15,1480.0,534311.76,3.15,2.21,0.16,1547.48
Florida,33028,54,625000.0,4,3,0.18,2106.0,659088.61,3.61,2.76,0.17,2264.96
Florida,33033,267,399000.0,3,2,0.13,1642.0,409569.87,3.43,2.38,0.14,1751.37
Florida,33127,100,579000.0,3,2,0.13,1371.0,685620.97,3.08,1.91,0.14,1359.97
Florida,33129,33,1540000.0,4,3,0.17,2260.0,1824045.42,3.79,3.15,0.2,2409.88
Florida,33162,53,465000.0,3,2,0.16,1442.0,484342.77,3.25,2.0,0.16,1431.42
Florida,33167,39,400000.0,3,2,0.18,1288.0,370626.28,3.0,1.74,0.18,1319.9
Florida,33174,37,559000.0,4,2,0.14,1695.0,560000.0,3.54,2.43,0.14,1660.73
Florida,33187,78,595000.0,4,2,0.16,1850.0,544319.21,3.58,2.5,0.29,1984.95
Florida,33306,10,1150000.0,3,2,0.23,2216.0,1334700.0,3.3,2.7,0.23,2254.7
