state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Georgia,30002,65,572175.0,4,3,0.2,2599.0,535438.51,3.74,3.05,0.23,2432.32
Georgia,30005,146,585000.0,4,4,0.3,2956.0,640955.4,4.16,3.86,0.29,3220.81
Georgia,30017,118,406000.0,4,3,0.34,2507.0,430082.42,3.92,3.16,0.39,2594.42
Georgia,30054,40,260000.0,3,2,1.0,1708.0,289802.5,3.35,2.25,1.02,1880.2
Georgia,30060,138,344900.0,3,3,0.19,1600.0,373836.96,3.22,2.63,0.2,1819.46
Georgia,30067,169,290000.0,3,2,0.16,1427.0,330224.83,2.85,2.28,0.2,1681.98
Georgia,30088,103,241000.0,3,3,0.2,1764.0,254523.17,3.4,2.67,0.28,1832.77
Georgia,30125,65,209900.0,3,2,0.62,1638.0,216523.08,3.14,1.97,0.98,1742.83
Georgia,30127,236,346900.0,4,3,0.37,2229.0,383421.17,3.69,2.81,0.37,2311.63
Georgia,30139,14,279900.0,3,2,2.01,1664.0,364322.86,3.0,2.21,4.89,1680.14
Georgia,30141,99,310000.0,3,3,0.46,1817.0,331242.39,3.43,2.72,0.46,1902.43
Georgia,30144,64,389000.0,3,3,0.19,2236.0,381371.88,3.47,3.0,0.22,2223.25
Georgia,30173,25,259000.0,3,3,0.94,1852.0,262580.0,3.44,2.56,1.43,2030.2
Georgia,30215,181,390000.0,4,3,1.0,2526.0,421196.34,3.87,3.11,1.14,2715.04
Georgia,30252,279,399000.0,4,3,0.82,2714.0,397968.06,4.01,3.07,0.96,2700.12
Georgia,30281,278,299900.0,3,3,0.33,1904.0,308819.46,3.62,2.65,0.47,2083.65
Georgia,30290,32,399990.0,4,3,1.0,2305.0,443840.75,3.59,2.97,0.91,2649.72
Georgia,30324,200,470000.0,3,2,0.04,1625.0,540913.17,2.71,2.69,0.14,1863.11
Georgia,30326,45,475000.0,2,2,0.04,1567.0,719637.71,2.0,2.27,0.04,1771.64
Georgia,30338,126,589000.0,4,3,0.4,2510.0,608617.67,3.78,3.35,0.32,2652.21
Georgia,30345,96,550000.0,4,3,0.4,2400.0,578816.99,3.66,2.96,0.39,2411.77
Georgia,30460,1,79900.0,3,2,0.66,1497.0,79900.0,3.0,2.0,0.66,1497.0
Georgia,30511,4,195000.0,3,2,1.27,1737.0,316225.0,3.0,2.5,2.79,2046.5
Georgia,30513,143,599900.0,3,3,1.5,2240.0,694103.85,3.04,2.74,1.75,2214.87
Georgia,30519,177,399000.0,4,3,0.29,2428.0,444476.24,4.0,3.14,0.34,2617.35
Georgia,30520,13,239000.0,3,3,2.8,1549.0,250038.46,3.31,2.69,4.18,1691.54
Georgia,30530,23,329900.0,3,2,2.0,1800.0,302573.91,3.35,2.39,3.27,1850.0
Georgia,30540,131,425000.0,3,3,0.94,2000.0,438592.66,3.0,2.62,1.14,2058.76
Georgia,30555,8,349900.0,3,2,0.7,1512.0,382575.0,2.88,2.0,1.35,1685.75
Georgia,30557,15,350000.0,3,2,1.89,1664.0,290586.67,3.0,2.4,1.83,1749.2
Georgia,30558,27,260000.0,3,2,1.08,1706.0,269759.26,3.15,2.19,1.55,1735.93
Georgia,30607,29,295000.0,3,2,0.76,1935.0,314942.31,3.28,2.48,0.82,2014.59
