state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Idaho,83204,44,275000.0,3,2,0.19,1886.0,348398.39,4.09,2.39,0.2,2207.02
Idaho,83287,12,839900.0,5,4,0.3,3258.0,1014025.0,5.33,4.25,0.87,3867.5
Idaho,83347,3,575000.0,5,3,2.66,2930.0,904666.67,4.67,2.67,2.39,3383.33
Idaho,83406,20,799900.0,5,3,1.02,3900.0,743529.95,4.75,3.2,1.16,3839.4
Idaho,83452,6,2259000.0,4,4,3.59,4000.0,2226500.0,4.33,4.67,4.58,3893.0
Idaho,83522,3,299900.0,3,2,0.24,2120.0,5526633.33,2.67,1.67,0.31,1830.67
Idaho,83644,341,559299.0,3,3,0.22,2211.0,549602.75,3.48,2.62,0.24,2256.42
Idaho,83655,27,404900.0,3,2,0.88,1456.0,413737.0,2.93,1.81,1.52,1473.85
Idaho,83660,41,439900.0,3,2,0.46,1800.0,521415.44,3.41,2.15,1.71,1861.63
Idaho,83687,552,475990.0,3,2,0.17,1888.0,479149.25,3.51,2.44,0.17,1977.28
Idaho,83705,81,449900.0,3,2,0.14,1360.0,472814.2,2.77,1.91,0.14,1436.57
Idaho,83805,21,469000.0,3,2,2.59,1728.0,536023.81,3.05,2.0,3.53,2033.19
Idaho,83822,9,365400.0,3,2,0.17,1503.0,388916.11,3.0,2.0,0.41,1574.0
Idaho,83843,85,425000.0,3,3,0.19,1913.0,439240.0,3.47,2.66,0.18,2004.89
Idaho,83850,7,695000.0,3,2,0.73,2313.0,788984.86,3.29,2.29,9.18,2381.71
Idaho,83856,26,549000.0,3,2,0.46,1848.0,596563.46,3.23,2.0,4.51,1886.19
Idaho,83217,2,335000.0,3,1,50.0,1876.0,2167500.0,3.0,1.5,290.0,2243.0
Idaho,83232,2,324900.0,3,1,0.22,1816.0,512449.5,3.5,2.0,0.9,2243.0
Idaho,83241,7,440000.0,4,2,0.4,2630.0,666142.71,4.0,2.71,1.11,3224.57
Idaho,83316,51,379900.0,3,2,0.51,1952.0,485337.22,3.39,2.25,1.7,2102.08
Idaho,83328,41,320000.0,3,2,0.29,1539.0,425765.71,3.05,2.12,0.57,1817.88
Idaho,83336,25,225000.0,3,1,0.24,1242.0,268104.84,3.32,1.68,0.27,1702.84
Idaho,83340,17,4650000.0,4,4,0.19,3398.0,4396082.35,3.71,4.41,0.42,3400.0
Idaho,83404,23,587000.0,5,3,0.27,3368.0,579180.43,5.0,3.0,0.29,3251.3
Idaho,83442,21,558000.0,5,3,0.54,2940.0,582737.62,4.29,2.86,0.6,2886.71
Idaho,83444,4,495000.0,3,2,12.34,1436.0,1316250.0,3.0,2.5,36.58,2975.0
Idaho,83446,1,350000.0,2,1,0.89,1310.0,350000.0,2.0,1.0,0.89,1310.0
Idaho,83448,4,199900.0,2,1,0.04,860.0,249925.0,2.25,1.5,0.06,1077.5
Idaho,83547,3,550000.0,3,2,20.1,2057.0,474966.67,2.33,2.0,13.96,1904.67
Idaho,83549,12,350000.0,2,1,0.23,1274.0,441883.33,2.25,1.58,0.63,1494.58
Idaho,83602,2,330000.0,2,1,1.03,1315.0,489950.0,2.0,1.5,3.49,1545.5
Idaho,83645,2,375000.0,2,1,10.0,1636.0,562500.0,2.5,1.5,10.22,1646.0
Idaho,83650,5,530000.0,3,2,10.0,1784.0,1202000.0,3.0,2.0,410.4,1700.8
Idaho,83809,2,850000.0,2,2,10.0,1329.0,874500.0,2.5,2.0,15.0,1352.5
Idaho,83835,92,655000.0,3,3,0.25,2236.0,955452.99,3.54,2.7,0.33,2400.22
Idaho,83861,17,360000.0,3,2,0.79,1648.0,464488.18,3.29,1.76,2.47,1815.59
Idaho,83871,9,470000.0,3,2,2.18,2496.0,463555.56,3.0,2.22,2.07,2486.11
Idaho,83330,29,255000.0,3,1,0.26,1625.0,309493.1,2.9,1.55,0.67,1641.66
Idaho,83341,53,475000.0,4,2,0.24,2093.0,493138.89,3.98,2.32,0.49,2227.11
Idaho,83420,8,300000.0,3,1,0.93,1430.0,774487.5,3.0,2.0,1.49,2057.0
Idaho,83429,23,775000.0,3,3,0.68,2040.0,951639.13,3.26,2.61,0.86,2029.78
Idaho,83462,3,1120000.0,3,2,10.11,3089.0,1006166.67,3.0,2.33,41.7,2762.33
Idaho,83520,3,270000.0,2,1,2.2,1080.0,236633.33,2.0,1.0,2.1,1028.0
Idaho,83617,155,519900.0,3,2,0.25,1858.0,538184.29,3.22,2.16,1.16,1864.79
Idaho,83661,52,352000.0,3,2,0.23,1584.0,376378.85,3.06,2.1,0.4,1697.63
Idaho,83672,51,289500.0,3,2,0.21,1503.0,295002.35,3.06,1.61,0.24,1499.92
Idaho,83836,5,1450000.0,2,2,0.75,2608.0,1379800.0,2.2,2.0,0.87,2202.4
Idaho,83867,1,365000.0,5,2,0.15,2978.0,365000.0,5.0,2.0,0.15,2978.0
Idaho,83868,1,169900.0,3,1,0.09,1420.0,169900.0,3.0,1.0,0.09,1420.0
Idaho,83202,48,435000.0,3,2,0.2,2624.0,406460.42,3.81,2.38,0.2,2357.56
Idaho,83234,4,399000.0,4,1,0.36,2441.0,387475.0,4.0,1.5,3.4,2558.25
Idaho,83246,3,349000.0,4,2,0.23,1754.0,452633.33,3.67,1.67,1.79,1976.33
Idaho,83250,7,299000.0,3,2,0.45,2216.0,520142.86,3.0,2.0,17.39,2101.71
Idaho,83251,3,650000.0,3,3,5.0,3040.0,750000.0,3.67,3.0,5.16,2797.33
Idaho,83253,1,650000.0,2,1,30.48,1601.0,650000.0,2.0,1.0,30.48,1601.0
Idaho,83254,9,312000.0,4,3,0.52,3004.0,407111.11,4.0,2.56,0.63,2553.22
Idaho,83302,2,165000.0,1,1,3.0,1052.0,2190500.0,3.0,1.5,81.5,3010.0
Idaho,83314,5,199000.0,3,2,0.65,1664.0,353600.0,2.8,2.0,1.36,2383.2
Idaho,83324,2,230000.0,3,2,0.28,1144.0,322450.0,3.0,2.0,0.64,1336.0
Idaho,83427,2,452000.0,4,3,0.36,2355.0,608000.0,4.5,3.0,0.68,3034.0
Idaho,83466,3,980000.0,2,2,39.4,2860.0,958333.33,2.0,2.0,43.16,2720.0
Idaho,83467,15,365000.0,3,2,0.4,2007.0,354786.67,3.47,2.27,0.59,2047.8
Idaho,83536,25,295000.0,3,2,0.69,1516.0,401104.0,2.72,1.8,2.4,2018.92
Idaho,83537,5,349000.0,3,1,2.3,1861.0,353560.0,3.4,2.0,2.09,2046.8
Idaho,83607,325,449990.0,3,2,0.18,1888.0,500020.97,3.5,2.45,0.33,1995.22
Idaho,83616,374,899900.0,3,3,0.24,2717.0,954998.24,3.56,3.31,0.24,2761.68
Idaho,83623,15,175000.0,3,1,0.22,1188.0,186033.33,2.33,1.27,0.2,1345.8
