state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Iowa,50001,2,545000.0,3,2,4.91,1664.0,717500.0,4.0,3.5,12.33,2478.0
Iowa,50023,300,337990.0,4,3,0.2,1607.0,345112.42,3.54,3.0,0.18,1640.19
Iowa,50036,137,159900.0,3,2,0.2,1196.0,167071.53,2.69,1.74,0.2,1237.91
Iowa,50070,11,231000.0,3,2,0.36,1296.0,249072.73,2.55,1.73,0.41,1284.55
Iowa,50073,14,285000.0,4,3,0.2,1265.0,291828.57,3.57,2.57,0.21,1343.93
Iowa,50146,1,450000.0,3,3,10.0,1625.0,450000.0,3.0,3.0,10.0,1625.0
Iowa,50156,24,184900.0,3,2,0.2,1366.0,202475.67,2.79,1.83,0.24,1281.46
Iowa,50214,2,228500.0,2,2,0.31,1495.0,264000.0,2.5,2.5,1.17,1541.5
Iowa,50230,6,127500.0,2,2,0.26,1064.0,112333.33,2.17,2.0,0.26,1131.33
Iowa,50246,2,69900.0,2,1,0.27,858.0,78450.0,2.5,1.5,0.31,971.5
Iowa,50254,1,179900.0,3,1,0.38,1299.0,179900.0,3.0,1.0,0.38,1299.0
Iowa,50277,3,90000.0,2,1,0.26,800.0,126633.33,2.0,1.0,0.34,1232.0
Iowa,50278,3,120000.0,3,1,0.26,2120.0,110333.33,2.67,1.33,0.36,1849.67
Iowa,50446,2,79900.0,3,2,0.16,1200.0,164900.0,3.0,2.0,5.08,1251.0
Iowa,50449,3,114500.0,2,2,0.25,1056.0,101500.0,2.33,2.0,0.3,1188.33
Iowa,50465,2,75000.0,3,2,0.15,1350.0,75000.0,3.0,2.0,0.15,1350.0
Iowa,50542,1,119000.0,3,2,0.28,1040.0,119000.0,3.0,2.0,0.28,1040.0
Iowa,50574,3,157000.0,2,2,0.31,1600.0,136166.67,2.0,2.0,0.27,1779.67
Iowa,50581,3,79500.0,3,1,0.21,1323.0,62133.33,3.0,1.33,0.25,1523.67
Iowa,50585,5,110000.0,3,1,0.22,1624.0,104870.0,3.0,1.2,0.27,1669.2
Iowa,50632,5,159900.0,3,2,0.37,1380.0,158920.0,2.8,2.0,0.35,1465.2
Iowa,50665,13,225000.0,3,2,0.23,1430.0,244838.46,3.23,2.46,0.27,1615.46
Iowa,50666,1,55900.0,3,1,0.58,924.0,55900.0,3.0,1.0,0.58,924.0
Iowa,50851,12,121000.0,3,2,0.23,1312.0,128312.5,3.33,1.83,0.3,1532.08
Iowa,50860,2,25000.0,3,1,0.41,1152.0,262000.0,3.0,1.5,40.21,1196.0
Iowa,51003,8,155900.0,4,2,0.26,1885.0,173475.0,4.25,1.88,0.32,2301.5
Iowa,51005,1,219500.0,3,3,0.29,2304.0,219500.0,3.0,3.0,0.29,2304.0
Iowa,51031,17,275000.0,3,3,0.24,1998.0,290429.41,3.76,2.53,0.25,2261.29
Iowa,51060,2,79900.0,3,2,0.25,3052.0,99950.0,3.0,2.5,0.41,3060.5
Iowa,51063,3,139900.0,1,1,0.38,1038.0,119933.33,1.67,1.0,0.33,1072.0
Iowa,51235,1,339500.0,4,3,82.0,1864.0,339500.0,4.0,3.0,82.0,1864.0
Iowa,51240,3,209000.0,5,2,0.43,2118.0,275966.67,4.67,2.33,1.74,2261.0
Iowa,51354,4,238000.0,3,2,3.77,2352.0,400625.0,3.0,2.5,4.62,2834.5
Iowa,51433,3,125000.0,3,2,0.32,1396.0,199633.33,3.33,2.0,1.94,1575.67
Iowa,51446,3,69900.0,2,2,0.31,1191.0,88466.67,2.0,2.0,0.3,1225.0
Iowa,51452,1,125000.0,3,2,0.29,1290.0,125000.0,3.0,2.0,0.29,1290.0
Iowa,51454,4,70000.0,2,1,0.16,988.0,76000.0,2.75,1.5,0.16,1035.0
Iowa,51555,18,129000.0,3,2,0.27,1496.0,163255.56,3.06,1.89,0.52,1669.11
Iowa,51556,2,190000.0,2,1,0.29,858.0,214950.0,2.5,2.0,1.4,1643.0
Iowa,51572,1,198000.0,4,2,5.52,2060.0,198000.0,4.0,2.0,5.52,2060.0
Iowa,51578,2,77500.0,2,1,0.22,1319.0,105750.0,3.0,1.5,1.63,1649.0
Iowa,52040,3,139000.0,4,2,0.2,1681.0,381000.0,3.67,2.67,0.25,2565.67
Iowa,52045,1,217000.0,3,3,0.22,1484.0,217000.0,3.0,3.0,0.22,1484.0
Iowa,52142,3,295000.0,3,2,4.32,1728.0,224000.0,3.33,2.33,6.85,1807.33
Iowa,52165,2,139500.0,3,1,0.23,845.0,217000.0,3.0,2.0,0.36,1169.5
Iowa,52206,1,335000.0,4,3,0.26,2500.0,335000.0,4.0,3.0,0.26,2500.0
Iowa,52214,2,65000.0,2,1,0.22,936.0,107500.0,2.5,1.0,0.26,1066.5
Iowa,52220,1,149900.0,3,1,0.28,1016.0,149900.0,3.0,1.0,0.28,1016.0
Iowa,52246,70,345000.0,4,3,0.25,2427.0,384461.43,4.03,2.94,0.25,2532.27
Iowa,52251,2,129900.0,2,1,0.53,1110.0,144950.0,3.0,1.0,1.9,1120.5
Iowa,52306,5,145000.0,3,2,0.26,1440.0,141580.0,3.2,1.6,0.34,1453.6
Iowa,52318,3,75000.0,3,1,0.25,1236.0,79966.67,3.0,1.0,0.22,1256.33
Iowa,52404,89,185000.0,3,2,0.18,1459.0,204741.24,3.18,2.11,0.19,1581.25
Iowa,52565,7,134900.0,3,2,0.34,1320.0,138085.71,3.0,2.0,0.37,1473.14
Iowa,52569,5,139900.0,3,2,0.32,1328.0,171770.0,3.0,1.8,0.42,1319.8
Iowa,52571,10,159500.0,3,2,0.28,1120.0,251880.0,3.0,1.9,1.03,1319.9
Iowa,52584,1,79900.0,2,1,0.69,1296.0,79900.0,2.0,1.0,0.69,1296.0
Iowa,52635,3,142500.0,3,1,1.61,1292.0,165800.0,3.0,1.33,1.9,1256.67
Iowa,52641,59,119900.0,3,2,0.23,1209.0,134048.64,2.76,1.61,0.26,1283.02
Iowa,52653,8,139900.0,3,2,0.22,1456.0,143575.0,3.0,2.0,0.26,1510.25
Iowa,52656,2,169900.0,3,2,0.23,1056.0,248950.0,3.5,2.5,0.58,1503.0
Iowa,52727,1,375000.0,3,1,5.84,1120.0,375000.0,3.0,1.0,5.84,1120.0
Iowa,52737,2,104500.0,3,1,0.34,902.0,114750.0,3.0,1.0,0.34,1179.0
Iowa,52753,29,350000.0,3,3,0.31,2012.0,362663.17,3.34,2.76,0.54,2453.21
Iowa,50002,3,352430.0,3,2,0.84,1413.0,289383.33,3.0,2.0,0.65,1346.33
Iowa,50034,2,375000.0,3,2,0.32,1550.0,387450.0,3.5,2.0,4.23,2035.0
Iowa,50061,20,599000.0,4,3,2.0,2180.0,611806.15,3.9,3.35,2.02,2449.05
Iowa,50066,2,120000.0,3,1,0.53,1120.0,185000.0,3.5,1.5,1.77,1376.0
Iowa,50111,119,395000.0,4,3,0.23,1599.0,409362.43,3.91,3.0,0.23,1604.56
Iowa,50116,2,7700.0,3,1,0.57,1362.0,903850.0,3.5,2.0,95.79,1451.5
Iowa,50134,3,205000.0,3,1,0.23,1008.0,168333.33,3.0,1.33,0.23,975.0
Iowa,50163,7,157900.0,2,1,0.16,1104.0,167542.86,2.43,1.43,0.3,1082.14
Iowa,50207,10,127900.0,3,1,0.19,1160.0,115820.0,3.3,1.5,0.2,1250.3
Iowa,50249,2,75000.0,3,1,0.32,1148.0,77000.0,3.0,1.0,0.32,1291.0
Iowa,50258,4,114900.0,2,1,0.22,1216.0,121150.0,2.25,1.0,0.29,1264.0
Iowa,50271,2,7700.0,2,1,0.17,975.0,33800.0,2.5,1.0,0.22,1399.5
Iowa,50272,3,159900.0,3,1,1.9,1216.0,174966.67,2.33,1.33,2.6,1469.33
Iowa,50310,281,187000.0,3,2,0.18,1038.0,191885.52,2.72,1.61,0.19,1100.64
Iowa,50312,93,235000.0,3,2,0.19,1300.0,283534.95,3.01,2.09,0.22,1476.7
Iowa,50316,93,150000.0,3,2,0.16,1077.0,149611.29,2.7,1.56,0.16,1128.66
Iowa,50327,100,291442.0,3,3,0.23,1426.0,299251.37,3.27,2.75,0.23,1476.5
Iowa,50423,24,74500.0,3,2,0.19,1344.0,105170.83,2.67,1.67,0.23,1299.71
Iowa,50438,15,185000.0,4,2,0.25,1414.0,202233.33,3.53,2.0,0.26,1408.53
Iowa,50450,10,115000.0,3,2,0.23,1402.0,128600.0,3.0,2.1,0.24,1393.5
Iowa,50453,4,59900.0,2,1,0.21,960.0,61175.0,2.0,1.0,0.23,1050.0
Iowa,50456,11,114900.0,3,2,0.19,1144.0,112118.18,3.0,1.73,0.19,1215.09
Iowa,50482,2,59900.0,2,1,0.1,936.0,99950.0,2.5,1.5,0.15,1090.0
Iowa,50515,3,16600.0,2,1,0.6,1088.0,93700.0,2.33,1.0,0.68,1252.0
