state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Kentucky,40071,37,369900.0,3,3,1.05,2127.0,361718.78,3.54,2.59,1.06,2270.19
Kentucky,40117,9,210000.0,3,2,1.97,1716.0,212944.44,3.0,2.44,2.75,1761.44
Kentucky,40145,3,198500.0,2,2,1.83,1632.0,415833.33,2.67,2.0,42.7,1849.33
Kentucky,40203,54,169900.0,3,2,0.08,1500.0,183332.41,3.06,2.13,0.11,1659.26
Kentucky,40220,38,260000.0,3,2,0.19,1633.0,271827.42,3.0,2.0,0.19,1752.76
Kentucky,40229,132,262900.0,3,2,0.2,1675.0,264281.34,3.36,2.13,0.21,1709.8
Kentucky,40242,14,349000.0,3,2,0.23,2015.0,327099.0,3.57,2.5,0.23,2304.29
Kentucky,40272,72,175000.0,3,2,0.22,1390.0,203936.11,3.25,1.76,0.23,1481.94
Kentucky,40353,76,199900.0,3,2,0.32,1456.0,204371.05,3.0,2.0,0.46,1539.41
Kentucky,40361,55,179900.0,3,2,0.28,1539.0,222487.27,3.35,1.89,1.61,1768.71
Kentucky,40379,12,240625.0,3,2,0.24,1446.0,257332.08,3.0,2.0,1.74,1471.25
Kentucky,40456,17,179900.0,3,2,1.0,1262.0,176794.06,3.0,1.71,1.79,1349.94
Kentucky,40464,3,40000.0,3,1,0.47,1184.0,98333.33,2.67,1.33,4.57,1277.33
Kentucky,40484,24,194900.0,3,2,0.5,1425.0,220845.83,3.0,2.0,1.67,1561.92
Kentucky,40740,10,194900.0,3,2,0.51,1586.0,218160.0,3.0,2.2,0.6,1554.3
Kentucky,40813,2,84900.0,3,1,2.0,1056.0,96950.0,3.0,1.5,2.0,1609.0
Kentucky,40856,3,135000.0,3,2,1.7,1036.0,120000.0,2.67,1.67,1.83,1007.33
Kentucky,40935,7,119000.0,3,1,1.12,1344.0,127928.57,2.71,1.43,8.74,1371.14
