state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Louisiana,70003,90,275000.0,3,2,0.14,1635.0,284238.78,3.31,2.04,0.14,1702.52
Louisiana,70006,38,374900.0,3,2,0.15,1902.0,398413.11,3.39,2.42,0.16,2074.95
Louisiana,70078,1,139900.0,3,2,0.23,1105.0,139900.0,3.0,2.0,0.23,1105.0
Louisiana,70118,105,405000.0,3,2,0.08,1768.0,496547.52,3.28,2.44,0.09,1883.35
Louisiana,70119,154,395000.0,4,2,0.08,1850.0,413135.66,3.9,2.59,0.08,1957.74
Louisiana,70122,127,314000.0,3,2,0.13,1745.0,328468.48,3.31,2.35,0.13,1808.02
Louisiana,70131,59,229000.0,3,2,0.15,1980.0,245844.07,3.46,2.36,0.15,1994.17
Louisiana,70345,12,179000.0,3,3,0.3,2227.0,186741.67,2.58,2.33,0.4,2601.58
Louisiana,70436,1,335000.0,3,2,10.85,1402.0,335000.0,3.0,2.0,10.85,1402.0
Louisiana,70437,29,415000.0,3,3,5.01,2198.0,483379.31,3.48,2.66,8.06,2353.38
Louisiana,70444,10,225000.0,3,2,1.33,2212.0,236429.9,3.5,2.3,3.44,1976.3
Louisiana,70460,41,192800.0,3,2,0.19,1400.0,190943.9,3.07,2.0,0.24,1500.85
Louisiana,70508,86,307500.0,4,2,0.17,2092.0,340867.22,3.53,2.52,0.19,2111.1
Louisiana,70526,15,167500.0,3,2,0.23,1512.0,152986.67,3.0,2.0,0.28,1672.4
Louisiana,70529,32,225000.0,3,2,0.14,1629.0,226864.69,3.34,2.0,0.14,1676.69
Louisiana,70542,7,207500.0,3,2,0.67,2064.0,189642.86,2.71,2.14,0.58,1839.29
Louisiana,70551,1,188700.0,3,2,0.41,1873.0,188700.0,3.0,2.0,0.41,1873.0
Louisiana,70650,2,157000.0,3,2,0.34,1216.0,311000.0,3.5,3.0,2.57,2578.5
Louisiana,70657,27,200000.0,3,2,1.0,1835.0,213876.96,3.41,2.26,2.07,1770.78
Louisiana,70665,50,228500.0,3,2,0.39,1850.0,220855.54,3.34,2.16,0.59,1840.64
Louisiana,70774,15,325000.0,3,3,0.54,2048.0,427922.33,3.27,2.87,1.0,2239.47
Louisiana,70791,109,275370.0,4,2,0.22,2070.0,309267.37,3.6,2.54,0.29,2035.2
Louisiana,71029,1,345000.0,3,2,2.5,2867.0,345000.0,3.0,2.0,2.5,2867.0
Louisiana,71039,2,139900.0,3,2,4.43,1632.0,412450.0,3.0,2.5,20.43,2057.5
Louisiana,71047,49,200000.0,3,2,0.95,1610.0,200904.59,3.18,2.14,1.63,1723.41
Louisiana,71052,13,135000.0,3,2,0.6,1657.0,124884.62,3.0,1.77,0.73,1644.54
Louisiana,71064,3,199000.0,3,2,0.66,1920.0,213000.0,3.33,2.0,4.52,2077.33
Louisiana,71071,4,128000.0,3,2,0.5,1423.0,126825.0,3.5,2.0,0.8,1555.0
Louisiana,71105,82,185000.0,3,2,0.23,1771.0,196565.52,3.0,2.0,0.24,1827.65
Louisiana,71202,5,80000.0,3,2,1.0,1966.0,99340.0,3.0,2.0,1.05,1935.4
Louisiana,71232,4,415000.0,4,3,0.76,3921.0,392250.0,4.25,3.0,5.28,3753.0
Louisiana,71260,1,142500.0,4,2,3.2,2014.0,142500.0,4.0,2.0,3.2,2014.0
Louisiana,71292,15,162000.0,3,2,1.06,1794.0,186646.67,3.0,2.0,2.21,1766.4
Louisiana,71342,8,195000.0,3,2,1.98,1450.0,222937.5,3.0,2.0,2.77,1657.88
Louisiana,71346,5,125000.0,3,2,2.16,1790.0,167460.0,3.0,2.0,1.46,1756.8
Louisiana,71369,1,440000.0,4,4,3.56,2688.0,440000.0,4.0,4.0,3.56,2688.0
Louisiana,71404,1,58500.0,3,1,6.35,1152.0,58500.0,3.0,1.0,6.35,1152.0
Louisiana,71462,7,315000.0,3,2,1.29,1568.0,274814.29,3.14,2.0,8.36,1809.43
Louisiana,70032,32,355000.0,3,2,0.13,1805.0,333218.75,3.38,2.53,0.13,1810.19
Louisiana,70036,4,239000.0,3,2,0.14,1200.0,244500.0,2.75,2.5,0.19,1364.0
Louisiana,70052,3,159900.0,3,1,0.22,1956.0,148300.0,3.33,1.67,0.23,1763.0
Louisiana,70053,29,140000.0,3,2,0.06,1253.0,199841.03,3.21,2.0,0.08,1389.03
Louisiana,70056,55,250000.0,3,2,0.15,1726.0,261172.73,3.51,2.33,0.16,1878.18
Louisiana,70057,6,210000.0,3,2,0.26,1550.0,293333.33,3.33,2.33,0.26,1808.17
Louisiana,70068,62,200000.0,3,2,0.17,1645.0,202541.76,3.0,2.13,0.2,1682.81
Louisiana,70070,25,291000.0,3,2,0.23,2019.0,325476.0,3.48,2.48,0.24,2119.64
Louisiana,70092,12,210000.0,3,2,0.12,1530.0,206550.0,3.0,2.0,0.13,1568.92
Louisiana,70115,130,635000.0,3,3,0.08,2100.0,704010.81,3.72,2.85,0.08,2297.58
Louisiana,70129,20,225000.0,3,3,0.24,2094.0,292354.0,3.4,2.55,0.26,2237.4
Louisiana,70343,3,885000.0,3,3,4.99,10025.0,928333.0,3.33,3.0,10.75,9933.0
Louisiana,70346,12,134900.0,3,2,0.2,1280.0,155950.0,3.08,2.08,0.31,1641.92
Louisiana,70363,28,95000.0,3,2,0.16,1700.0,114443.57,2.96,1.64,0.17,1697.18
