state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Mississippi,38658,4,79900.0,3,2,1.5,1659.0,189450.0,2.75,2.0,1.97,1849.75
Mississippi,38672,137,291900.0,3,2,0.23,1873.0,294421.21,3.21,2.31,0.24,1910.25
Mississippi,38680,13,309309.0,4,2,0.21,1829.0,303607.08,4.0,2.46,0.28,1942.15
Mississippi,38685,1,319900.0,4,3,7.4,2558.0,319900.0,4.0,3.0,7.4,2558.0
Mississippi,38756,4,69900.0,3,2,0.22,1577.0,146940.25,3.25,2.5,0.25,2388.25
Mississippi,38762,1,56900.0,3,2,0.23,1400.0,56900.0,3.0,2.0,0.23,1400.0
Mississippi,38827,5,64950.0,3,2,0.5,1500.0,88670.0,3.0,1.8,0.51,1436.4
Mississippi,38858,17,115000.0,3,2,0.74,1700.0,154700.59,3.24,1.88,0.93,1841.0
Mississippi,38873,9,175000.0,3,2,10.0,1656.0,173572.22,2.78,2.0,17.39,1585.44
Mississippi,38961,1,125000.0,2,1,8.53,800.0,125000.0,2.0,1.0,8.53,800.0
Mississippi,39041,3,105000.0,3,3,1.0,2200.0,284966.67,3.33,3.0,24.42,2081.33
Mississippi,39063,2,20800.0,2,1,0.23,676.0,35397.5,3.0,1.0,0.36,1570.0
Mississippi,39083,12,99000.0,3,2,1.0,1944.0,122441.67,3.25,2.42,0.99,2169.42
Mississippi,39094,2,99900.0,1,1,1.4,948.0,133450.0,2.0,1.5,1.5,1114.0
Mississippi,39119,3,110000.0,3,2,6.5,1260.0,101666.67,3.0,2.0,6.17,1433.33
Mississippi,39140,1,140000.0,3,2,0.39,2310.0,140000.0,3.0,2.0,0.39,2310.0
Mississippi,39149,3,189900.0,3,2,3.0,1774.0,269466.67,3.0,2.33,28.0,1835.67
Mississippi,39160,1,24221.0,3,2,1.0,1153.0,24221.0,3.0,2.0,1.0,1153.0
Mississippi,39176,3,119000.0,3,2,0.63,1613.0,135000.0,3.0,2.0,1.13,1526.67
Mississippi,39183,33,205000.0,3,2,0.38,1836.0,203226.97,3.18,2.27,0.47,1917.06
Mississippi,39218,2,230000.0,3,2,0.5,1694.0,389950.0,3.0,2.5,2.75,2623.0
Mississippi,39301,6,41000.0,3,2,0.25,1449.0,56550.0,3.0,1.83,0.3,1543.67
Mississippi,39305,22,170000.0,4,3,0.5,2332.0,281545.41,3.77,3.09,1.21,2774.64
Mississippi,39327,1,159000.0,3,1,4.0,1450.0,159000.0,3.0,1.0,4.0,1450.0
Mississippi,39350,14,139000.0,3,2,0.41,2050.0,184899.93,3.29,2.21,0.85,2230.79
Mississippi,39425,3,229500.0,3,2,8.0,1913.0,255666.67,3.0,2.0,8.1,1900.67
Mississippi,39427,1,69000.0,3,2,3.5,1332.0,69000.0,3.0,2.0,3.5,1332.0
Mississippi,39470,38,250000.0,3,2,5.0,2036.0,284202.61,3.21,2.16,11.15,2004.32
Mississippi,39475,16,273900.0,3,2,1.0,2100.0,275718.75,3.38,2.44,1.77,2181.25
Mississippi,39581,14,114500.0,3,2,0.25,1197.0,122414.21,3.0,1.86,0.25,1457.64
