state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Montana,59018,6,425000.0,3,2,0.31,1500.0,487983.33,2.67,2.5,2.24,1940.33
Montana,59027,5,1800000.0,3,2,20.7,2040.0,2225600.0,3.2,2.4,23.16,2546.4
Montana,59034,10,135000.0,3,2,0.16,1344.0,195440.0,3.4,1.7,0.69,1631.6
Montana,59047,47,650000.0,4,2,0.22,2092.0,829104.15,3.47,2.36,4.02,2379.94
Montana,59072,20,275000.0,3,1,11.04,1596.0,336205.0,2.85,1.6,13.66,1678.9
Montana,59211,1,24999.0,1,1,0.15,576.0,24999.0,1.0,1.0,0.15,576.0
Montana,59263,1,235000.0,3,4,0.06,2100.0,235000.0,3.0,4.0,0.06,2100.0
Montana,59313,6,104900.0,3,2,0.32,1700.0,117400.0,3.17,1.67,0.29,1808.17
Montana,59330,37,179900.0,4,2,0.17,2016.0,175959.32,3.46,2.16,0.22,2088.97
Montana,59410,5,235000.0,2,1,3.91,1100.0,353760.0,2.2,1.2,8.35,1218.8
Montana,59482,6,109900.0,2,1,0.22,931.0,115066.67,2.83,1.33,0.26,1210.83
Montana,59526,4,1900000.0,4,2,534.76,1848.0,1900000.0,4.0,2.0,533.69,1848.0
Montana,59632,4,330000.0,4,2,0.46,1886.0,300000.0,4.0,2.0,1.46,2132.75
Montana,59647,3,299900.0,3,2,3.3,1680.0,673300.0,3.0,2.0,33.07,1597.33
Montana,59721,6,670000.0,3,3,5.51,2463.0,619650.0,2.83,2.67,15.51,2382.0
Montana,59722,27,203000.0,3,1,0.22,1480.0,212811.11,2.85,1.41,0.29,1641.22
Montana,59741,11,851500.0,3,3,0.41,2643.0,865172.73,3.36,3.0,4.22,2481.55
Montana,59747,1,1499999.0,1,1,40.0,1285.0,1499999.0,1.0,1.0,40.0,1285.0
Montana,59748,8,679500.0,3,2,20.52,1905.0,676425.0,2.63,2.25,24.1,2247.5
Montana,59761,3,475000.0,3,3,0.16,4800.0,351666.67,3.0,2.33,0.21,3491.0
Montana,59823,4,550000.0,3,2,8.16,1296.0,1166475.0,3.0,2.75,11.88,2904.5
Montana,59829,22,525000.0,2,2,4.64,1740.0,852790.91,2.64,1.86,6.41,1918.77
Montana,59840,84,459000.0,3,2,0.39,1667.0,576839.29,3.07,2.18,1.99,1831.75
Montana,59843,6,239000.0,1,1,20.0,554.0,2268333.33,1.33,1.0,1095.57,572.0
Montana,59854,1,385000.0,2,2,1.15,1390.0,385000.0,2.0,2.0,1.15,1390.0
Montana,59858,7,725000.0,2,2,4.06,1457.0,598285.71,2.0,1.57,4.29,1439.57
Montana,59910,4,889500.0,3,3,0.15,2100.0,944325.0,3.0,3.25,2.7,2400.0
Montana,59935,23,650000.0,3,2,1.71,2000.0,815995.57,2.78,2.35,3.2,2172.57
Montana,59001,8,549500.0,4,3,11.42,3600.0,2437287.5,4.88,3.38,61.6,4382.75
Montana,59015,1,6350000.0,4,3,10361.0,3337.0,6350000.0,4.0,3.0,10361.0,3337.0
Montana,59032,1,520000.0,4,2,161.0,1836.0,520000.0,4.0,2.0,161.0,1836.0
Montana,59054,1,475000.0,3,3,125.0,1863.0,475000.0,3.0,3.0,125.0,1863.0
Montana,59063,6,379900.0,3,2,0.24,1487.0,523966.67,3.83,2.33,2.58,2335.17
Montana,59082,2,7250000.0,5,2,1574.0,2560.0,7250000.0,5.0,2.0,1574.0,2560.0
Montana,59105,78,395000.0,3,2,0.23,2202.0,389367.95,3.54,2.4,0.24,2225.79
Montana,59442,7,190000.0,4,2,0.19,1672.0,192714.29,3.43,2.0,0.19,1660.57
Montana,59471,1,84700.0,4,1,0.55,1729.0,84700.0,4.0,1.0,0.55,1729.0
Montana,59485,3,429900.0,3,2,2.0,2387.0,422633.33,3.67,2.33,2.02,2387.67
Montana,59520,3,17450000.0,6,4,18134.0,2496.0,11771666.67,5.33,3.67,14670.11,2720.0
Montana,59540,2,142000.0,3,1,0.21,1252.0,142500.0,4.0,1.0,0.35,1416.0
Montana,59633,5,550000.0,1,1,18.42,1457.0,640800.0,2.0,1.6,23.13,1575.8
Montana,59639,11,375000.0,2,2,4.5,1420.0,506663.64,2.09,1.73,13.0,1306.45
Montana,59640,3,320000.0,2,2,0.8,1204.0,323000.0,1.67,1.67,0.81,1135.33
Montana,59701,204,235000.0,3,2,0.14,1668.0,247174.95,2.93,1.63,0.16,1839.58
Montana,59710,1,640000.0,1,1,20.0,792.0,640000.0,1.0,1.0,20.0,792.0
Montana,59725,39,435000.0,3,2,0.48,1920.0,542084.62,3.28,2.18,1.36,2289.15
Montana,59749,9,429900.0,3,2,1.03,1670.0,421633.33,2.67,2.11,1.43,1678.11
Montana,59801,82,500000.0,3,2,0.13,1883.0,575532.93,2.8,2.22,0.12,1884.9
Montana,59825,12,500000.0,3,3,1.19,1691.0,564897.0,3.17,2.5,8.76,1756.58
Montana,59826,4,1100000.0,3,2,11.96,1624.0,1829750.0,3.0,2.25,30.25,2039.0
Montana,59844,5,699000.0,3,3,20.0,2516.0,888580.0,3.4,2.8,43.83,2607.0
Montana,59925,17,649000.0,3,2,1.15,2361.0,1412876.47,2.76,1.94,6.19,2244.12
Montana,59934,2,599000.0,2,1,38.8,1548.0,687000.0,2.0,1.5,39.4,1654.0
Montana,59024,4,125000.0,2,1,0.32,1288.0,448750.0,3.75,2.25,12.39,1978.0
Montana,59030,3,640000.0,2,2,20.01,1176.0,743000.0,2.67,2.0,14.34,1572.33
Montana,59038,3,400000.0,4,3,20.61,2432.0,438166.67,4.33,3.67,20.35,2780.67
Montana,59069,7,1300000.0,3,4,60.26,3762.0,2308428.57,4.14,3.86,188.09,3961.29
Montana,59078,2,165000.0,2,1,0.25,946.0,177450.0,2.5,1.5,0.63,1223.0
Montana,59086,5,540000.0,3,2,3.05,1916.0,541000.0,3.0,2.0,8.77,1845.4
Montana,59201,5,195000.0,3,1,0.18,1176.0,183460.0,2.8,1.4,1.15,1900.6
Montana,59230,7,229500.0,3,2,0.27,2230.0,239342.86,3.29,2.0,0.28,2079.57
Montana,59275,1,185000.0,4,3,6.32,1400.0,185000.0,4.0,3.0,6.32,1400.0
Montana,59324,1,85000.0,3,1,0.34,1972.0,85000.0,3.0,1.0,0.34,1972.0
Montana,59353,1,115000.0,4,3,0.21,2280.0,115000.0,4.0,3.0,0.21,2280.0
Montana,59425,16,295000.0,4,2,0.2,2322.0,252268.75,3.81,2.06,0.21,2271.75
Montana,59433,3,75000.0,3,1,0.32,1409.0,80633.33,2.67,1.0,0.69,1293.0
Montana,59446,4,160000.0,3,2,0.48,1344.0,165250.0,3.25,2.0,0.6,1659.5
Montana,59469,1,104000.0,1,1,10.35,600.0,104000.0,1.0,1.0,10.35,600.0
Montana,59523,2,135000.0,2,1,0.19,1648.0,617500.0,3.0,1.5,321.6,1717.0
Montana,59638,3,610000.0,5,4,2.04,3417.0,529633.33,4.33,3.33,2.32,2854.67
Montana,59645,18,250000.0,3,2,0.21,1288.0,301271.94,2.56,1.72,0.49,1855.5
Montana,59760,2,225000.0,2,1,0.08,710.0,537500.0,2.5,2.0,0.2,1869.5
