state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Nevada,89011,100,560000.0,3,3,0.11,1935.0,629768.29,3.2,2.96,0.12,2186.18
Nevada,89081,50,439900.0,3,3,0.11,1875.0,451711.68,3.48,2.7,0.12,2013.46
Nevada,89084,34,513750.0,4,3,0.11,2454.0,511422.03,3.76,3.0,0.12,2471.15
Nevada,89106,16,330000.0,3,2,0.14,1284.0,340848.5,3.31,1.88,0.14,1332.63
Nevada,89145,31,424900.0,3,2,0.09,1580.0,458664.1,2.97,2.45,0.12,1758.68
Nevada,89179,17,524777.0,3,3,0.08,2070.0,517722.12,3.53,3.0,0.09,2085.76
Nevada,89319,3,219000.0,3,2,0.15,1560.0,201333.33,3.0,1.67,0.16,1488.0
Nevada,89408,233,377500.0,3,2,0.16,1560.0,376262.18,3.17,2.0,0.17,1552.79
Nevada,89414,2,149900.0,2,1,6.24,938.0,187450.0,3.0,1.5,7.51,1822.0
Nevada,89418,1,224000.0,3,2,2.46,1248.0,224000.0,3.0,2.0,2.46,1248.0
Nevada,89440,9,545000.0,3,3,0.17,1605.0,475966.67,2.78,2.33,0.16,1659.67
Nevada,89512,108,398900.0,3,2,0.14,1370.0,400299.97,3.17,2.22,0.13,1421.04
Nevada,89703,113,549900.0,3,2,0.18,1875.0,619867.15,3.22,2.43,0.18,1952.92
Nevada,89001,2,315000.0,3,2,0.21,1477.0,437500.0,3.5,3.0,2.76,2438.5
Nevada,89012,85,805000.0,4,3,0.16,3027.0,2344293.73,3.79,4.07,0.23,3869.25
Nevada,89031,90,439900.0,3,3,0.13,1756.0,442980.52,3.44,2.56,0.13,1848.73
Nevada,89107,40,399000.0,4,2,0.16,1785.0,641909.48,3.7,2.9,0.21,2433.53
Nevada,89108,78,369900.0,3,2,0.14,1344.0,379105.4,3.01,2.26,0.13,1477.09
Nevada,89109,10,628000.0,2,3,0.1,1800.0,668668.8,2.5,2.6,0.09,2170.7
Nevada,89128,46,499999.0,3,3,0.12,1984.0,551540.67,3.33,2.74,0.12,2050.33
Nevada,89183,38,450000.0,3,3,0.1,1676.0,489789.11,3.47,3.0,0.09,2042.47
Nevada,89301,17,210000.0,3,2,0.17,1363.0,215176.47,2.65,1.59,0.27,1408.06
Nevada,89317,1,685000.0,3,2,100.0,1680.0,685000.0,3.0,2.0,100.0,1680.0
Nevada,89431,213,380000.0,3,2,0.14,1203.0,366901.06,2.75,1.81,0.11,1232.78
Nevada,89501,14,414900.0,2,2,0.02,1144.0,457799.86,1.64,2.0,0.02,1048.86
Nevada,89015,67,391000.0,3,2,0.13,1450.0,393434.69,3.21,2.16,0.11,1511.96
Nevada,89061,28,429000.0,3,2,0.21,2006.0,431749.93,3.0,2.46,0.25,2040.96
Nevada,89101,34,449000.0,2,2,0.13,1648.0,454276.44,2.91,2.09,0.12,1603.74
Nevada,89110,61,370000.0,3,2,0.15,1582.0,416234.11,3.36,2.36,0.2,1841.79
Nevada,89115,29,299000.0,3,2,0.09,1298.0,314809.83,3.14,2.45,0.09,1414.83
Nevada,89118,35,730000.0,4,3,0.17,2869.0,1175242.23,3.57,3.6,0.31,3071.89
Nevada,89120,55,589900.0,4,3,0.19,2347.0,858814.25,3.8,3.35,0.35,2868.53
Nevada,89139,49,574500.0,4,3,0.11,2460.0,634567.2,3.8,3.27,0.13,2661.51
Nevada,89147,49,441999.0,3,3,0.14,1611.0,465003.78,3.18,2.53,0.12,1711.1
Nevada,89148,78,549900.0,3,3,0.1,2179.0,603425.49,3.51,3.15,0.11,2289.18
Nevada,89410,47,500000.0,3,2,0.18,1571.0,595812.02,3.0,2.21,0.75,1694.26
Nevada,89415,40,182000.0,3,2,0.18,1485.0,182692.5,3.08,1.75,0.18,1490.85
Nevada,89502,162,429000.0,3,2,0.12,1223.0,412090.04,2.72,1.91,0.1,1254.15
Nevada,89509,222,634999.0,3,2,0.16,1807.0,667644.95,2.94,2.32,0.18,1890.77
Nevada,89005,44,550000.0,3,3,0.18,1995.0,708029.5,3.3,2.82,0.2,2281.2
Nevada,89018,9,412703.0,4,2,0.13,2021.0,431182.56,4.11,2.56,0.13,2412.56
Nevada,89020,2,250000.0,2,3,2.06,1305.0,250000.0,3.0,3.0,8.52,2128.5
Nevada,89046,2,210000.0,3,2,0.19,1440.0,237500.0,3.0,2.0,0.3,1995.0
Nevada,89049,1,128000.0,2,2,0.25,1198.0,128000.0,2.0,2.0,0.25,1198.0
Nevada,89149,81,576000.0,4,3,0.15,2514.0,675471.02,3.62,3.26,0.23,2627.58
Nevada,89166,55,565000.0,3,3,0.1,2334.0,578297.36,3.58,3.2,0.11,2361.98
Nevada,89169,16,365000.0,3,2,0.17,1588.0,439924.94,3.25,2.25,0.17,1796.94
Nevada,89428,3,620000.0,2,2,0.76,2328.0,488333.33,3.0,2.33,2.91,2014.67
Nevada,89444,7,375000.0,3,2,2.75,1590.0,400014.29,3.0,2.0,2.84,1566.71
Nevada,89448,33,1375000.0,3,3,0.18,1913.0,2310967.52,3.3,2.97,0.19,2145.76
Nevada,89521,345,679900.0,3,3,0.15,2077.0,707954.12,3.3,2.67,0.16,2170.58
Nevada,89706,75,410000.0,3,2,0.16,1417.0,403052.15,3.0,2.0,0.17,1383.77
Nevada,89883,2,172000.0,2,3,0.04,1104.0,193500.0,3.0,3.0,0.11,1362.0
Nevada,89025,2,739000.0,3,2,6.88,1638.0,869250.0,3.0,2.0,10.97,1890.5
Nevada,89027,105,409595.0,3,2,0.14,1679.0,433772.91,2.7,2.37,0.14,1717.15
Nevada,89029,28,250000.0,3,2,0.14,1312.0,283289.29,2.64,2.0,0.13,1448.25
Nevada,89040,7,255000.0,3,2,0.21,1294.0,253271.43,2.57,2.0,0.27,1208.29
Nevada,89044,86,598000.0,3,3,0.13,2294.0,653641.35,3.09,2.77,0.14,2298.65
Nevada,89045,8,134900.0,3,2,0.28,1456.0,203112.5,3.0,2.63,1.44,1764.25
Nevada,89119,26,304900.0,2,2,0.13,1288.0,312418.65,2.62,2.04,0.11,1340.19
Nevada,89124,16,769000.0,3,3,0.26,2618.0,2104487.5,3.5,3.38,0.25,3286.25
Nevada,89134,76,499999.0,2,2,0.15,1636.0,556214.92,2.43,2.22,0.14,1730.29
Nevada,89402,4,4995000.0,4,4,0.32,4292.0,10011250.0,4.0,4.5,0.38,3997.5
Nevada,89403,124,455000.0,3,2,0.28,1760.0,479491.64,3.38,2.27,0.25,1872.92
Nevada,89419,8,259999.0,3,2,1.26,1482.0,307718.5,3.38,2.0,1.13,1657.63
Nevada,89429,81,299900.0,3,2,1.0,1440.0,313346.1,3.0,2.0,1.74,1419.98
