state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
New Mexico,87013,2,200000.0,3,2,0.83,2020.0,444500.0,3.5,3.0,1.36,3293.0
New Mexico,87024,2,595000.0,3,3,1.96,2900.0,997500.0,3.0,3.5,3.95,4899.0
New Mexico,87025,11,375000.0,3,2,2.0,1815.0,425000.0,3.18,2.27,2.66,2038.45
New Mexico,87032,3,92000.0,2,1,5.0,896.0,97300.0,2.0,1.33,9.92,849.33
New Mexico,87043,36,700000.0,3,3,1.36,2626.0,693733.33,3.0,2.75,1.79,2640.97
New Mexico,87045,1,159000.0,2,1,0.46,780.0,159000.0,2.0,1.0,0.46,780.0
New Mexico,87107,178,299000.0,3,2,0.16,1583.0,345890.7,2.99,2.24,0.19,1748.19
New Mexico,87110,192,279900.0,3,2,0.18,1719.0,290204.05,3.09,2.0,0.19,1732.76
New Mexico,87111,371,357000.0,3,2,0.16,1904.0,396394.59,3.13,2.37,0.16,1984.6
New Mexico,87120,560,310000.0,3,2,0.14,1825.0,341435.03,3.18,2.51,0.14,1908.07
New Mexico,87419,3,187500.0,4,3,0.69,1850.0,184966.67,3.67,2.67,0.66,1894.67
New Mexico,87543,1,329000.0,2,1,1.53,1720.0,329000.0,2.0,1.0,1.53,1720.0
New Mexico,87565,3,225000.0,3,2,1.01,1737.0,379666.67,3.67,2.67,1.02,3243.0
New Mexico,87577,4,395000.0,1,1,1.2,1300.0,395750.0,1.75,1.25,1.48,1359.75
New Mexico,87939,2,725000.0,3,2,4.7,2597.0,1317500.0,3.0,2.5,462.35,2881.0
New Mexico,88005,77,258204.0,3,2,0.18,1719.0,262058.03,3.25,2.05,0.19,1776.45
New Mexico,88008,34,266500.0,3,2,0.14,1824.0,261425.0,3.29,2.44,0.15,1862.29
New Mexico,88024,2,51600.0,3,2,0.14,1207.0,120800.0,3.0,2.0,0.18,1223.5
New Mexico,88256,4,150000.0,3,1,0.63,1248.0,211225.0,2.75,1.5,1.32,1720.0
New Mexico,88311,1,123000.0,3,1,0.5,1274.0,123000.0,3.0,1.0,0.5,1274.0
New Mexico,88337,14,244700.0,3,2,1.6,1708.0,288514.29,3.0,2.14,3.92,1874.86
New Mexico,88424,1,390000.0,26,10,8.53,19939.0,390000.0,26.0,10.0,8.53,19939.0
New Mexico,87035,23,175000.0,3,2,2.0,1583.0,198243.43,3.26,2.0,2.56,1545.0
New Mexico,87046,1,387000.0,3,3,5.2,2080.0,387000.0,3.0,3.0,5.2,2080.0
New Mexico,87062,4,149900.0,3,2,1.35,1410.0,169724.75,2.75,2.0,1.93,1430.5
New Mexico,87121,315,235000.0,3,2,0.11,1420.0,232355.23,3.0,2.21,0.12,1469.98
New Mexico,87402,111,229900.0,3,2,0.2,1724.0,256026.59,3.21,2.23,0.21,1830.68
New Mexico,87410,116,235000.0,3,2,0.84,1648.0,261437.96,3.22,2.24,1.04,1766.44
New Mexico,87506,130,1450000.0,3,4,1.24,3162.0,1726668.46,3.1,3.58,1.48,3226.8
New Mexico,87513,7,495000.0,3,2,5.0,2145.0,604285.71,2.43,2.14,6.05,1895.86
New Mexico,87527,3,475000.0,2,2,4.0,1300.0,908300.0,2.67,2.67,3.34,2199.67
New Mexico,87529,50,495000.0,3,2,1.0,1564.0,532002.0,2.62,2.14,1.41,1772.8
New Mexico,87532,48,315000.0,3,2,0.49,1685.0,314333.33,3.0,1.96,0.63,1921.27
New Mexico,87566,2,105000.0,1,1,0.3,1094.0,140000.0,1.5,1.0,1.15,2047.0
New Mexico,87575,3,499000.0,4,2,4.76,2150.0,707666.67,4.33,3.33,3.84,3680.33
New Mexico,87715,2,137000.0,1,1,0.31,1100.0,143500.0,2.0,1.5,0.59,1530.0
New Mexico,87723,1,325000.0,3,1,46.93,1400.0,325000.0,3.0,1.0,46.93,1400.0
New Mexico,87732,3,675000.0,3,2,56.0,1914.0,838333.33,3.33,2.0,58.39,2792.0
New Mexico,88001,48,198000.0,3,2,0.16,1560.0,218799.15,3.23,2.0,0.16,1523.9
New Mexico,88044,4,326900.0,3,2,0.5,1976.0,341724.75,3.0,2.25,1.03,1926.0
New Mexico,88220,165,247000.0,3,2,0.19,1761.0,260612.29,3.2,2.1,0.24,1779.69
New Mexico,88316,8,164900.0,3,2,1.95,2072.0,526612.5,3.0,3.0,1.93,2030.25
New Mexico,88426,13,225000.0,3,2,0.44,1700.0,217200.0,3.0,2.0,0.5,1619.38
New Mexico,87006,2,349900.0,2,2,1.53,1900.0,357450.0,2.5,2.0,2.77,2250.0
New Mexico,87016,7,99900.0,3,2,4.0,1400.0,125400.0,3.0,2.0,3.91,1445.86
New Mexico,87026,3,94900.0,3,2,1.0,1782.0,88900.0,3.0,2.0,1.0,1770.0
New Mexico,87042,17,344900.0,3,2,1.11,2052.0,386094.0,3.24,2.47,1.67,2204.12
New Mexico,87044,3,320000.0,2,2,1.04,1800.0,278333.33,2.33,2.0,0.87,1716.67
New Mexico,87101,7,304790.0,3,2,0.11,1519.0,310461.43,3.0,2.0,0.11,1531.86
New Mexico,87144,412,322000.0,3,2,0.14,1823.0,337960.42,3.38,2.39,0.16,1890.39
New Mexico,87315,2,220000.0,2,2,60.87,1372.0,235000.0,2.0,2.5,69.44,2122.0
New Mexico,87317,1,68000.0,3,1,0.22,1500.0,68000.0,3.0,1.0,0.22,1500.0
New Mexico,87508,74,625000.0,3,2,1.16,1902.0,668178.77,3.0,2.39,1.37,2078.42
