state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Oklahoma,73003,88,198500.0,3,2,0.17,1520.0,203284.52,3.0,2.0,0.18,1545.53
Oklahoma,73017,4,179900.0,3,2,4.0,1678.0,177100.0,3.0,2.0,5.85,1660.5
Oklahoma,73036,64,203005.0,3,2,0.15,1536.0,206628.44,3.19,2.0,0.18,1550.34
Oklahoma,73059,6,240000.0,3,2,1.45,1640.0,243091.67,3.0,2.0,5.43,1650.0
Oklahoma,73086,22,169000.0,3,2,0.31,1344.0,192300.0,2.86,2.0,0.5,1378.68
Oklahoma,73114,94,140000.0,3,2,0.16,1192.0,143840.83,3.0,1.72,0.16,1217.87
Oklahoma,73131,23,360000.0,3,3,0.51,2331.0,627760.83,3.22,3.09,1.32,2759.13
Oklahoma,73151,7,660000.0,4,4,0.91,3331.0,770668.14,4.0,4.29,0.85,3408.43
Oklahoma,73401,207,140000.0,3,2,0.24,1578.0,180229.1,3.1,1.98,0.41,1731.45
Oklahoma,73446,19,225000.0,3,2,0.44,1799.0,222099.95,3.37,2.0,1.58,1945.11
Oklahoma,73447,2,84000.0,2,2,1.0,1154.0,112000.0,2.5,2.0,1.31,1185.0
Oklahoma,73459,4,580000.0,3,3,0.89,2064.0,508500.0,3.0,2.75,5.59,2786.5
Oklahoma,73463,10,149900.0,3,2,0.56,1491.0,150970.0,3.0,2.0,1.37,1451.7
Oklahoma,73505,107,99000.0,3,2,0.19,1300.0,134430.77,3.15,1.83,0.2,1493.36
Oklahoma,73543,3,125000.0,3,2,0.22,1185.0,88333.0,3.0,1.67,0.22,1056.67
Oklahoma,73555,1,104900.0,4,2,0.08,2100.0,104900.0,4.0,2.0,0.08,2100.0
Oklahoma,73738,4,92900.0,2,2,0.32,1106.0,94550.0,2.5,1.75,0.64,1148.0
Oklahoma,73754,8,115900.0,3,2,0.26,1302.0,117325.0,3.0,1.75,0.41,1359.88
Oklahoma,73858,10,140000.0,3,2,0.26,2000.0,134300.0,3.3,2.0,0.31,1984.5
Oklahoma,73859,5,135000.0,3,2,10.83,1280.0,135800.0,3.2,2.2,6.71,1696.4
Oklahoma,74014,281,250000.0,3,2,0.2,1921.0,272632.49,3.37,2.35,0.31,2038.99
Oklahoma,74020,20,149900.0,3,2,0.36,1577.0,163715.0,3.0,2.0,0.67,1678.0
Oklahoma,74056,9,75000.0,3,2,2.0,1464.0,144433.33,3.0,2.0,7.33,1608.67
Oklahoma,74079,12,92500.0,3,2,0.32,1209.0,127349.92,3.0,1.92,0.66,1475.83
Oklahoma,74085,11,150000.0,3,2,1.0,1368.0,167990.91,2.73,1.73,8.33,1413.09
Oklahoma,74106,68,99000.0,3,1,0.17,1204.0,129077.93,2.9,1.51,0.18,1271.99
Oklahoma,74110,50,75000.0,3,1,0.16,960.0,83346.9,2.62,1.2,0.16,994.9
Oklahoma,74115,97,104900.0,3,1,0.17,1028.0,112687.84,2.8,1.23,0.17,1084.97
Oklahoma,74346,18,176500.0,3,2,3.0,1364.0,288183.33,2.56,1.61,17.48,1400.39
Oklahoma,74363,1,635000.0,5,3,46.91,3200.0,635000.0,5.0,3.0,46.91,3200.0
Oklahoma,74447,47,121000.0,3,2,0.15,1490.0,122850.96,3.0,1.81,0.19,1628.57
Oklahoma,74471,3,179900.0,3,3,5.0,2605.0,308266.67,3.0,2.67,6.05,2181.67
Oklahoma,74521,2,179000.0,2,1,10.0,800.0,314500.0,2.0,1.0,25.0,850.0
Oklahoma,74653,8,109000.0,3,2,0.22,1239.0,121236.25,3.13,2.0,0.4,1579.5
Oklahoma,74726,8,100000.0,3,1,0.33,1494.0,190850.0,3.0,1.75,1.8,1610.5
Oklahoma,74736,7,255000.0,3,2,5.7,1200.0,363771.43,2.29,1.71,23.67,1309.43
Oklahoma,74745,8,145000.0,3,2,0.32,1587.0,155412.5,3.13,2.0,0.41,1739.88
Oklahoma,74935,2,99900.0,3,1,1.0,1032.0,249450.0,3.0,1.0,45.28,1100.0
Oklahoma,74944,3,449900.0,3,2,39.0,2013.0,374933.33,3.0,2.0,41.26,2116.33
Oklahoma,74962,20,159900.0,3,2,1.0,1456.0,163815.0,2.75,1.7,1.51,1467.5
Oklahoma,74966,7,250000.0,3,2,1.41,1974.0,261400.0,3.43,2.43,4.54,1949.29
Oklahoma,73002,3,205000.0,4,3,8.0,2180.0,789166.67,3.67,2.67,172.33,1980.0
Oklahoma,73032,1,95000.0,4,2,1.3,1568.0,95000.0,4.0,2.0,1.3,1568.0
Oklahoma,73040,6,79000.0,3,1,0.24,1023.0,77499.67,2.67,1.5,0.52,1317.33
Oklahoma,73064,205,239990.0,3,2,0.19,1767.0,257241.01,3.44,2.3,0.29,1794.6
Oklahoma,73075,19,165000.0,3,2,0.32,1566.0,160021.0,3.0,2.0,0.64,1642.16
Oklahoma,73098,21,169900.0,3,2,0.96,1619.0,182461.9,2.86,1.81,4.53,1680.24
Oklahoma,73119,95,115000.0,3,1,0.16,1023.0,112176.73,2.71,1.35,0.16,1060.12
Oklahoma,73121,14,150000.0,3,2,0.46,1829.0,198057.21,3.14,2.43,0.76,1954.57
Oklahoma,73128,26,209000.0,3,2,0.17,1493.0,230337.69,3.35,2.15,0.22,1711.58
Oklahoma,73159,152,163000.0,3,2,0.17,1406.0,167938.39,3.0,2.0,0.17,1432.46
Oklahoma,73444,1,125000.0,3,2,0.37,1566.0,125000.0,3.0,2.0,0.37,1566.0
Oklahoma,73453,2,389000.0,3,3,37.0,1598.0,389000.0,3.0,3.0,37.0,1598.0
Oklahoma,73521,82,184000.0,3,2,0.21,1719.0,184784.09,3.16,2.0,0.23,1770.27
Oklahoma,73528,1,130000.0,4,1,0.54,1600.0,130000.0,4.0,1.0,0.54,1600.0
Oklahoma,73532,1,95000.0,3,2,0.36,1800.0,95000.0,3.0,2.0,0.36,1800.0
Oklahoma,73537,3,135000.0,3,2,3.46,1914.0,236166.67,3.0,1.67,35.45,1784.67
Oklahoma,73547,11,80000.0,3,1,0.19,1302.0,102818.18,3.09,1.45,0.25,1359.45
Oklahoma,73554,14,81500.0,3,2,0.17,1499.0,97600.0,2.93,2.07,0.23,1686.36
Oklahoma,73556,2,130000.0,2,2,0.25,1288.0,154950.0,2.5,2.0,0.27,1300.0
Oklahoma,73568,2,25000.0,3,2,0.34,1500.0,82500.0,3.5,2.5,0.67,1700.0
Oklahoma,73573,7,122000.0,3,2,0.16,1653.0,148385.71,3.14,2.0,1.23,1835.71
Oklahoma,73642,1,225000.0,4,3,0.5,2197.0,225000.0,4.0,3.0,0.5,2197.0
Oklahoma,73661,7,94000.0,3,2,2.28,1504.0,140214.29,3.14,1.86,2.97,1561.43
Oklahoma,73722,2,79500.0,2,2,0.19,1096.0,129250.0,2.5,2.0,0.2,1373.0
Oklahoma,73741,1,59900.0,2,2,0.06,1490.0,59900.0,2.0,2.0,0.06,1490.0
Oklahoma,73750,12,200000.0,3,2,0.23,1661.0,208408.33,3.0,2.0,0.25,1756.08
Oklahoma,73762,1,201000.0,3,3,0.24,1547.0,201000.0,3.0,3.0,0.24,1547.0
Oklahoma,73857,4,130000.0,3,2,1.98,1610.0,178750.0,3.0,2.5,3.0,1863.5
Oklahoma,74006,238,185000.0,3,2,0.23,1796.0,192292.97,3.33,2.25,0.25,1863.08
Oklahoma,74021,142,238000.0,3,2,0.22,1649.0,253678.69,3.32,2.0,0.32,1716.09
Oklahoma,74030,10,99999.0,3,2,0.37,1391.0,120389.9,3.0,2.3,1.34,1544.8
Oklahoma,74033,60,179000.0,3,2,0.18,1412.0,197437.85,3.18,2.0,0.2,1492.3
Oklahoma,74035,12,49900.0,3,2,1.4,1344.0,70716.67,3.17,1.75,1.29,1670.83
Oklahoma,74037,156,300000.0,4,2,0.19,2152.0,328901.81,3.55,2.63,0.21,2244.21
Oklahoma,74050,1,107900.0,3,2,0.27,1792.0,107900.0,3.0,2.0,0.27,1792.0
Oklahoma,74054,2,149000.0,2,2,1.61,2208.0,264500.0,2.5,2.5,7.79,2379.0
Oklahoma,74058,13,92500.0,3,2,0.3,1496.0,106953.85,2.77,1.92,0.31,1683.92
Oklahoma,74061,3,109900.0,3,2,0.52,1303.0,108466.67,3.0,1.67,0.69,1295.0
Oklahoma,74108,27,129900.0,3,1,0.18,1066.0,124455.56,3.0,1.22,0.18,1126.67
Oklahoma,74131,10,319900.0,3,3,1.09,2511.0,377950.0,3.5,2.9,1.11,2634.7
Oklahoma,74133,229,260000.0,4,3,0.22,2254.0,276656.17,3.46,2.67,0.22,2357.98
Oklahoma,74331,48,429000.0,3,3,0.38,2209.0,572766.67,3.17,2.85,0.44,2284.42
Oklahoma,74333,3,289000.0,4,2,10.0,2200.0,434633.0,3.33,2.33,25.56,2217.33
