state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Oregon,97028,2,1500000.0,6,4,0.09,3024.0,2125000.0,9.5,6.0,6.77,9425.0
Oregon,97029,3,175000.0,3,2,0.39,1746.0,199333.33,3.0,2.0,0.39,1870.0
Oregon,97056,75,475000.0,3,3,0.15,1795.0,488301.32,3.55,2.61,0.17,1941.99
Oregon,97062,124,640000.0,4,3,0.17,1948.0,684930.48,3.66,2.7,0.17,2237.58
Oregon,97071,100,340000.0,2,2,0.11,1284.0,361944.75,2.55,1.88,0.13,1356.97
Oregon,97108,2,525000.0,3,2,1.5,1672.0,1062500.0,3.0,2.5,40.75,13831.5
Oregon,97128,167,435000.0,3,2,0.17,1556.0,461509.38,3.25,2.24,0.18,1739.29
Oregon,97206,319,500000.0,3,2,0.11,1506.0,524030.1,2.91,1.74,0.12,1577.08
Oregon,97222,171,470000.0,3,2,0.18,1465.0,495059.52,3.05,1.83,0.19,1559.4
Oregon,97239,80,735000.0,3,3,0.17,2264.0,907383.63,3.14,2.7,0.19,2336.25
Oregon,97267,150,510000.0,3,2,0.23,1720.0,537354.31,3.31,2.3,0.24,1880.51
Oregon,97321,85,389000.0,3,2,0.15,1609.0,408881.05,3.21,2.04,0.17,1657.05
Oregon,97330,85,479900.0,3,3,0.12,1690.0,536523.46,3.4,2.58,0.14,1934.61
Oregon,97370,23,399900.0,3,2,0.19,1584.0,435209.04,3.09,2.22,0.27,1704.26
Oregon,97383,20,420000.0,3,2,0.2,1504.0,437525.0,3.0,2.05,0.22,1545.85
Oregon,97390,2,250000.0,2,1,0.18,848.0,337450.0,2.0,1.5,0.18,1144.0
Oregon,97396,16,320000.0,3,2,0.22,1196.0,416131.25,3.0,1.88,1.61,1372.38
Oregon,97437,8,439900.0,2,2,1.05,1120.0,501112.5,2.13,2.25,2.97,1665.0
Oregon,97443,3,180000.0,3,2,5.85,1680.0,371666.67,3.33,2.0,5.57,1836.0
Oregon,97466,8,238000.0,3,2,0.46,1920.0,258575.0,2.5,1.75,0.96,1943.25
Oregon,97469,8,289900.0,3,2,0.23,1460.0,352924.88,3.0,1.63,3.91,1662.75
