state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Rhode Island,02804,11,369000.0,3,2,0.51,1470.0,378327.27,3.0,2.0,0.72,1527.0
Rhode Island,02817,35,499900.0,3,3,2.0,2176.0,544864.51,3.49,2.74,1.79,2041.37
Rhode Island,02822,19,465000.0,3,2,1.17,1750.0,441121.05,3.0,2.21,1.6,1750.53
Rhode Island,02823,2,419900.0,7,3,0.34,3026.0,419900.0,7.0,3.0,0.34,3026.0
Rhode Island,02824,1,399900.0,6,3,0.93,2688.0,399900.0,6.0,3.0,0.93,2688.0
Rhode Island,02861,154,300000.0,3,2,0.11,1210.0,310761.62,3.16,1.66,0.12,1421.42
Rhode Island,02871,105,579000.0,3,2,0.27,1591.0,671454.17,2.98,2.34,0.35,1855.64
Rhode Island,02886,149,339900.0,3,2,0.19,1332.0,372615.37,3.03,1.83,0.22,1406.5
Rhode Island,02911,74,330000.0,3,2,0.16,1435.0,335717.55,3.12,2.0,0.17,1535.11
Rhode Island,02916,33,359900.0,3,2,0.15,1300.0,394469.7,3.0,1.91,0.16,1382.21
Rhode Island,02807,36,1675000.0,3,3,1.0,1777.0,1831080.56,3.89,3.14,1.37,2133.53
Rhode Island,02837,20,873000.0,3,2,1.8,1608.0,1099300.0,2.9,2.15,2.58,1865.1
Rhode Island,02839,4,350000.0,3,2,0.46,1365.0,384975.0,3.0,2.25,0.6,1481.25
Rhode Island,02852,110,499000.0,3,2,0.47,1746.0,542279.32,3.15,2.34,0.53,1823.27
Rhode Island,02876,1,270000.0,3,2,0.2,1188.0,270000.0,3.0,2.0,0.2,1188.0
Rhode Island,02892,28,499900.0,3,3,1.83,2100.0,629235.71,3.14,2.64,2.26,1978.5
Rhode Island,02898,14,424900.0,3,2,2.01,1760.0,464330.86,3.0,2.14,1.69,1733.14
Rhode Island,02909,194,319900.0,4,2,0.09,2688.0,335898.45,4.92,2.34,0.09,2750.94
Rhode Island,02806,94,587000.0,3,2,0.24,1970.0,679595.73,3.39,2.36,0.32,1960.82
Rhode Island,02809,73,479000.0,3,2,0.2,1668.0,522141.08,3.29,2.23,0.22,1768.33
Rhode Island,02813,36,480000.0,3,2,0.91,1393.0,680300.0,3.0,2.22,0.94,1593.47
Rhode Island,02814,40,344500.0,3,2,0.54,1307.0,359284.95,2.73,1.88,1.73,1376.75
Rhode Island,02831,20,310000.0,3,1,0.25,1200.0,334697.5,2.75,1.65,0.49,1477.35
Rhode Island,02857,47,399900.0,3,2,1.38,1604.0,442119.15,3.0,2.0,1.66,1741.62
Rhode Island,02860,196,333000.0,4,2,0.11,2418.0,342070.9,4.58,2.24,0.11,2715.54
