state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Texas,75007,190,369000.0,3,2,0.18,1853.0,371602.93,3.3,2.27,0.18,1863.51
Texas,75020,191,225000.0,3,2,0.21,1522.0,261649.69,3.13,2.07,0.23,1664.26
Texas,75036,131,532000.0,4,3,0.17,2507.0,640796.98,3.59,3.2,0.18,2721.83
Texas,75070,195,475000.0,4,3,0.14,2313.0,525715.62,3.53,2.93,0.13,2445.4
Texas,75087,220,461000.0,4,3,0.18,2660.0,497215.85,3.81,3.21,0.2,2672.66
Texas,75088,166,347225.0,3,2,0.18,1985.0,367322.08,3.45,2.57,0.2,2128.13
Texas,75140,16,225000.0,3,2,1.83,1500.0,254293.75,3.0,1.88,4.09,1725.13
Texas,75154,246,364900.0,4,2,0.23,2095.0,371969.22,3.62,2.56,0.35,2249.04
Texas,75158,28,249000.0,3,2,1.9,1621.0,312278.54,3.36,2.18,2.32,1786.82
Texas,75169,37,235900.0,3,2,0.48,1714.0,290056.3,3.03,2.16,0.67,1848.57
Texas,75180,63,225000.0,3,2,0.17,1399.0,235149.17,3.33,1.81,0.2,1431.51
Texas,75206,217,685000.0,3,3,0.17,1847.0,723128.77,2.83,2.56,0.16,2055.21
Texas,75210,40,224990.0,3,2,0.14,1298.0,218780.98,3.3,2.0,0.13,1327.73
Texas,75212,117,429900.0,3,3,0.12,1933.0,438651.04,3.38,2.52,0.12,1838.21
Texas,75219,340,399000.0,2,2,0.64,1400.0,519191.26,2.04,2.42,1.25,1650.84
Texas,75236,39,355000.0,3,3,0.16,1913.0,367617.38,3.49,2.77,0.17,2246.74
Texas,75287,113,449000.0,3,3,0.16,2492.0,520784.64,3.43,2.98,0.16,2525.08
Texas,75416,13,205000.0,3,2,0.34,1295.0,205984.62,3.0,2.0,0.46,1355.15
Texas,75421,6,449900.0,4,2,0.59,2415.0,375616.67,3.83,2.5,1.22,2548.0
Texas,75424,24,598000.0,4,3,1.19,2505.0,603882.71,3.54,3.0,7.81,2499.04
Texas,75436,7,319000.0,3,2,18.92,2516.0,389842.86,3.43,2.43,34.41,2319.29
Texas,75442,61,399900.0,4,2,1.15,2113.0,375597.21,3.54,2.34,1.92,2026.75
Texas,75472,23,269900.0,3,2,0.97,1532.0,276698.39,3.0,2.13,1.31,1569.52
Texas,75486,8,204900.0,3,2,1.51,1800.0,217525.0,3.5,2.38,1.73,1786.5
Texas,75490,14,430000.0,3,3,2.47,2106.0,495685.93,3.5,2.64,4.57,2137.93
Texas,75492,3,225000.0,3,2,5.29,1452.0,455000.0,3.33,2.0,14.98,1812.67
Texas,75602,15,145000.0,3,2,0.26,1720.0,159130.0,3.0,2.0,0.38,1708.6
Texas,75638,21,199900.0,3,2,1.0,2006.0,220895.24,3.0,2.19,3.4,1928.9
Texas,75667,5,279900.0,3,2,6.8,1500.0,345760.0,3.0,2.0,18.48,1513.8
Texas,75672,26,165000.0,3,2,0.46,1690.0,178676.04,3.0,2.0,0.8,1670.77
Texas,75763,24,395000.0,3,2,0.67,2107.0,391283.33,3.13,2.33,1.82,2043.83
Texas,75766,40,208988.0,3,2,0.43,1571.0,242279.38,3.08,2.0,1.89,1849.28
Texas,75832,3,297000.0,4,2,2.0,1960.0,297000.0,4.0,2.0,2.0,1940.0
Texas,75838,5,210000.0,3,2,2.12,1794.0,242700.0,3.0,1.8,2.51,1880.4
Texas,75845,14,250000.0,3,2,1.5,1848.0,272664.29,3.43,2.5,3.65,1942.57
Texas,75851,19,349000.0,3,2,10.0,1884.0,516006.95,2.68,2.11,37.52,2100.58
Texas,75855,7,260000.0,3,2,12.5,1720.0,282857.14,3.0,2.0,10.58,1536.14
Texas,75862,135,180000.0,3,2,0.28,1568.0,201849.14,2.81,2.09,0.36,1562.85
Texas,75930,5,205000.0,3,2,4.3,1656.0,201580.0,3.2,2.4,3.75,1451.2
Texas,75936,5,370000.0,3,2,10.31,2076.0,448279.2,2.8,2.2,11.69,2341.2
Texas,75948,32,224000.0,3,2,0.67,1295.0,237675.0,2.69,2.0,0.84,1491.13
Texas,75975,4,249900.0,4,2,2.25,2152.0,223475.0,3.75,2.25,3.42,2207.0
Texas,76021,173,350000.0,3,2,0.19,1902.0,369834.86,3.23,2.4,0.18,1981.29
Texas,76039,89,322000.0,3,2,0.18,1506.0,326744.11,3.0,2.12,0.17,1588.74
Texas,76060,41,390000.0,3,2,0.21,1925.0,388371.88,3.44,2.32,0.22,2172.49
Texas,76066,19,486900.0,4,2,1.0,2231.0,482081.05,3.74,2.37,4.13,2122.74
Texas,76077,2,289900.0,3,2,1.14,1486.0,1144950.0,11.0,8.5,2.48,6643.0
Texas,76086,36,289000.0,3,2,0.23,1618.0,290704.11,3.0,2.0,0.25,1636.11
Texas,76092,146,1150880.0,4,4,0.46,4188.0,1470266.92,4.37,4.49,0.52,4413.77
Texas,76120,109,296900.0,3,2,0.11,1775.0,301136.69,3.28,2.23,0.12,1824.42
Texas,76137,291,329000.0,3,2,0.15,1886.0,335757.63,3.41,2.33,0.16,1966.52
Texas,76148,116,267000.0,3,2,0.17,1305.0,266947.3,3.0,2.0,0.18,1347.96
Texas,76180,227,349900.0,3,2,0.19,1912.0,360320.45,3.21,2.36,0.18,1936.29
Texas,76305,6,480000.0,3,3,5.0,2700.0,527966.67,3.67,2.83,4.96,2950.5
Texas,76380,8,144000.0,3,2,0.27,1604.0,166462.5,3.0,2.13,1.14,1882.75
Texas,76430,3,170000.0,3,2,0.13,1670.0,174966.67,3.33,2.0,0.22,1858.67
Texas,76431,14,315000.0,3,2,1.33,1824.0,369878.57,3.07,2.07,5.83,1725.64
Texas,76442,35,178000.0,3,2,0.43,1649.0,195071.43,3.0,2.0,1.29,1620.74
Texas,76463,3,220000.0,3,2,1.2,2041.0,444999.67,3.0,2.0,27.28,1980.0
Texas,76471,3,126900.0,3,2,0.39,1992.0,193965.0,2.67,1.67,1.13,1804.0
Texas,76476,12,365000.0,3,2,0.28,1792.0,336850.0,3.33,2.0,1.32,1799.0
Texas,76513,272,349000.0,4,2,0.28,2128.0,371689.08,3.67,2.51,0.34,2118.94
Texas,76556,3,149900.0,2,2,1.0,980.0,258966.67,2.33,1.67,3.84,1117.33
Texas,76643,43,359900.0,3,2,0.28,2025.0,361131.14,3.47,2.28,0.3,2036.95
Texas,76645,33,215000.0,3,2,0.23,1543.0,217666.67,3.0,2.0,0.37,1660.76
Texas,76665,6,229900.0,3,2,0.36,1938.0,416300.0,3.67,2.5,2.83,1989.5
Texas,76667,21,180000.0,3,2,0.53,1844.0,178857.1,3.0,2.0,0.95,1898.52
Texas,76673,7,125000.0,2,2,0.62,1548.0,227714.29,2.29,1.71,12.2,1378.57
Texas,76686,2,349900.0,3,2,1.61,3422.0,357450.0,3.0,2.0,1.61,3422.0
Texas,76689,7,279900.0,4,2,4.84,1593.0,369671.43,3.57,2.0,6.14,1568.0
Texas,76821,13,90000.0,3,2,0.21,1248.0,92807.69,2.62,1.77,0.25,1264.92
Texas,76827,5,246870.0,3,2,5.56,1620.0,2075374.0,3.4,2.8,265.76,1810.4
Texas,76872,3,475000.0,3,2,64.11,1870.0,437999.67,2.67,1.67,78.11,1615.67
