state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Utah,84031,1,599000.0,3,3,1.5,2291.0,599000.0,3.0,3.0,1.5,2291.0
Utah,84042,3,1150000.0,6,5,0.35,4846.0,1199666.67,6.67,4.33,0.66,4852.33
Utah,84061,5,847000.0,4,3,0.89,2576.0,1819000.0,5.2,4.2,1.32,4060.8
Utah,84082,1,7895000.0,7,9,29.6,11873.0,7895000.0,7.0,9.0,29.6,11873.0
Utah,84098,306,1894900.0,4,4,0.2,2764.0,2424529.21,3.68,4.05,0.39,3231.51
Utah,84102,41,650000.0,3,2,0.05,1832.0,665000.0,2.95,2.27,0.07,1838.12
Utah,84118,31,425000.0,4,2,0.16,1662.0,428661.29,3.71,2.0,0.17,1706.52
Utah,84327,1,785000.0,5,6,0.58,6151.0,785000.0,5.0,6.0,0.58,6151.0
Utah,84332,13,814900.0,5,3,0.35,3944.0,770638.46,4.85,3.31,0.31,3601.62
Utah,84511,7,320000.0,3,2,1.2,1600.0,349628.57,3.29,1.86,1.86,1644.43
Utah,84532,39,749000.0,3,3,0.25,2088.0,799597.44,3.33,2.54,0.35,2032.21
Utah,84606,54,492500.0,4,3,0.05,1992.0,527941.81,3.98,2.67,0.1,2199.24
Utah,84627,10,465000.0,4,2,0.24,2972.0,489040.0,4.6,2.4,0.31,2863.8
Utah,84637,2,415000.0,3,2,2.5,1200.0,665000.0,3.0,4.0,6.25,8413.0
Utah,84638,1,479900.0,6,2,3.05,4786.0,479900.0,6.0,2.0,3.05,4786.0
Utah,84639,1,540000.0,3,2,2.28,1573.0,540000.0,3.0,2.0,2.28,1573.0
Utah,84648,24,390000.0,3,2,0.23,2639.0,448375.0,3.58,2.46,0.25,2665.29
Utah,84657,1,750000.0,5,2,28.83,2000.0,750000.0,5.0,2.0,28.83,2000.0
Utah,84660,106,515900.0,3,3,0.18,2937.0,546972.34,3.43,3.0,0.16,3090.53
Utah,84719,13,749000.0,3,2,0.23,1860.0,960426.69,2.92,2.46,0.38,2224.46
Utah,84726,3,240000.0,3,2,0.5,1848.0,259333.33,4.33,2.67,0.52,2066.0
Utah,84028,55,673000.0,4,4,0.09,2038.0,666214.55,3.91,3.73,0.11,2262.55
