state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Virginia,20141,79,710000.0,4,4,0.31,3303.0,778158.47,4.24,3.73,1.0,3521.57
Virginia,20143,3,750000.0,5,4,5.07,4050.0,983333.33,4.67,4.0,7.33,4231.67
Virginia,20158,25,699000.0,4,3,1.55,2923.0,808035.16,3.8,3.48,2.1,3469.0
Virginia,20175,191,650000.0,4,4,0.16,2592.0,681912.09,3.82,3.78,0.18,2875.07
Virginia,22026,149,640000.0,4,4,0.11,2834.0,621900.97,4.06,4.1,0.11,2917.18
Virginia,22043,110,885000.0,4,4,0.23,2221.0,971732.05,3.75,3.5,0.19,2590.49
Virginia,22107,1,1325000.0,5,3,0.46,2400.0,1325000.0,5.0,3.0,0.46,2400.0
Virginia,22124,111,949900.0,4,4,0.55,3036.0,1054761.73,4.1,4.04,0.61,3530.59
Virginia,22209,8,1299000.0,3,3,0.04,2301.0,1379000.0,3.0,3.88,0.04,2469.38
Virginia,22314,213,925000.0,3,3,0.03,1717.0,1005019.57,2.71,2.98,0.03,1784.22
Virginia,22408,208,383000.0,3,3,0.21,2248.0,403328.27,3.57,3.22,0.22,2341.01
Virginia,22436,3,269500.0,4,2,2.09,2112.0,253816.67,3.67,1.67,2.49,1770.0
Virginia,22438,2,100000.0,3,2,2.0,2074.0,224450.0,4.0,2.0,5.9,2417.0
Virginia,22482,21,335000.0,3,2,0.76,2122.0,454483.33,3.1,2.43,1.07,2095.1
Virginia,22508,118,374900.0,3,3,0.34,2164.0,399437.81,3.56,2.77,0.33,2153.01
Virginia,22542,20,359900.0,3,2,2.0,1352.0,356949.2,3.0,2.05,2.15,1480.35
Virginia,22560,38,239000.0,3,2,0.89,1456.0,262403.5,3.0,2.18,1.11,1518.21
Virginia,22652,7,305000.0,3,2,3.0,1513.0,333500.0,3.0,2.43,3.17,1755.14
Virginia,22726,11,509000.0,3,3,10.0,1760.0,507327.27,3.0,2.55,8.27,1715.73
Virginia,22728,23,485000.0,3,2,2.07,1800.0,438807.17,3.17,2.09,3.35,1816.96
Virginia,22821,21,249900.0,3,2,0.5,1527.0,268633.33,3.19,2.0,0.64,1936.33
Virginia,22831,3,199000.0,3,1,0.68,1022.0,201300.0,2.67,1.0,1.22,1110.33
Virginia,22920,10,339000.0,3,2,2.07,2016.0,465690.0,3.5,2.5,3.15,2318.1
Virginia,22922,3,149000.0,3,2,1.0,1120.0,140466.67,3.0,2.0,1.0,1104.33
Virginia,22923,38,357000.0,3,3,0.8,1982.0,383753.89,3.47,2.76,1.31,2064.71
Virginia,22940,10,700000.0,4,4,5.32,3511.0,1245489.9,4.1,4.3,18.37,3897.4
Virginia,23043,28,379000.0,3,2,0.52,1778.0,444514.25,2.75,2.21,0.54,1807.21
Virginia,23065,23,385500.0,3,2,2.88,2013.0,379047.78,3.0,2.3,2.68,1849.96
Virginia,23071,26,294950.0,3,2,0.3,1312.0,339226.73,2.85,2.08,0.73,1640.88
Virginia,23075,68,205000.0,3,2,0.15,1160.0,193747.78,3.0,1.76,0.2,1215.46
Virginia,23111,238,299900.0,3,2,0.35,1680.0,311361.76,3.39,2.41,0.42,1777.51
