state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Washington,98008,113,1340000.0,4,3,0.2,2340.0,1553203.78,4.0,2.65,0.2,2458.3
Washington,98011,113,1100000.0,4,3,0.18,2350.0,1193712.74,3.69,2.73,0.17,2415.11
Washington,98014,47,924495.0,3,3,0.41,2340.0,1111337.74,3.49,2.6,0.67,2487.28
Washington,98033,204,2000000.0,4,3,0.19,2740.0,2231702.11,3.79,2.94,0.2,2789.68
Washington,98057,34,625000.0,3,2,0.13,1830.0,635441.03,3.18,2.06,0.15,1832.03
Washington,98058,175,699950.0,3,2,0.18,1920.0,710977.51,3.54,2.39,0.19,1917.78
Washington,98104,8,499000.0,1,1,0.33,780.0,497650.0,1.38,1.38,0.24,858.75
Washington,98109,60,1179000.0,3,2,0.07,1890.0,1436575.73,3.1,2.47,0.09,2089.2
Washington,98144,184,805220.0,3,2,0.03,1450.0,853364.07,2.73,2.09,0.05,1563.45
Washington,98280,5,3200000.0,3,2,5.32,2682.0,3139000.0,3.8,2.8,7.36,3796.4
Washington,98328,94,529000.0,3,2,1.23,1889.0,616680.19,3.3,2.45,2.29,2147.94
Washington,98339,19,340000.0,3,2,0.24,1200.0,324418.42,2.58,1.68,0.23,1349.68
Washington,98342,10,749900.0,2,2,0.6,1584.0,985990.0,2.4,2.4,1.2,2045.1
Washington,98353,2,900000.0,3,4,0.37,3705.0,900000.0,3.0,4.0,0.37,3705.0
Washington,98360,147,525000.0,3,3,0.18,2126.0,526309.43,3.59,2.54,0.19,2073.94
Washington,98376,6,299950.0,2,2,0.5,1152.0,320308.33,2.5,2.0,1.16,1612.0
Washington,98390,67,505000.0,3,2,0.16,1716.0,511658.45,3.13,2.04,0.18,1768.48
Washington,98392,17,439950.0,3,2,0.18,1508.0,456585.29,3.0,2.18,0.21,1621.35
Washington,98402,19,425000.0,2,2,0.01,878.0,472883.58,1.53,1.74,0.02,1038.16
Washington,98498,219,499950.0,3,2,0.21,1780.0,531297.23,3.41,2.26,0.22,1940.02
Washington,98516,217,500000.0,3,3,0.12,1947.0,524101.76,3.31,2.55,0.14,2026.73
Washington,98547,12,339000.0,2,2,0.34,1242.0,395583.33,2.25,1.67,2.26,1363.42
Washington,98552,3,174900.0,3,1,1.04,900.0,154933.33,2.33,1.0,1.27,880.0
Washington,98584,128,368000.0,3,2,0.28,1426.0,404532.26,2.86,2.0,0.6,1507.06
Washington,98602,3,306000.0,3,2,5.0,1558.0,297000.0,2.67,1.67,5.38,1539.33
Washington,98642,180,589900.0,3,3,0.12,2132.0,609478.58,3.51,3.0,0.12,2157.44
Washington,98684,215,440460.0,3,3,0.11,1497.0,465920.39,3.17,2.66,0.11,1631.38
Washington,98819,1,139900.0,2,2,1.0,432.0,139900.0,2.0,2.0,1.0,432.0
Washington,98903,32,369500.0,3,2,0.22,1704.0,395832.75,3.16,2.19,0.35,1812.44
Washington,98908,69,395000.0,3,2,0.27,1887.0,476805.77,3.17,2.35,0.55,2091.28
Washington,98941,5,454890.0,3,1,0.19,1360.0,483756.0,2.6,1.8,0.19,1447.0
Washington,98944,33,338000.0,3,2,0.17,1932.0,339783.97,3.3,2.24,0.28,1915.21
Washington,99004,153,409900.0,3,2,0.18,1797.0,405359.37,3.48,2.24,0.2,1818.75
Washington,99012,9,250000.0,3,2,0.3,1464.0,282666.67,3.11,1.78,0.32,1817.0
Washington,99118,2,265000.0,2,2,0.16,1288.0,432475.0,2.0,2.0,16.08,2072.0
Washington,99147,3,499999.0,3,1,19.2,1788.0,426666.0,3.0,1.33,20.54,1609.33
Washington,99167,4,349900.0,2,2,7.38,1620.0,348575.0,2.25,2.0,12.24,1578.75
Washington,99170,7,339900.0,3,2,0.48,1672.0,326864.29,3.43,2.0,0.98,1999.86
Washington,99181,5,375000.0,3,2,1.35,2000.0,438499.8,3.0,1.8,18.07,2013.4
Washington,99320,58,391900.0,3,2,0.24,1499.0,391309.57,3.0,2.0,0.38,1518.02
Washington,99328,17,315000.0,3,2,0.35,1653.0,374167.65,2.59,1.71,2.74,1678.35
Washington,99330,2,299990.0,3,2,5.0,1188.0,414995.0,3.0,2.0,6.17,1576.0
Washington,99349,5,529999.0,3,2,0.38,1442.0,510399.8,3.0,2.0,0.38,1614.0
Washington,99353,97,535000.0,4,3,0.26,2151.0,535548.64,3.6,2.6,0.27,2206.72
Washington,99359,1,199900.0,4,2,0.34,2400.0,199900.0,4.0,2.0,0.34,2400.0
Washington,99361,11,289000.0,3,2,0.3,1747.0,298254.55,3.09,2.09,0.28,1787.55
Washington,99402,13,420000.0,3,2,0.28,1623.0,475069.23,3.23,2.0,1.11,2135.31
Washington,98005,38,1998000.0,4,3,0.34,2930.0,2137024.68,4.11,3.0,0.5,2956.0
Washington,98023,238,585000.0,3,2,0.19,1920.0,587830.54,3.58,2.37,0.2,2002.8
Washington,98051,23,699997.0,3,2,2.22,1848.0,954464.61,3.43,2.3,3.45,2422.65
