state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Wisconsin,53017,5,449900.0,4,3,1.35,2550.0,567720.0,3.8,3.2,1.13,3459.0
Wisconsin,53023,1,367900.0,3,2,0.34,1547.0,367900.0,3.0,2.0,0.34,1547.0
Wisconsin,53048,9,329900.0,3,2,0.33,1500.0,308118.33,3.0,1.78,0.39,1500.0
Wisconsin,53086,20,517900.0,3,2,0.35,2000.0,494265.0,3.35,2.55,0.65,2081.35
Wisconsin,53093,1,155000.0,6,2,0.36,3816.0,155000.0,6.0,2.0,0.36,3816.0
Wisconsin,53119,13,459900.0,3,3,0.65,1800.0,461346.15,3.54,2.69,1.36,2440.54
Wisconsin,53120,26,449900.0,3,2,0.32,1900.0,491250.0,3.5,2.5,0.92,1899.23
Wisconsin,53137,6,449000.0,3,2,3.02,2137.0,553150.0,3.67,2.5,6.98,2558.83
Wisconsin,53147,50,407500.0,3,2,0.24,1680.0,622733.4,3.26,2.52,0.38,2051.56
Wisconsin,53184,16,353500.0,3,2,0.3,1472.0,337896.69,3.06,2.25,0.3,1416.88
Wisconsin,53212,39,120000.0,4,2,0.1,2003.0,149117.64,4.38,2.0,0.1,2047.33
Wisconsin,53217,48,449900.0,4,3,0.23,2136.0,544560.42,3.63,2.69,0.33,2341.58
Wisconsin,53223,33,205000.0,3,2,0.2,1370.0,201299.7,3.18,1.7,0.21,1367.15
Wisconsin,53233,6,204000.0,5,2,0.08,2167.0,261400.0,5.17,2.17,0.09,2294.83
Wisconsin,53506,4,75000.0,4,1,0.35,1604.0,111175.0,3.75,1.5,0.65,1576.0
Wisconsin,53525,11,286585.0,3,2,0.25,1849.0,254392.18,3.27,2.0,0.49,1932.36
Wisconsin,53526,4,225000.0,3,2,0.17,1300.0,222294.0,3.0,2.0,0.22,1406.75
Wisconsin,53558,42,410000.0,3,3,0.24,2184.0,443890.48,3.43,2.67,0.25,2202.81
Wisconsin,53714,79,295000.0,3,2,0.19,1326.0,289300.0,3.06,1.67,0.19,1380.22
Wisconsin,53716,93,314900.0,3,2,0.24,1680.0,323764.52,3.18,1.97,0.23,1706.49
Wisconsin,53718,46,360000.0,3,3,0.12,1786.0,360121.74,3.0,3.0,0.12,1759.39
Wisconsin,53806,8,89000.0,2,2,0.28,1478.0,104250.0,2.25,2.0,0.27,1470.75
Wisconsin,53932,5,259900.0,3,2,0.58,1600.0,248980.0,3.0,2.0,0.46,1640.6
Wisconsin,53934,42,144900.0,3,2,0.67,1269.0,187565.21,2.79,1.69,1.41,1345.07
Wisconsin,54001,35,274900.0,3,2,0.47,2314.0,279854.57,3.46,2.17,1.42,2267.91
Wisconsin,54009,9,310000.0,3,2,0.45,2260.0,306622.22,3.0,2.0,1.65,2295.89
Wisconsin,54011,19,275000.0,3,2,0.31,2376.0,259221.05,3.26,1.95,0.66,2338.58
Wisconsin,54017,171,350000.0,3,2,0.34,2375.0,365845.21,3.11,2.32,0.86,2333.95
Wisconsin,54119,7,79900.0,2,1,1.91,1040.0,96328.57,2.43,1.0,1.68,847.43
Wisconsin,54129,6,279900.0,2,1,0.3,1056.0,254100.0,2.5,1.5,0.37,1192.17
Wisconsin,54210,10,395000.0,3,2,0.69,1728.0,689320.0,2.8,2.1,5.05,1661.3
Wisconsin,54228,3,474450.0,3,2,17.9,1512.0,371300.0,3.0,2.0,12.14,1649.33
Wisconsin,54403,103,184900.0,3,2,0.19,1798.0,227680.06,3.35,2.16,0.31,1995.44
Wisconsin,54428,9,389900.0,3,2,1.43,2644.0,391300.0,3.22,2.22,1.56,2246.0
Wisconsin,54443,6,169999.0,3,1,0.55,1100.0,183266.5,3.0,1.33,0.76,1466.83
Wisconsin,54448,3,319900.0,4,3,0.63,2484.0,298266.67,4.33,3.33,1.27,2407.33
Wisconsin,54449,90,179900.0,3,2,0.29,1768.0,216388.88,3.28,2.21,0.34,1952.14
Wisconsin,54459,5,145000.0,4,2,22.5,1750.0,178140.0,3.6,1.6,19.17,1786.0
Wisconsin,54463,6,314900.0,2,1,3.43,1312.0,380550.0,2.33,1.5,3.31,1541.83
Wisconsin,54539,8,299900.0,3,2,1.8,1897.0,759837.5,3.75,2.75,1.86,2397.25
Wisconsin,54548,33,399000.0,3,2,1.51,1608.0,512890.91,2.97,2.18,1.73,1774.0
Wisconsin,54559,2,240000.0,2,2,40.0,1372.0,330000.0,2.0,2.0,100.0,1372.0
Wisconsin,54560,3,1625000.0,5,2,2.7,3420.0,1566666.67,5.33,3.0,7.33,3686.67
Wisconsin,54618,6,139900.0,3,1,0.32,1188.0,189299.83,3.17,1.5,1.27,1465.33
Wisconsin,54631,5,162900.0,4,3,1.2,1530.0,358940.0,3.4,2.6,2.31,1653.2
Wisconsin,54658,2,139900.0,4,1,0.3,1216.0,194450.0,4.0,1.5,0.36,1408.0
Wisconsin,54664,5,97000.0,3,1,0.35,1438.0,98740.0,3.0,1.4,0.33,1587.8
Wisconsin,54666,10,225000.0,3,2,0.14,1200.0,241780.0,2.8,2.0,1.99,1455.9
Wisconsin,54729,72,336900.0,3,2,0.47,1727.0,342556.29,3.18,2.38,0.54,1886.5
Wisconsin,54751,62,265000.0,3,2,0.4,2132.0,272880.65,3.37,2.27,0.68,2148.55
Wisconsin,54759,5,200000.0,2,1,0.18,2155.0,236780.0,2.2,1.4,0.2,2295.0
Wisconsin,54814,6,269900.0,2,2,0.11,1613.0,498700.0,2.5,2.83,0.42,2094.67
Wisconsin,54829,11,349900.0,3,2,0.89,2126.0,310109.09,2.91,1.73,0.72,2032.55
Wisconsin,54867,1,170000.0,3,2,0.31,2752.0,170000.0,3.0,2.0,0.31,2752.0
Wisconsin,54902,71,159900.0,3,2,0.17,1379.0,165054.35,3.0,1.59,0.19,1440.24
Wisconsin,54913,66,399900.0,3,3,0.3,2427.0,428437.24,3.44,2.94,0.37,2562.98
Wisconsin,54929,35,139900.0,3,1,0.24,1344.0,151382.86,3.2,1.51,0.37,1588.57
Wisconsin,54940,12,175000.0,2,1,0.44,1156.0,187058.33,2.5,1.5,0.83,1459.92
