state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Wyoming,82001,107,354000.0,3,2,0.14,2191.0,379106.71,3.35,2.34,0.16,2222.89
Wyoming,82513,17,495000.0,3,2,2.0,1768.0,558847.06,3.18,2.24,3.13,1935.0
Wyoming,82523,3,415000.0,3,2,5.48,2336.0,476333.33,3.0,2.0,21.81,2350.67
Wyoming,82601,20,290000.0,4,2,0.19,2128.0,327670.0,3.55,2.2,0.2,2373.35
Wyoming,82604,22,400000.0,3,2,0.18,2374.0,374063.64,3.23,2.41,0.81,2228.91
Wyoming,82636,3,340000.0,3,2,2.77,2660.0,405633.33,3.0,2.0,2.65,2619.33
Wyoming,82639,3,649000.0,3,2,40.0,1484.0,619666.67,3.0,2.0,35.54,1687.33
Wyoming,82729,11,357500.0,3,2,0.49,2152.0,632345.45,3.36,2.18,15.76,2108.55
Wyoming,82732,11,194900.0,4,2,0.27,1936.0,206127.27,3.82,2.55,0.3,1935.73
Wyoming,82831,1,105000.0,2,1,0.16,1486.0,105000.0,2.0,1.0,0.16,1486.0
Wyoming,82935,18,238000.0,4,2,0.17,1872.0,275261.11,3.78,2.44,0.18,2214.5
Wyoming,83101,7,130000.0,3,1,0.16,1332.0,147114.29,2.57,1.29,0.14,1354.57
Wyoming,83414,3,1995000.0,4,4,2.5,3320.0,2731333.33,4.0,3.67,4.29,3112.0
Wyoming,82082,3,295000.0,4,2,0.32,2264.0,310000.0,3.67,2.0,20.16,2258.33
Wyoming,82219,1,1195000.0,5,4,367.0,4704.0,1195000.0,5.0,4.0,367.0,4704.0
Wyoming,82401,8,197000.0,4,2,0.17,1936.0,210850.0,3.75,1.88,0.17,1860.75
Wyoming,82411,3,498500.0,4,4,78.0,3030.0,732500.0,4.33,3.33,106.17,3192.67
Wyoming,82423,2,99000.0,2,1,0.17,1080.0,143000.0,2.5,1.5,0.32,1271.0
Wyoming,82501,36,245000.0,3,2,0.27,2016.0,273583.33,3.31,2.17,1.26,2016.22
Wyoming,82630,1,125000.0,5,2,0.96,1550.0,125000.0,5.0,2.0,0.96,1550.0
Wyoming,82727,4,259000.0,3,2,5.01,1296.0,272725.0,3.25,2.0,5.37,1589.0
Wyoming,82832,3,629000.0,5,3,6.27,3298.0,2398000.0,5.33,4.67,7.76,4442.33
Wyoming,82835,2,1500000.0,1,1,81.47,600.0,2000000.0,2.0,2.0,197.31,1620.0
Wyoming,82838,2,275000.0,2,2,3.82,1050.0,282450.0,2.5,2.0,4.03,1133.0
Wyoming,83025,3,6500000.0,3,4,0.04,3212.0,5153000.0,3.67,4.0,0.2,3315.67
Wyoming,83122,2,398000.0,3,2,1.0,1201.0,578500.0,4.0,2.5,1.5,2467.0
Wyoming,82009,155,529000.0,3,2,0.33,3052.0,536185.3,3.61,2.55,2.77,3003.85
Wyoming,82055,1,749000.0,3,2,15.16,1648.0,749000.0,3.0,2.0,15.16,1648.0
Wyoming,82070,32,374900.0,3,2,0.17,1870.0,387615.94,3.53,2.38,0.59,2111.69
Wyoming,82225,12,130000.0,3,2,0.29,2416.0,138166.67,3.42,1.83,0.32,2346.5
Wyoming,82450,1,3250000.0,3,1,15.03,4776.0,3250000.0,3.0,1.0,15.03,4776.0
Wyoming,82520,21,449500.0,3,2,1.05,1626.0,459214.29,3.1,2.0,2.46,1755.71
Wyoming,82725,2,649900.0,2,2,35.51,1184.0,674950.0,2.5,2.0,95.58,1402.0
Wyoming,82834,25,650000.0,3,2,1.16,1792.0,786087.2,2.92,2.24,17.08,2437.28
Wyoming,82842,3,325000.0,2,1,0.34,976.0,313300.0,1.67,1.33,0.93,1001.33
Wyoming,82901,34,203900.0,3,2,0.16,2016.0,242417.65,3.44,2.35,0.15,2075.15
Wyoming,82925,2,699000.0,3,2,6.0,2560.0,3074250.0,4.5,4.5,8.0,5090.0
Wyoming,82939,2,155000.0,3,1,0.26,1200.0,245000.0,3.5,1.5,0.29,1666.0
Wyoming,82213,3,199000.0,2,1,0.15,1271.0,308000.0,3.0,1.67,0.15,1957.0
Wyoming,82637,7,155000.0,3,2,0.23,1700.0,195071.43,3.0,1.57,1.2,1587.86
Wyoming,82701,12,199900.0,3,2,0.16,1793.0,220675.0,3.0,2.0,0.52,1947.5
Wyoming,82711,1,879000.0,4,3,35.02,3372.0,879000.0,4.0,3.0,35.02,3372.0
Wyoming,82714,1,1495000.0,3,4,43.95,3958.0,1495000.0,3.0,4.0,43.95,3958.0
Wyoming,82801,58,385000.0,3,2,0.18,1932.0,431460.52,3.09,2.47,0.22,2004.78
Wyoming,82836,2,289900.0,3,2,0.45,1216.0,494600.0,3.5,2.5,2.14,2490.0
Wyoming,82922,2,3000000.0,2,3,3.83,2888.0,3147500.0,3.5,3.5,9.74,4002.0
Wyoming,83014,8,3000000.0,3,2,0.85,2034.0,3987375.0,3.13,2.88,1.09,2714.88
Wyoming,83113,10,190000.0,3,2,0.39,1727.0,200280.0,3.3,2.0,1.85,1784.1
Wyoming,82059,2,500000.0,3,3,9.51,2682.0,509975.0,4.5,4.0,9.52,3275.5
Wyoming,82301,32,179900.0,3,2,0.16,1806.0,188034.38,3.09,1.75,0.18,1801.41
Wyoming,82329,3,189000.0,3,2,0.29,1200.0,155333.33,4.0,2.33,26.86,1683.67
Wyoming,82331,5,319000.0,3,2,0.21,1734.0,396800.0,3.4,2.0,0.24,1739.4
Wyoming,82410,2,297000.0,3,2,0.3,2533.0,341000.0,3.0,2.0,0.31,3060.0
Wyoming,82422,1,475000.0,3,1,7.0,1215.0,475000.0,3.0,1.0,7.0,1215.0
Wyoming,82642,1,375000.0,6,6,4.13,2304.0,375000.0,6.0,6.0,4.13,2304.0
Wyoming,82721,19,269900.0,3,2,0.77,2030.0,340810.53,3.42,2.32,3.32,2206.42
Wyoming,82923,3,349000.0,4,2,0.92,1876.0,353000.0,3.67,2.0,4.16,1884.0
Wyoming,83114,3,230000.0,4,2,0.39,2232.0,295000.0,3.67,2.33,0.92,2116.33
Wyoming,83120,3,1200000.0,2,2,7.3,1800.0,2141666.67,2.33,2.0,5.5,1897.33
Wyoming,83310,1,850000.0,3,2,12.66,1848.0,850000.0,3.0,2.0,12.66,1848.0
Wyoming,82007,47,358900.0,3,2,0.17,2050.0,365490.09,3.0,2.49,0.51,2182.34
Wyoming,82212,2,75000.0,3,1,0.16,1276.0,102500.0,3.0,1.0,0.22,1360.0
Wyoming,82244,3,325000.0,4,2,10.0,2356.0,340666.67,3.67,2.33,15.16,2310.0
Wyoming,82325,2,330000.0,2,2,0.26,989.0,354500.0,3.0,2.5,0.4,1884.5
Wyoming,82334,6,179000.0,3,1,0.13,2172.0,245071.67,4.17,2.17,0.13,2412.33
Wyoming,82412,2,319000.0,3,2,0.26,1912.0,334500.0,3.5,2.0,1.01,1956.0
Wyoming,82609,16,409900.0,4,3,0.21,2867.0,441043.75,3.81,2.69,0.23,2970.06
Wyoming,82644,10,337900.0,3,3,0.21,2376.0,314710.0,2.9,2.3,0.22,2141.3
Wyoming,82720,3,1200000.0,4,2,163.0,2280.0,1448300.0,4.33,2.33,584.05,2510.67
Wyoming,82833,1,299000.0,1,1,0.39,994.0,299000.0,1.0,1.0,0.39,994.0
Wyoming,82937,3,270000.0,4,2,0.3,2130.0,266000.0,4.0,2.0,0.3,2245.67
Wyoming,82941,18,499000.0,3,2,0.95,1996.0,490377.78,3.5,2.28,1.55,2060.78
Wyoming,82944,1,899000.0,4,2,7.37,3388.0,899000.0,4.0,2.0,7.37,3388.0
Wyoming,82058,1,1250000.0,3,3,40.0,3342.0,1250000.0,3.0,3.0,40.0,3342.0
Wyoming,82414,52,535000.0,3,3,0.29,2352.0,737417.31,3.44,2.54,2.01,2449.27
Wyoming,82431,7,235000.0,3,2,0.2,1672.0,210428.57,2.71,1.57,0.21,1497.86
Wyoming,82434,1,225000.0,2,1,0.94,768.0,225000.0,2.0,1.0,0.94,768.0
Wyoming,82435,35,475000.0,3,2,2.0,2118.0,539362.83,3.29,2.29,5.18,2162.57
Wyoming,82730,6,269000.0,3,2,0.5,2016.0,367250.0,3.5,2.17,13.63,2018.67
Wyoming,82933,2,163000.0,3,2,0.25,1536.0,506000.0,3.5,3.0,2.04,2520.5
Wyoming,83115,5,699000.0,3,2,10.06,2280.0,911800.0,3.0,2.0,12.41,1990.2
Wyoming,83123,3,155500.0,3,2,0.28,1475.0,156833.33,3.0,1.67,0.28,1380.67
Wyoming,83128,23,495000.0,2,2,0.11,1145.0,614565.22,2.04,2.0,0.22,1200.39
Wyoming,82054,7,535000.0,3,2,13.0,2756.0,530532.14,2.86,2.0,15.48,2659.71
Wyoming,82072,27,360000.0,4,2,0.19,2272.0,415000.0,3.7,2.7,0.57,2676.0
Wyoming,82210,2,320000.0,3,2,0.15,1400.0,320000.0,3.5,2.5,2.58,2134.0
Wyoming,82321,3,278000.0,3,2,4.7,1250.0,425966.67,3.0,2.0,4.99,1450.67
Wyoming,82327,3,100000.0,4,3,0.17,2304.0,105000.0,4.67,3.0,0.26,2593.33
Wyoming,82421,1,125000.0,3,1,0.4,2405.0,125000.0,3.0,1.0,0.4,2405.0
Wyoming,82426,5,97000.0,2,1,0.16,1112.0,93000.0,2.0,1.4,0.18,1097.2
Wyoming,82433,3,149900.0,2,2,0.14,2006.0,152466.67,2.33,1.67,0.14,1691.33
Wyoming,82516,2,329000.0,3,2,4.97,1728.0,1162000.0,3.5,2.0,473.49,1801.5
Wyoming,82930,11,444000.0,3,2,0.33,2094.0,444700.0,3.36,2.45,0.86,2646.82
Wyoming,83110,8,695000.0,3,2,0.25,2019.0,636612.5,3.25,2.63,0.62,2355.63
Wyoming,83119,1,699999.0,5,3,2.5,3221.0,699999.0,5.0,3.0,2.5,3221.0
Wyoming,82051,1,150000.0,2,1,35.01,1052.0,150000.0,2.0,1.0,35.01,1052.0
Wyoming,82053,6,375000.0,3,2,1.09,2016.0,356483.17,3.5,1.67,5.82,2264.5
Wyoming,82201,20,235000.0,3,2,0.17,2026.0,226315.0,3.35,2.15,0.22,2098.35
Wyoming,82442,3,289500.0,3,2,0.37,1896.0,528500.0,3.33,2.0,1.3,1791.33
Wyoming,82620,2,699500.0,4,4,1.0,4992.0,1099750.0,4.5,4.5,4.92,5996.0
Wyoming,82633,15,216500.0,3,2,0.18,1585.0,202016.67,3.13,2.2,0.18,1631.0
Wyoming,82649,3,164900.0,3,1,0.5,1264.0,149466.67,2.67,1.33,0.67,1310.67
Wyoming,83112,3,3000000.0,6,5,15.14,7286.0,4131666.67,5.33,4.67,13.38,7079.0
Wyoming,83118,9,799000.0,4,3,2.5,3060.0,1101111.11,3.78,3.33,4.17,2834.44
Wyoming,82214,9,187000.0,3,2,0.24,1566.0,219655.56,3.22,2.22,0.26,1713.22
Wyoming,82240,16,190000.0,3,2,0.21,1731.0,195668.75,3.31,2.0,0.21,1829.25
Wyoming,82322,1,95000.0,3,2,4.0,1960.0,95000.0,3.0,2.0,4.0,1960.0
Wyoming,82432,1,2200000.0,3,1,300.0,1322.0,2200000.0,3.0,1.0,300.0,1322.0
Wyoming,82443,26,250000.0,4,2,0.19,1984.0,334269.23,3.88,2.27,1.12,2360.19
